dataset,sample_id,class,label,image_score,query_path
mvtec,000,bottle,1,0.9469148516654968,dataset/MVTec/bottle/test/broken_small/000.png
mvtec,001,bottle,1,0.9781210422515869,dataset/MVTec/bottle/test/broken_small/001.png
mvtec,002,bottle,1,0.9658675193786621,dataset/MVTec/bottle/test/broken_small/002.png
mvtec,003,bottle,1,0.9716668725013733,dataset/MVTec/bottle/test/broken_small/003.png
mvtec,004,bottle,1,0.9794921278953552,dataset/MVTec/bottle/test/broken_small/004.png
mvtec,005,bottle,1,0.9602461457252502,dataset/MVTec/bottle/test/broken_small/005.png
mvtec,006,bottle,1,0.9774174094200134,dataset/MVTec/bottle/test/broken_small/006.png
mvtec,007,bottle,1,0.9568175673484802,dataset/MVTec/bottle/test/broken_small/007.png
mvtec,008,bottle,1,0.9786539077758789,dataset/MVTec/bottle/test/broken_small/008.png
mvtec,009,bottle,1,0.9797083735466003,dataset/MVTec/bottle/test/broken_small/009.png
mvtec,010,bottle,1,0.9811328053474426,dataset/MVTec/bottle/test/broken_small/010.png
mvtec,011,bottle,1,0.9731308817863464,dataset/MVTec/bottle/test/broken_small/011.png
mvtec,012,bottle,1,0.9654049873352051,dataset/MVTec/bottle/test/broken_small/012.png
mvtec,013,bottle,1,0.9770527482032776,dataset/MVTec/bottle/test/broken_small/013.png
mvtec,014,bottle,1,0.9564759135246277,dataset/MVTec/bottle/test/broken_small/014.png
mvtec,015,bottle,1,0.9779066443443298,dataset/MVTec/bottle/test/broken_small/015.png
mvtec,016,bottle,1,0.9775702953338623,dataset/MVTec/bottle/test/broken_small/016.png
mvtec,017,bottle,1,0.9796123504638672,dataset/MVTec/bottle/test/broken_small/017.png
mvtec,018,bottle,1,0.9755155444145203,dataset/MVTec/bottle/test/broken_small/018.png
mvtec,019,bottle,1,0.9574792385101318,dataset/MVTec/bottle/test/broken_small/019.png
mvtec,020,bottle,1,0.9769755005836487,dataset/MVTec/bottle/test/broken_small/020.png
mvtec,021,bottle,1,0.9764599204063416,dataset/MVTec/bottle/test/broken_small/021.png
mvtec,000,bottle,1,0.9689178466796875,dataset/MVTec/bottle/test/broken_large/000.png
mvtec,001,bottle,1,0.9669173359870911,dataset/MVTec/bottle/test/broken_large/001.png
mvtec,002,bottle,1,0.9231055378913879,dataset/MVTec/bottle/test/broken_large/002.png
mvtec,003,bottle,1,0.9372847080230713,dataset/MVTec/bottle/test/broken_large/003.png
mvtec,004,bottle,1,0.9784687161445618,dataset/MVTec/bottle/test/broken_large/004.png
mvtec,005,bottle,1,0.9736434817314148,dataset/MVTec/bottle/test/broken_large/005.png
mvtec,006,bottle,1,0.9680644869804382,dataset/MVTec/bottle/test/broken_large/006.png
mvtec,007,bottle,1,0.9556103348731995,dataset/MVTec/bottle/test/broken_large/007.png
mvtec,008,bottle,1,0.9740550518035889,dataset/MVTec/bottle/test/broken_large/008.png
mvtec,009,bottle,1,0.9577687382698059,dataset/MVTec/bottle/test/broken_large/009.png
mvtec,010,bottle,1,0.9611921310424805,dataset/MVTec/bottle/test/broken_large/010.png
mvtec,011,bottle,1,0.9361162781715393,dataset/MVTec/bottle/test/broken_large/011.png
mvtec,012,bottle,1,0.9669144749641418,dataset/MVTec/bottle/test/broken_large/012.png
mvtec,013,bottle,1,0.9681413769721985,dataset/MVTec/bottle/test/broken_large/013.png
mvtec,014,bottle,1,0.976809561252594,dataset/MVTec/bottle/test/broken_large/014.png
mvtec,015,bottle,1,0.9778633117675781,dataset/MVTec/bottle/test/broken_large/015.png
mvtec,016,bottle,1,0.9656271934509277,dataset/MVTec/bottle/test/broken_large/016.png
mvtec,017,bottle,1,0.9627845287322998,dataset/MVTec/bottle/test/broken_large/017.png
mvtec,018,bottle,1,0.9770998954772949,dataset/MVTec/bottle/test/broken_large/018.png
mvtec,019,bottle,1,0.9673943519592285,dataset/MVTec/bottle/test/broken_large/019.png
