dataset,sample_id,class,label,image_score,query_path
mvtec,000,carpet,1,0.7986342310905457,dataset/MVTec/carpet/test/color/000.png
mvtec,001,carpet,1,0.45955386757850647,dataset/MVTec/carpet/test/color/001.png
mvtec,002,carpet,1,0.40227222442626953,dataset/MVTec/carpet/test/color/002.png
mvtec,003,carpet,1,0.49005380272865295,dataset/MVTec/carpet/test/color/003.png
mvtec,004,carpet,1,0.613797128200531,dataset/MVTec/carpet/test/color/004.png
mvtec,005,carpet,1,0.40657463669776917,dataset/MVTec/carpet/test/color/005.png
mvtec,006,carpet,1,0.39332345128059387,dataset/MVTec/carpet/test/color/006.png
mvtec,007,carpet,1,0.6222772598266602,dataset/MVTec/carpet/test/color/007.png
mvtec,008,carpet,1,0.9095306992530823,dataset/MVTec/carpet/test/color/008.png
mvtec,009,carpet,1,0.5424721837043762,dataset/MVTec/carpet/test/color/009.png
mvtec,010,carpet,1,0.49995288252830505,dataset/MVTec/carpet/test/color/010.png
mvtec,011,carpet,1,0.7759700417518616,dataset/MVTec/carpet/test/color/011.png
mvtec,012,carpet,1,0.8766124248504639,dataset/MVTec/carpet/test/color/012.png
mvtec,013,carpet,1,0.7854424118995667,dataset/MVTec/carpet/test/color/013.png
mvtec,014,carpet,1,0.7353294491767883,dataset/MVTec/carpet/test/color/014.png
mvtec,015,carpet,1,0.7607473731040955,dataset/MVTec/carpet/test/color/015.png
mvtec,016,carpet,1,0.5601430535316467,dataset/MVTec/carpet/test/color/016.png
mvtec,017,carpet,1,0.4426434338092804,dataset/MVTec/carpet/test/color/017.png
mvtec,018,carpet,1,0.3751846253871918,dataset/MVTec/carpet/test/color/018.png
mvtec,000,carpet,1,0.33168336749076843,dataset/MVTec/carpet/test/metal_contamination/000.png
mvtec,001,carpet,1,0.3499608039855957,dataset/MVTec/carpet/test/metal_contamination/001.png
mvtec,002,carpet,1,0.5409643054008484,dataset/MVTec/carpet/test/metal_contamination/002.png
mvtec,003,carpet,1,0.5928412079811096,dataset/MVTec/carpet/test/metal_contamination/003.png
mvtec,004,carpet,1,0.34978166222572327,dataset/MVTec/carpet/test/metal_contamination/004.png
mvtec,005,carpet,1,0.6554005742073059,dataset/MVTec/carpet/test/metal_contamination/005.png
mvtec,006,carpet,1,0.7754847407341003,dataset/MVTec/carpet/test/metal_contamination/006.png
mvtec,007,carpet,1,0.5084803104400635,dataset/MVTec/carpet/test/metal_contamination/007.png
mvtec,008,carpet,1,0.6862466335296631,dataset/MVTec/carpet/test/metal_contamination/008.png
mvtec,009,carpet,1,0.596863865852356,dataset/MVTec/carpet/test/metal_contamination/009.png
mvtec,010,carpet,1,0.6573890447616577,dataset/MVTec/carpet/test/metal_contamination/010.png
mvtec,011,carpet,1,0.3073071539402008,dataset/MVTec/carpet/test/metal_contamination/011.png
mvtec,012,carpet,1,0.7017189860343933,dataset/MVTec/carpet/test/metal_contamination/012.png
mvtec,013,carpet,1,0.37502482533454895,dataset/MVTec/carpet/test/metal_contamination/013.png
mvtec,014,carpet,1,0.35370776057243347,dataset/MVTec/carpet/test/metal_contamination/014.png
mvtec,015,carpet,1,0.649198591709137,dataset/MVTec/carpet/test/metal_contamination/015.png
mvtec,016,carpet,1,0.35674813389778137,dataset/MVTec/carpet/test/metal_contamination/016.png
mvtec,000,carpet,0,0.19041705131530762,dataset/MVTec/carpet/test/good/000.png
mvtec,001,carpet,0,0.161006897687912,dataset/MVTec/carpet/test/good/001.png
mvtec,002,carpet,0,0.14300261437892914,dataset/MVTec/carpet/test/good/002.png
mvtec,003,carpet,0,0.14739306271076202,dataset/MVTec/carpet/test/good/003.png
mvtec,004,carpet,0,0.06706419587135315,dataset/MVTec/carpet/test/good/004.png
mvtec,005,carpet,0,0.1699853092432022,dataset/MVTec/carpet/test/good/005.png
mvtec,006,carpet,0,0.12370952218770981,dataset/MVTec/carpet/test/good/006.png
mvtec,007,carpet,0,0.062488194555044174,dataset/MVTec/carpet/test/good/007.png
mvtec,008,carpet,0,0.16647668182849884,dataset/MVTec/carpet/test/good/008.png
mvtec,009,carpet,0,0.06696602702140808,dataset/MVTec/carpet/test/good/009.png
mvtec,010,carpet,0,0.0587109737098217,dataset/MVTec/carpet/test/good/010.png
mvtec,011,carpet,0,0.047366175800561905,dataset/MVTec/carpet/test/good/011.png
mvtec,012,carpet,0,0.055884405970573425,dataset/MVTec/carpet/test/good/012.png
mvtec,013,carpet,0,0.16833920776844025,dataset/MVTec/carpet/test/good/013.png
mvtec,014,carpet,0,0.16102607548236847,dataset/MVTec/carpet/test/good/014.png
mvtec,015,carpet,0,0.18739795684814453,dataset/MVTec/carpet/test/good/015.png
mvtec,016,carpet,0,0.13210569322109222,dataset/MVTec/carpet/test/good/016.png
mvtec,017,carpet,0,0.1168942078948021,dataset/MVTec/carpet/test/good/017.png
mvtec,018,carpet,0,0.16861532628536224,dataset/MVTec/carpet/test/good/018.png
mvtec,019,carpet,0,0.18026404082775116,dataset/MVTec/carpet/test/good/019.png
mvtec,020,carpet,0,0.15347523987293243,dataset/MVTec/carpet/test/good/020.png
mvtec,021,carpet,0,0.14219360053539276,dataset/MVTec/carpet/test/good/021.png
mvtec,022,carpet,0,0.1445101499557495,dataset/MVTec/carpet/test/good/022.png
mvtec,023,carpet,0,0.062377870082855225,dataset/MVTec/carpet/test/good/023.png
mvtec,024,carpet,0,0.13741855323314667,dataset/MVTec/carpet/test/good/024.png
mvtec,025,carpet,0,0.17025047540664673,dataset/MVTec/carpet/test/good/025.png
mvtec,026,carpet,0,0.148390993475914,dataset/MVTec/carpet/test/good/026.png
mvtec,027,carpet,0,0.04510895907878876,dataset/MVTec/carpet/test/good/027.png
mvtec,000,carpet,1,0.8881590962409973,dataset/MVTec/carpet/test/cut/000.png
mvtec,001,carpet,1,0.5677969455718994,dataset/MVTec/carpet/test/cut/001.png
mvtec,002,carpet,1,0.8705272078514099,dataset/MVTec/carpet/test/cut/002.png
mvtec,003,carpet,1,0.8725614547729492,dataset/MVTec/carpet/test/cut/003.png
mvtec,004,carpet,1,0.34636035561561584,dataset/MVTec/carpet/test/cut/004.png
mvtec,005,carpet,1,0.39658060669898987,dataset/MVTec/carpet/test/cut/005.png
mvtec,006,carpet,1,0.3976844251155853,dataset/MVTec/carpet/test/cut/006.png
mvtec,007,carpet,1,0.3602482080459595,dataset/MVTec/carpet/test/cut/007.png
mvtec,008,carpet,1,0.3311193883419037,dataset/MVTec/carpet/test/cut/008.png
mvtec,009,carpet,1,0.9057390093803406,dataset/MVTec/carpet/test/cut/009.png
mvtec,010,carpet,1,0.513405442237854,dataset/MVTec/carpet/test/cut/010.png
mvtec,011,carpet,1,0.7538866996765137,dataset/MVTec/carpet/test/cut/011.png
mvtec,012,carpet,1,0.9497387409210205,dataset/MVTec/carpet/test/cut/012.png
mvtec,013,carpet,1,0.507807195186615,dataset/MVTec/carpet/test/cut/013.png
mvtec,014,carpet,1,0.3774249255657196,dataset/MVTec/carpet/test/cut/014.png
mvtec,015,carpet,1,0.7312960624694824,dataset/MVTec/carpet/test/cut/015.png
mvtec,016,carpet,1,0.2179276943206787,dataset/MVTec/carpet/test/cut/016.png
mvtec,000,carpet,1,0.535054624080658,dataset/MVTec/carpet/test/thread/000.png
mvtec,001,carpet,1,0.2949333190917969,dataset/MVTec/carpet/test/thread/001.png
mvtec,002,carpet,1,0.7321043610572815,dataset/MVTec/carpet/test/thread/002.png
mvtec,003,carpet,1,0.33888521790504456,dataset/MVTec/carpet/test/thread/003.png
mvtec,004,carpet,1,0.8516311645507812,dataset/MVTec/carpet/test/thread/004.png
mvtec,005,carpet,1,0.6866326332092285,dataset/MVTec/carpet/test/thread/005.png
mvtec,006,carpet,1,0.6456944942474365,dataset/MVTec/carpet/test/thread/006.png
mvtec,007,carpet,1,0.7880428433418274,dataset/MVTec/carpet/test/thread/007.png
mvtec,008,carpet,1,0.9050309062004089,dataset/MVTec/carpet/test/thread/008.png
mvtec,009,carpet,1,0.3209947645664215,dataset/MVTec/carpet/test/thread/009.png
