dataset,sample_id,class,label,image_score,query_path
visa,0790,macaroni2,0,0.9119910597801208,dataset\Visa\macaroni2/Data/Images/Normal/0790.JPG
visa,0107,macaroni2,0,0.9629558324813843,dataset\Visa\macaroni2/Data/Images/Normal/0107.JPG
visa,0484,macaroni2,0,0.9665130376815796,dataset\Visa\macaroni2/Data/Images/Normal/0484.JPG
visa,0690,macaroni2,0,0.9322584867477417,dataset\Visa\macaroni2/Data/Images/Normal/0690.JPG
visa,0303,macaroni2,0,0.9616827964782715,dataset\Visa\macaroni2/Data/Images/Normal/0303.JPG
visa,0237,macaroni2,0,0.6767746806144714,dataset\Visa\macaroni2/Data/Images/Normal/0237.JPG
visa,0394,macaroni2,0,0.9641962051391602,dataset\Visa\macaroni2/Data/Images/Normal/0394.JPG
visa,0214,macaroni2,0,0.9373425245285034,dataset\Visa\macaroni2/Data/Images/Normal/0214.JPG
visa,0985,macaroni2,0,0.862989604473114,dataset\Visa\macaroni2/Data/Images/Normal/0985.JPG
visa,0657,macaroni2,0,0.9329371452331543,dataset\Visa\macaroni2/Data/Images/Normal/0657.JPG
visa,0377,macaroni2,0,0.9707691073417664,dataset\Visa\macaroni2/Data/Images/Normal/0377.JPG
visa,0659,macaroni2,0,0.8970011472702026,dataset\Visa\macaroni2/Data/Images/Normal/0659.JPG
visa,0514,macaroni2,0,0.9364268183708191,dataset\Visa\macaroni2/Data/Images/Normal/0514.JPG
visa,0617,macaroni2,0,0.8198666572570801,dataset\Visa\macaroni2/Data/Images/Normal/0617.JPG
visa,0725,macaroni2,0,0.7064148783683777,dataset\Visa\macaroni2/Data/Images/Normal/0725.JPG
visa,0172,macaroni2,0,0.9357349872589111,dataset\Visa\macaroni2/Data/Images/Normal/0172.JPG
visa,0996,macaroni2,0,0.9551469683647156,dataset\Visa\macaroni2/Data/Images/Normal/0996.JPG
visa,0483,macaroni2,0,0.9671096205711365,dataset\Visa\macaroni2/Data/Images/Normal/0483.JPG
visa,0654,macaroni2,0,0.9563913345336914,dataset\Visa\macaroni2/Data/Images/Normal/0654.JPG
visa,0400,macaroni2,0,0.861970067024231,dataset\Visa\macaroni2/Data/Images/Normal/0400.JPG
visa,0469,macaroni2,0,0.9661452174186707,dataset\Visa\macaroni2/Data/Images/Normal/0469.JPG
visa,0525,macaroni2,0,0.9428157210350037,dataset\Visa\macaroni2/Data/Images/Normal/0525.JPG
visa,0170,macaroni2,0,0.7977008819580078,dataset\Visa\macaroni2/Data/Images/Normal/0170.JPG
visa,0631,macaroni2,0,0.6677412986755371,dataset\Visa\macaroni2/Data/Images/Normal/0631.JPG
visa,0685,macaroni2,0,0.9468121528625488,dataset\Visa\macaroni2/Data/Images/Normal/0685.JPG
visa,0320,macaroni2,0,0.9475554823875427,dataset\Visa\macaroni2/Data/Images/Normal/0320.JPG
visa,0869,macaroni2,0,0.599098801612854,dataset\Visa\macaroni2/Data/Images/Normal/0869.JPG
visa,0423,macaroni2,0,0.852447509765625,dataset\Visa\macaroni2/Data/Images/Normal/0423.JPG
visa,0417,macaroni2,0,0.9671003818511963,dataset\Visa\macaroni2/Data/Images/Normal/0417.JPG
visa,0751,macaroni2,0,0.9421378970146179,dataset\Visa\macaroni2/Data/Images/Normal/0751.JPG
visa,0764,macaroni2,0,0.9599501490592957,dataset\Visa\macaroni2/Data/Images/Normal/0764.JPG
visa,0967,macaroni2,0,0.8655581474304199,dataset\Visa\macaroni2/Data/Images/Normal/0967.JPG
visa,0730,macaroni2,0,0.9356381297111511,dataset\Visa\macaroni2/Data/Images/Normal/0730.JPG
visa,0306,macaroni2,0,0.919185996055603,dataset\Visa\macaroni2/Data/Images/Normal/0306.JPG
visa,0011,macaroni2,0,0.9712063670158386,dataset\Visa\macaroni2/Data/Images/Normal/0011.JPG
visa,0215,macaroni2,0,0.9566645622253418,dataset\Visa\macaroni2/Data/Images/Normal/0215.JPG
visa,0159,macaroni2,0,0.839510440826416,dataset\Visa\macaroni2/Data/Images/Normal/0159.JPG
visa,0629,macaroni2,0,0.9639540910720825,dataset\Visa\macaroni2/Data/Images/Normal/0629.JPG
visa,0694,macaroni2,0,0.9335112571716309,dataset\Visa\macaroni2/Data/Images/Normal/0694.JPG
visa,0518,macaroni2,0,0.9566600322723389,dataset\Visa\macaroni2/Data/Images/Normal/0518.JPG
visa,0026,macaroni2,0,0.6622495055198669,dataset\Visa\macaroni2/Data/Images/Normal/0026.JPG
visa,0844,macaroni2,0,0.9682354927062988,dataset\Visa\macaroni2/Data/Images/Normal/0844.JPG
visa,0953,macaroni2,0,0.9638726115226746,dataset\Visa\macaroni2/Data/Images/Normal/0953.JPG
visa,0900,macaroni2,0,0.9580850601196289,dataset\Visa\macaroni2/Data/Images/Normal/0900.JPG
visa,0402,macaroni2,0,0.9113903045654297,dataset\Visa\macaroni2/Data/Images/Normal/0402.JPG
visa,0621,macaroni2,0,0.9288560748100281,dataset\Visa\macaroni2/Data/Images/Normal/0621.JPG
visa,0294,macaroni2,0,0.9568551778793335,dataset\Visa\macaroni2/Data/Images/Normal/0294.JPG
visa,0016,macaroni2,0,0.9145206809043884,dataset\Visa\macaroni2/Data/Images/Normal/0016.JPG
visa,0046,macaroni2,0,0.8897575736045837,dataset\Visa\macaroni2/Data/Images/Normal/0046.JPG
visa,0705,macaroni2,0,0.9503358602523804,dataset\Visa\macaroni2/Data/Images/Normal/0705.JPG
visa,0208,macaroni2,0,0.9502977132797241,dataset\Visa\macaroni2/Data/Images/Normal/0208.JPG
visa,0674,macaroni2,0,0.9289114475250244,dataset\Visa\macaroni2/Data/Images/Normal/0674.JPG
visa,0427,macaroni2,0,0.9563664197921753,dataset\Visa\macaroni2/Data/Images/Normal/0427.JPG
visa,0552,macaroni2,0,0.9592711925506592,dataset\Visa\macaroni2/Data/Images/Normal/0552.JPG
visa,0804,macaroni2,0,0.6959842443466187,dataset\Visa\macaroni2/Data/Images/Normal/0804.JPG
visa,0333,macaroni2,0,0.9350315928459167,dataset\Visa\macaroni2/Data/Images/Normal/0333.JPG
visa,0027,macaroni2,0,0.6098535060882568,dataset\Visa\macaroni2/Data/Images/Normal/0027.JPG
visa,0100,macaroni2,0,0.9483833312988281,dataset\Visa\macaroni2/Data/Images/Normal/0100.JPG
visa,0800,macaroni2,0,0.9349336624145508,dataset\Visa\macaroni2/Data/Images/Normal/0800.JPG
visa,0923,macaroni2,0,0.5337324142456055,dataset\Visa\macaroni2/Data/Images/Normal/0923.JPG
visa,0755,macaroni2,0,0.9545807242393494,dataset\Visa\macaroni2/Data/Images/Normal/0755.JPG
visa,0013,macaroni2,0,0.9471651911735535,dataset\Visa\macaroni2/Data/Images/Normal/0013.JPG
visa,0297,macaroni2,0,0.9552282094955444,dataset\Visa\macaroni2/Data/Images/Normal/0297.JPG
visa,0768,macaroni2,0,0.9696821570396423,dataset\Visa\macaroni2/Data/Images/Normal/0768.JPG
visa,0457,macaroni2,0,0.9322246313095093,dataset\Visa\macaroni2/Data/Images/Normal/0457.JPG
visa,0520,macaroni2,0,0.9232646822929382,dataset\Visa\macaroni2/Data/Images/Normal/0520.JPG
visa,0952,macaroni2,0,0.9666702747344971,dataset\Visa\macaroni2/Data/Images/Normal/0952.JPG
visa,0871,macaroni2,0,0.9540477991104126,dataset\Visa\macaroni2/Data/Images/Normal/0871.JPG
visa,0811,macaroni2,0,0.9013888835906982,dataset\Visa\macaroni2/Data/Images/Normal/0811.JPG
visa,0174,macaroni2,0,0.9586094617843628,dataset\Visa\macaroni2/Data/Images/Normal/0174.JPG
visa,0648,macaroni2,0,0.9552441835403442,dataset\Visa\macaroni2/Data/Images/Normal/0648.JPG
visa,0261,macaroni2,0,0.9659859538078308,dataset\Visa\macaroni2/Data/Images/Normal/0261.JPG
visa,0784,macaroni2,0,0.9461690187454224,dataset\Visa\macaroni2/Data/Images/Normal/0784.JPG
visa,0935,macaroni2,0,0.9035279750823975,dataset\Visa\macaroni2/Data/Images/Normal/0935.JPG
visa,0286,macaroni2,0,0.9231576919555664,dataset\Visa\macaroni2/Data/Images/Normal/0286.JPG
visa,0779,macaroni2,0,0.9153849482536316,dataset\Visa\macaroni2/Data/Images/Normal/0779.JPG
visa,0363,macaroni2,0,0.9475552439689636,dataset\Visa\macaroni2/Data/Images/Normal/0363.JPG
visa,0619,macaroni2,0,0.9530605673789978,dataset\Visa\macaroni2/Data/Images/Normal/0619.JPG
visa,0024,macaroni2,0,0.9678658246994019,dataset\Visa\macaroni2/Data/Images/Normal/0024.JPG
visa,0735,macaroni2,0,0.9592882394790649,dataset\Visa\macaroni2/Data/Images/Normal/0735.JPG
visa,0688,macaroni2,0,0.9481773376464844,dataset\Visa\macaroni2/Data/Images/Normal/0688.JPG
visa,0796,macaroni2,0,0.9580240249633789,dataset\Visa\macaroni2/Data/Images/Normal/0796.JPG
visa,0178,macaroni2,0,0.9717803001403809,dataset\Visa\macaroni2/Data/Images/Normal/0178.JPG
visa,0797,macaroni2,0,0.9310814142227173,dataset\Visa\macaroni2/Data/Images/Normal/0797.JPG
visa,0920,macaroni2,0,0.9550367593765259,dataset\Visa\macaroni2/Data/Images/Normal/0920.JPG
visa,0479,macaroni2,0,0.9586831331253052,dataset\Visa\macaroni2/Data/Images/Normal/0479.JPG
visa,0684,macaroni2,0,0.9562024474143982,dataset\Visa\macaroni2/Data/Images/Normal/0684.JPG
visa,0739,macaroni2,0,0.965225338935852,dataset\Visa\macaroni2/Data/Images/Normal/0739.JPG
visa,0569,macaroni2,0,0.9458569884300232,dataset\Visa\macaroni2/Data/Images/Normal/0569.JPG
visa,0196,macaroni2,0,0.8722953796386719,dataset\Visa\macaroni2/Data/Images/Normal/0196.JPG
visa,0892,macaroni2,0,0.556015133857727,dataset\Visa\macaroni2/Data/Images/Normal/0892.JPG
visa,0964,macaroni2,0,0.9609331488609314,dataset\Visa\macaroni2/Data/Images/Normal/0964.JPG
visa,0187,macaroni2,0,0.9577639102935791,dataset\Visa\macaroni2/Data/Images/Normal/0187.JPG
visa,0488,macaroni2,0,0.9319042563438416,dataset\Visa\macaroni2/Data/Images/Normal/0488.JPG
visa,0994,macaroni2,0,0.948854923248291,dataset\Visa\macaroni2/Data/Images/Normal/0994.JPG
visa,0545,macaroni2,0,0.9795451164245605,dataset\Visa\macaroni2/Data/Images/Normal/0545.JPG
visa,0615,macaroni2,0,0.9306172132492065,dataset\Visa\macaroni2/Data/Images/Normal/0615.JPG
visa,0974,macaroni2,0,0.9503511190414429,dataset\Visa\macaroni2/Data/Images/Normal/0974.JPG
visa,0490,macaroni2,0,0.9352067708969116,dataset\Visa\macaroni2/Data/Images/Normal/0490.JPG
visa,0168,macaroni2,0,0.9517256021499634,dataset\Visa\macaroni2/Data/Images/Normal/0168.JPG
visa,000,macaroni2,1,0.9734654426574707,dataset\Visa\macaroni2/Data/Images/Anomaly/000.JPG
