dataset,sample_id,class,label,image_score,query_path
mvtec,000,metal_nut,1,0.5368313789367676,dataset/MVTec/metal_nut/test/color/000.png
mvtec,001,metal_nut,1,0.8864251971244812,dataset/MVTec/metal_nut/test/color/001.png
mvtec,002,metal_nut,1,0.9137582778930664,dataset/MVTec/metal_nut/test/color/002.png
mvtec,003,metal_nut,1,0.9190125465393066,dataset/MVTec/metal_nut/test/color/003.png
mvtec,004,metal_nut,1,0.8189390301704407,dataset/MVTec/metal_nut/test/color/004.png
mvtec,005,metal_nut,1,0.5555009841918945,dataset/MVTec/metal_nut/test/color/005.png
mvtec,006,metal_nut,1,0.7704329490661621,dataset/MVTec/metal_nut/test/color/006.png
mvtec,007,metal_nut,1,0.944203794002533,dataset/MVTec/metal_nut/test/color/007.png
mvtec,008,metal_nut,1,0.9484915733337402,dataset/MVTec/metal_nut/test/color/008.png
mvtec,009,metal_nut,1,0.9365234971046448,dataset/MVTec/metal_nut/test/color/009.png
mvtec,010,metal_nut,1,0.9308072924613953,dataset/MVTec/metal_nut/test/color/010.png
mvtec,011,metal_nut,1,0.8825104832649231,dataset/MVTec/metal_nut/test/color/011.png
mvtec,012,metal_nut,1,0.9007012248039246,dataset/MVTec/metal_nut/test/color/012.png
mvtec,013,metal_nut,1,0.9276536107063293,dataset/MVTec/metal_nut/test/color/013.png
mvtec,014,metal_nut,1,0.8556134104728699,dataset/MVTec/metal_nut/test/color/014.png
mvtec,015,metal_nut,1,0.5919905304908752,dataset/MVTec/metal_nut/test/color/015.png
mvtec,016,metal_nut,1,0.9224464297294617,dataset/MVTec/metal_nut/test/color/016.png
mvtec,017,metal_nut,1,0.9247066378593445,dataset/MVTec/metal_nut/test/color/017.png
mvtec,018,metal_nut,1,0.9101600646972656,dataset/MVTec/metal_nut/test/color/018.png
mvtec,019,metal_nut,1,0.9538396000862122,dataset/MVTec/metal_nut/test/color/019.png
mvtec,020,metal_nut,1,0.9175768494606018,dataset/MVTec/metal_nut/test/color/020.png
mvtec,021,metal_nut,1,0.8746172785758972,dataset/MVTec/metal_nut/test/color/021.png
mvtec,000,metal_nut,1,0.7985836863517761,dataset/MVTec/metal_nut/test/flip/000.png
mvtec,001,metal_nut,1,0.796771228313446,dataset/MVTec/metal_nut/test/flip/001.png
mvtec,002,metal_nut,1,0.8369402289390564,dataset/MVTec/metal_nut/test/flip/002.png
mvtec,003,metal_nut,1,0.7991278767585754,dataset/MVTec/metal_nut/test/flip/003.png
mvtec,004,metal_nut,1,0.7752206921577454,dataset/MVTec/metal_nut/test/flip/004.png
mvtec,005,metal_nut,1,0.7715526223182678,dataset/MVTec/metal_nut/test/flip/005.png
mvtec,006,metal_nut,1,0.7835182547569275,dataset/MVTec/metal_nut/test/flip/006.png
mvtec,007,metal_nut,1,0.775916576385498,dataset/MVTec/metal_nut/test/flip/007.png
mvtec,008,metal_nut,1,0.7769834399223328,dataset/MVTec/metal_nut/test/flip/008.png
mvtec,009,metal_nut,1,0.8368949890136719,dataset/MVTec/metal_nut/test/flip/009.png
mvtec,010,metal_nut,1,0.8268475532531738,dataset/MVTec/metal_nut/test/flip/010.png
mvtec,011,metal_nut,1,0.7794877886772156,dataset/MVTec/metal_nut/test/flip/011.png
mvtec,012,metal_nut,1,0.7732319235801697,dataset/MVTec/metal_nut/test/flip/012.png
mvtec,013,metal_nut,1,0.7801508903503418,dataset/MVTec/metal_nut/test/flip/013.png
mvtec,014,metal_nut,1,0.7608672976493835,dataset/MVTec/metal_nut/test/flip/014.png
mvtec,015,metal_nut,1,0.8047558665275574,dataset/MVTec/metal_nut/test/flip/015.png
mvtec,016,metal_nut,1,0.8255856037139893,dataset/MVTec/metal_nut/test/flip/016.png
mvtec,017,metal_nut,1,0.7992413640022278,dataset/MVTec/metal_nut/test/flip/017.png
mvtec,018,metal_nut,1,0.7990093231201172,dataset/MVTec/metal_nut/test/flip/018.png
mvtec,019,metal_nut,1,0.8107054829597473,dataset/MVTec/metal_nut/test/flip/019.png
mvtec,020,metal_nut,1,0.8433933258056641,dataset/MVTec/metal_nut/test/flip/020.png
mvtec,021,metal_nut,1,0.815812885761261,dataset/MVTec/metal_nut/test/flip/021.png
mvtec,022,metal_nut,1,0.8152914047241211,dataset/MVTec/metal_nut/test/flip/022.png
mvtec,000,metal_nut,1,0.8143563866615295,dataset/MVTec/metal_nut/test/scratch/000.png
mvtec,001,metal_nut,1,0.9073192477226257,dataset/MVTec/metal_nut/test/scratch/001.png
mvtec,002,metal_nut,1,0.867595374584198,dataset/MVTec/metal_nut/test/scratch/002.png
mvtec,003,metal_nut,1,0.8591839671134949,dataset/MVTec/metal_nut/test/scratch/003.png
mvtec,004,metal_nut,1,0.5575442314147949,dataset/MVTec/metal_nut/test/scratch/004.png
mvtec,005,metal_nut,1,0.9473057389259338,dataset/MVTec/metal_nut/test/scratch/005.png
mvtec,006,metal_nut,1,0.8450577855110168,dataset/MVTec/metal_nut/test/scratch/006.png
mvtec,007,metal_nut,1,0.874164342880249,dataset/MVTec/metal_nut/test/scratch/007.png
mvtec,008,metal_nut,1,0.9259672164916992,dataset/MVTec/metal_nut/test/scratch/008.png
mvtec,009,metal_nut,1,0.838195264339447,dataset/MVTec/metal_nut/test/scratch/009.png
mvtec,010,metal_nut,1,0.8301641345024109,dataset/MVTec/metal_nut/test/scratch/010.png
mvtec,011,metal_nut,1,0.8982099890708923,dataset/MVTec/metal_nut/test/scratch/011.png
mvtec,012,metal_nut,1,0.8490265011787415,dataset/MVTec/metal_nut/test/scratch/012.png
mvtec,013,metal_nut,1,0.8528836369514465,dataset/MVTec/metal_nut/test/scratch/013.png
mvtec,014,metal_nut,1,0.7730336785316467,dataset/MVTec/metal_nut/test/scratch/014.png
mvtec,015,metal_nut,1,0.882927656173706,dataset/MVTec/metal_nut/test/scratch/015.png
mvtec,016,metal_nut,1,0.8966920971870422,dataset/MVTec/metal_nut/test/scratch/016.png
mvtec,017,metal_nut,1,0.8647158741950989,dataset/MVTec/metal_nut/test/scratch/017.png
mvtec,018,metal_nut,1,0.8959633708000183,dataset/MVTec/metal_nut/test/scratch/018.png
mvtec,019,metal_nut,1,0.9191188812255859,dataset/MVTec/metal_nut/test/scratch/019.png
mvtec,020,metal_nut,1,0.825308620929718,dataset/MVTec/metal_nut/test/scratch/020.png
mvtec,021,metal_nut,1,0.920650064945221,dataset/MVTec/metal_nut/test/scratch/021.png
mvtec,022,metal_nut,1,0.840674102306366,dataset/MVTec/metal_nut/test/scratch/022.png
mvtec,000,metal_nut,0,0.7315093874931335,dataset/MVTec/metal_nut/test/good/000.png
mvtec,001,metal_nut,0,0.8128008246421814,dataset/MVTec/metal_nut/test/good/001.png
mvtec,002,metal_nut,0,0.6704010963439941,dataset/MVTec/metal_nut/test/good/002.png
mvtec,003,metal_nut,0,0.824359655380249,dataset/MVTec/metal_nut/test/good/003.png
mvtec,004,metal_nut,0,0.45124951004981995,dataset/MVTec/metal_nut/test/good/004.png
mvtec,005,metal_nut,0,0.8253447413444519,dataset/MVTec/metal_nut/test/good/005.png
mvtec,006,metal_nut,0,0.47650256752967834,dataset/MVTec/metal_nut/test/good/006.png
mvtec,007,metal_nut,0,0.4933963716030121,dataset/MVTec/metal_nut/test/good/007.png
mvtec,008,metal_nut,0,0.4947535991668701,dataset/MVTec/metal_nut/test/good/008.png
mvtec,009,metal_nut,0,0.5675932765007019,dataset/MVTec/metal_nut/test/good/009.png
mvtec,010,metal_nut,0,0.5734922289848328,dataset/MVTec/metal_nut/test/good/010.png
mvtec,011,metal_nut,0,0.5606124997138977,dataset/MVTec/metal_nut/test/good/011.png
mvtec,012,metal_nut,0,0.5425198674201965,dataset/MVTec/metal_nut/test/good/012.png
mvtec,013,metal_nut,0,0.4751228094100952,dataset/MVTec/metal_nut/test/good/013.png
mvtec,014,metal_nut,0,0.44284820556640625,dataset/MVTec/metal_nut/test/good/014.png
mvtec,015,metal_nut,0,0.6894149780273438,dataset/MVTec/metal_nut/test/good/015.png
mvtec,016,metal_nut,0,0.41359448432922363,dataset/MVTec/metal_nut/test/good/016.png
mvtec,017,metal_nut,0,0.4738093316555023,dataset/MVTec/metal_nut/test/good/017.png
mvtec,018,metal_nut,0,0.49787577986717224,dataset/MVTec/metal_nut/test/good/018.png
mvtec,019,metal_nut,0,0.47081413865089417,dataset/MVTec/metal_nut/test/good/019.png
mvtec,020,metal_nut,0,0.46646785736083984,dataset/MVTec/metal_nut/test/good/020.png
mvtec,021,metal_nut,0,0.6048674583435059,dataset/MVTec/metal_nut/test/good/021.png
mvtec,000,metal_nut,1,0.896759033203125,dataset/MVTec/metal_nut/test/bent/000.png
mvtec,001,metal_nut,1,0.8221103549003601,dataset/MVTec/metal_nut/test/bent/001.png
mvtec,002,metal_nut,1,0.6763164401054382,dataset/MVTec/metal_nut/test/bent/002.png
mvtec,003,metal_nut,1,0.8920771479606628,dataset/MVTec/metal_nut/test/bent/003.png
