dataset,sample_id,class,label,image_score,query_path
visa,0107,pcb3,0,0.667250394821167,dataset\Visa\pcb3/Data/Images/Normal/0107.JPG
visa,0484,pcb3,0,0.7499551773071289,dataset\Visa\pcb3/Data/Images/Normal/0484.JPG
visa,0690,pcb3,0,0.6662100553512573,dataset\Visa\pcb3/Data/Images/Normal/0690.JPG
visa,0303,pcb3,0,0.7297212481498718,dataset\Visa\pcb3/Data/Images/Normal/0303.JPG
visa,0237,pcb3,0,0.7529565691947937,dataset\Visa\pcb3/Data/Images/Normal/0237.JPG
visa,0394,pcb3,0,0.7614102363586426,dataset\Visa\pcb3/Data/Images/Normal/0394.JPG
visa,0214,pcb3,0,0.7408282160758972,dataset\Visa\pcb3/Data/Images/Normal/0214.JPG
visa,0991,pcb3,0,0.7405482530593872,dataset\Visa\pcb3/Data/Images/Normal/0991.JPG
visa,0657,pcb3,0,0.7941503524780273,dataset\Visa\pcb3/Data/Images/Normal/0657.JPG
visa,0377,pcb3,0,0.709772527217865,dataset\Visa\pcb3/Data/Images/Normal/0377.JPG
visa,0659,pcb3,0,0.7711371183395386,dataset\Visa\pcb3/Data/Images/Normal/0659.JPG
visa,0514,pcb3,0,0.7752870321273804,dataset\Visa\pcb3/Data/Images/Normal/0514.JPG
visa,0617,pcb3,0,0.7855308055877686,dataset\Visa\pcb3/Data/Images/Normal/0617.JPG
visa,0725,pcb3,0,0.6945608854293823,dataset\Visa\pcb3/Data/Images/Normal/0725.JPG
visa,0172,pcb3,0,0.6577451229095459,dataset\Visa\pcb3/Data/Images/Normal/0172.JPG
visa,1002,pcb3,0,0.7506121397018433,dataset\Visa\pcb3/Data/Images/Normal/1002.JPG
visa,0483,pcb3,0,0.7675444483757019,dataset\Visa\pcb3/Data/Images/Normal/0483.JPG
visa,0654,pcb3,0,0.6651182174682617,dataset\Visa\pcb3/Data/Images/Normal/0654.JPG
visa,0400,pcb3,0,0.6775799989700317,dataset\Visa\pcb3/Data/Images/Normal/0400.JPG
visa,0469,pcb3,0,0.7283684015274048,dataset\Visa\pcb3/Data/Images/Normal/0469.JPG
