dataset,sample_id,class,label,image_score,query_path
mvtec,000,pill,1,0.8641635775566101,dataset/MVTec/pill/test/crack/000.png
mvtec,001,pill,1,0.4567039906978607,dataset/MVTec/pill/test/crack/001.png
mvtec,002,pill,1,0.8116663098335266,dataset/MVTec/pill/test/crack/002.png
mvtec,003,pill,1,0.424884170293808,dataset/MVTec/pill/test/crack/003.png
mvtec,004,pill,1,0.8054385781288147,dataset/MVTec/pill/test/crack/004.png
mvtec,005,pill,1,0.6000933647155762,dataset/MVTec/pill/test/crack/005.png
mvtec,006,pill,1,0.7327941060066223,dataset/MVTec/pill/test/crack/006.png
mvtec,007,pill,1,0.6599317193031311,dataset/MVTec/pill/test/crack/007.png
mvtec,008,pill,1,0.7351593375205994,dataset/MVTec/pill/test/crack/008.png
mvtec,009,pill,1,0.8482570052146912,dataset/MVTec/pill/test/crack/009.png
mvtec,010,pill,1,0.6290778517723083,dataset/MVTec/pill/test/crack/010.png
mvtec,011,pill,1,0.7709001898765564,dataset/MVTec/pill/test/crack/011.png
mvtec,012,pill,1,0.4868922233581543,dataset/MVTec/pill/test/crack/012.png
mvtec,013,pill,1,0.6407951712608337,dataset/MVTec/pill/test/crack/013.png
mvtec,014,pill,1,0.5908356308937073,dataset/MVTec/pill/test/crack/014.png
mvtec,015,pill,1,0.7048241496086121,dataset/MVTec/pill/test/crack/015.png
mvtec,016,pill,1,0.5850174427032471,dataset/MVTec/pill/test/crack/016.png
mvtec,017,pill,1,0.5239155888557434,dataset/MVTec/pill/test/crack/017.png
mvtec,018,pill,1,0.6473075747489929,dataset/MVTec/pill/test/crack/018.png
mvtec,019,pill,1,0.795882523059845,dataset/MVTec/pill/test/crack/019.png
mvtec,020,pill,1,0.5991458296775818,dataset/MVTec/pill/test/crack/020.png
mvtec,021,pill,1,0.37964928150177,dataset/MVTec/pill/test/crack/021.png
mvtec,022,pill,1,0.822091281414032,dataset/MVTec/pill/test/crack/022.png
mvtec,023,pill,1,0.7811385989189148,dataset/MVTec/pill/test/crack/023.png
mvtec,024,pill,1,0.4564498960971832,dataset/MVTec/pill/test/crack/024.png
mvtec,025,pill,1,0.44894325733184814,dataset/MVTec/pill/test/crack/025.png
mvtec,000,pill,1,0.5795827507972717,dataset/MVTec/pill/test/color/000.png
mvtec,001,pill,1,0.48325419425964355,dataset/MVTec/pill/test/color/001.png
mvtec,002,pill,1,0.3338463008403778,dataset/MVTec/pill/test/color/002.png
mvtec,003,pill,1,0.4219306409358978,dataset/MVTec/pill/test/color/003.png
mvtec,004,pill,1,0.4031166136264801,dataset/MVTec/pill/test/color/004.png
mvtec,005,pill,1,0.693235456943512,dataset/MVTec/pill/test/color/005.png
mvtec,006,pill,1,0.7494990229606628,dataset/MVTec/pill/test/color/006.png
mvtec,007,pill,1,0.6504303812980652,dataset/MVTec/pill/test/color/007.png
mvtec,008,pill,1,0.8188006281852722,dataset/MVTec/pill/test/color/008.png
mvtec,009,pill,1,0.6607239246368408,dataset/MVTec/pill/test/color/009.png
mvtec,010,pill,1,0.7806089520454407,dataset/MVTec/pill/test/color/010.png
mvtec,011,pill,1,0.7316684722900391,dataset/MVTec/pill/test/color/011.png
mvtec,012,pill,1,0.6761824488639832,dataset/MVTec/pill/test/color/012.png
mvtec,013,pill,1,0.7019813656806946,dataset/MVTec/pill/test/color/013.png
mvtec,014,pill,1,0.821455717086792,dataset/MVTec/pill/test/color/014.png
mvtec,015,pill,1,0.8364621996879578,dataset/MVTec/pill/test/color/015.png
mvtec,016,pill,1,0.6566591858863831,dataset/MVTec/pill/test/color/016.png
mvtec,017,pill,1,0.7750250697135925,dataset/MVTec/pill/test/color/017.png
mvtec,018,pill,1,0.5777223706245422,dataset/MVTec/pill/test/color/018.png
mvtec,019,pill,1,0.6128764152526855,dataset/MVTec/pill/test/color/019.png
mvtec,020,pill,1,0.779095470905304,dataset/MVTec/pill/test/color/020.png
mvtec,021,pill,1,0.8524439334869385,dataset/MVTec/pill/test/color/021.png
mvtec,022,pill,1,0.7865272164344788,dataset/MVTec/pill/test/color/022.png
mvtec,023,pill,1,0.5797582268714905,dataset/MVTec/pill/test/color/023.png
mvtec,024,pill,1,0.6273208260536194,dataset/MVTec/pill/test/color/024.png
mvtec,000,pill,1,0.7562314867973328,dataset/MVTec/pill/test/scratch/000.png
mvtec,001,pill,1,0.6579685211181641,dataset/MVTec/pill/test/scratch/001.png
