dataset,sample_id,class,label,image_score,query_path
mvtec,000,pill,1,0.579578161239624,dataset\MVTec\pill/test/color/000.png
mvtec,001,pill,1,0.48325014114379883,dataset\MVTec\pill/test/color/001.png
mvtec,002,pill,1,0.3338441848754883,dataset\MVTec\pill/test/color/002.png
mvtec,003,pill,1,0.42193159461021423,dataset\MVTec\pill/test/color/003.png
mvtec,004,pill,1,0.40311765670776367,dataset\MVTec\pill/test/color/004.png
mvtec,005,pill,1,0.6932362914085388,dataset\MVTec\pill/test/color/005.png
mvtec,006,pill,1,0.7494984865188599,dataset\MVTec\pill/test/color/006.png
mvtec,007,pill,1,0.6504309177398682,dataset\MVTec\pill/test/color/007.png
mvtec,008,pill,1,0.8188024759292603,dataset\MVTec\pill/test/color/008.png
mvtec,009,pill,1,0.6607205271720886,dataset\MVTec\pill/test/color/009.png
mvtec,010,pill,1,0.7806079387664795,dataset\MVTec\pill/test/color/010.png
mvtec,011,pill,1,0.731673002243042,dataset\MVTec\pill/test/color/011.png
mvtec,012,pill,1,0.6761825084686279,dataset\MVTec\pill/test/color/012.png
mvtec,013,pill,1,0.7019817233085632,dataset\MVTec\pill/test/color/013.png
mvtec,014,pill,1,0.8214573860168457,dataset\MVTec\pill/test/color/014.png
mvtec,015,pill,1,0.836462676525116,dataset\MVTec\pill/test/color/015.png
mvtec,016,pill,1,0.6566557884216309,dataset\MVTec\pill/test/color/016.png
mvtec,017,pill,1,0.7750281691551208,dataset\MVTec\pill/test/color/017.png
mvtec,018,pill,1,0.5777268409729004,dataset\MVTec\pill/test/color/018.png
mvtec,019,pill,1,0.6128875613212585,dataset\MVTec\pill/test/color/019.png
mvtec,020,pill,1,0.7790943384170532,dataset\MVTec\pill/test/color/020.png
mvtec,021,pill,1,0.8524436950683594,dataset\MVTec\pill/test/color/021.png
mvtec,022,pill,1,0.7865298986434937,dataset\MVTec\pill/test/color/022.png
mvtec,023,pill,1,0.5797604322433472,dataset\MVTec\pill/test/color/023.png
mvtec,024,pill,1,0.627322793006897,dataset\MVTec\pill/test/color/024.png
mvtec,000,pill,1,0.8786101341247559,dataset\MVTec\pill/test/combined/000.png
mvtec,001,pill,1,0.9222549796104431,dataset\MVTec\pill/test/combined/001.png
mvtec,002,pill,1,0.6991149187088013,dataset\MVTec\pill/test/combined/002.png
mvtec,003,pill,1,0.7672743797302246,dataset\MVTec\pill/test/combined/003.png
mvtec,004,pill,1,0.8400483131408691,dataset\MVTec\pill/test/combined/004.png
mvtec,005,pill,1,0.6393234133720398,dataset\MVTec\pill/test/combined/005.png
mvtec,006,pill,1,0.6389555931091309,dataset\MVTec\pill/test/combined/006.png
mvtec,007,pill,1,0.8113905787467957,dataset\MVTec\pill/test/combined/007.png
mvtec,008,pill,1,0.5049285888671875,dataset\MVTec\pill/test/combined/008.png
