class,I-AUROC,I-AUROC(%)
bottle, 0.92,92
cable,0.8809970014992504,88.09970014992504
capsule,0.8751495811727165,87.51495811727165
carpet,0.99438202247191,99.438202247191
grid,0.9715956558061821,97.1595655806182
hazelnut,0.8453571428571428,84.53571428571428
leather,0.9989809782608695,99.89809782608695
metal_nut,0.9374389051808406,93.74389051808406
pill,0.823786142935079,82.3786142935079
screw,0.8425906948145113,84.25906948145114
tile,0.977994227994228,97.7994227994228
toothbrush,0.9138888888888889,91.38888888888889
transistor,0.8737499999999999,87.37499999999999
wood,0.9885964912280701,98.85964912280701
zipper,0.7959558823529411,79.59558823529412
