dataset,sample_id,class,label,image_score,query_path
visa,0790,candle,0,0.7367576956748962,dataset\Visa\candle/Data/Images/Normal/0790.JPG
visa,0107,candle,0,0.8603195548057556,dataset\Visa\candle/Data/Images/Normal/0107.JPG
visa,0484,candle,0,0.808694064617157,dataset\Visa\candle/Data/Images/Normal/0484.JPG
visa,0690,candle,0,0.781671941280365,dataset\Visa\candle/Data/Images/Normal/0690.JPG
visa,0303,candle,0,0.7859408855438232,dataset\Visa\candle/Data/Images/Normal/0303.JPG
visa,0237,candle,0,0.809872567653656,dataset\Visa\candle/Data/Images/Normal/0237.JPG
visa,0394,candle,0,0.7634655237197876,dataset\Visa\candle/Data/Images/Normal/0394.JPG
visa,0214,candle,0,0.6982316374778748,dataset\Visa\candle/Data/Images/Normal/0214.JPG
visa,0985,candle,0,0.8648151755332947,dataset\Visa\candle/Data/Images/Normal/0985.JPG
visa,0657,candle,0,0.792377769947052,dataset\Visa\candle/Data/Images/Normal/0657.JPG
visa,0377,candle,0,0.7402600049972534,dataset\Visa\candle/Data/Images/Normal/0377.JPG
visa,0659,candle,0,0.8457351326942444,dataset\Visa\candle/Data/Images/Normal/0659.JPG
visa,0514,candle,0,0.7342445850372314,dataset\Visa\candle/Data/Images/Normal/0514.JPG
visa,0617,candle,0,0.8218768239021301,dataset\Visa\candle/Data/Images/Normal/0617.JPG
visa,0725,candle,0,0.7599573731422424,dataset\Visa\candle/Data/Images/Normal/0725.JPG
visa,0172,candle,0,0.7677270770072937,dataset\Visa\candle/Data/Images/Normal/0172.JPG
visa,0996,candle,0,0.813373863697052,dataset\Visa\candle/Data/Images/Normal/0996.JPG
visa,0483,candle,0,0.7838906049728394,dataset\Visa\candle/Data/Images/Normal/0483.JPG
visa,0654,candle,0,0.7954369187355042,dataset\Visa\candle/Data/Images/Normal/0654.JPG
visa,0400,candle,0,0.8750374913215637,dataset\Visa\candle/Data/Images/Normal/0400.JPG
visa,0469,candle,0,0.8169583678245544,dataset\Visa\candle/Data/Images/Normal/0469.JPG
visa,0525,candle,0,0.8418071269989014,dataset\Visa\candle/Data/Images/Normal/0525.JPG
visa,0170,candle,0,0.7675865292549133,dataset\Visa\candle/Data/Images/Normal/0170.JPG
visa,0631,candle,0,0.7549630999565125,dataset\Visa\candle/Data/Images/Normal/0631.JPG
visa,0685,candle,0,0.7308658957481384,dataset\Visa\candle/Data/Images/Normal/0685.JPG
