dataset,sample_id,class,label,image_score,query_path
mvtec,000,capsule,1,0.8102520108222961,dataset\MVTec\capsule/test/crack/000.png
mvtec,001,capsule,1,0.9858312010765076,dataset\MVTec\capsule/test/crack/001.png
mvtec,002,capsule,1,0.8494855761528015,dataset\MVTec\capsule/test/crack/002.png
mvtec,003,capsule,1,0.9006632566452026,dataset\MVTec\capsule/test/crack/003.png
mvtec,004,capsule,1,0.9128707051277161,dataset\MVTec\capsule/test/crack/004.png
mvtec,005,capsule,1,0.8822706341743469,dataset\MVTec\capsule/test/crack/005.png
mvtec,006,capsule,1,0.8505889773368835,dataset\MVTec\capsule/test/crack/006.png
mvtec,007,capsule,1,0.9660069346427917,dataset\MVTec\capsule/test/crack/007.png
mvtec,008,capsule,1,0.9037280678749084,dataset\MVTec\capsule/test/crack/008.png
mvtec,009,capsule,1,0.8948902487754822,dataset\MVTec\capsule/test/crack/009.png
mvtec,010,capsule,1,0.8703680634498596,dataset\MVTec\capsule/test/crack/010.png
mvtec,011,capsule,1,0.9347967505455017,dataset\MVTec\capsule/test/crack/011.png
mvtec,012,capsule,1,0.916159451007843,dataset\MVTec\capsule/test/crack/012.png
mvtec,013,capsule,1,0.8644494414329529,dataset\MVTec\capsule/test/crack/013.png
mvtec,014,capsule,1,0.8625537753105164,dataset\MVTec\capsule/test/crack/014.png
mvtec,015,capsule,1,0.9579755663871765,dataset\MVTec\capsule/test/crack/015.png
mvtec,016,capsule,1,0.8491665124893188,dataset\MVTec\capsule/test/crack/016.png
mvtec,017,capsule,1,0.9013938307762146,dataset\MVTec\capsule/test/crack/017.png
mvtec,018,capsule,1,0.8940305113792419,dataset\MVTec\capsule/test/crack/018.png
mvtec,019,capsule,1,0.9577717185020447,dataset\MVTec\capsule/test/crack/019.png
mvtec,020,capsule,1,0.8571215867996216,dataset\MVTec\capsule/test/crack/020.png
mvtec,021,capsule,1,0.8535754084587097,dataset\MVTec\capsule/test/crack/021.png
