dataset,sample_id,class,label,image_score,query_path
visa,023,fryum,0,0.9130377173423767,dataset\Visa\fryum/Data/Images/Normal/023.JPG
visa,352,fryum,0,0.7832651734352112,dataset\Visa\fryum/Data/Images/Normal/352.JPG
visa,104,fryum,0,0.8561758399009705,dataset\Visa\fryum/Data/Images/Normal/104.JPG
visa,337,fryum,0,0.8431167602539062,dataset\Visa\fryum/Data/Images/Normal/337.JPG
visa,213,fryum,0,0.7827483415603638,dataset\Visa\fryum/Data/Images/Normal/213.JPG
visa,276,fryum,0,0.8838830590248108,dataset\Visa\fryum/Data/Images/Normal/276.JPG
visa,402,fryum,0,0.873659610748291,dataset\Visa\fryum/Data/Images/Normal/402.JPG
visa,166,fryum,0,0.8277124166488647,dataset\Visa\fryum/Data/Images/Normal/166.JPG
visa,013,fryum,0,0.8028228878974915,dataset\Visa\fryum/Data/Images/Normal/013.JPG
visa,050,fryum,0,0.838036060333252,dataset\Visa\fryum/Data/Images/Normal/050.JPG
visa,400,fryum,0,0.7993252277374268,dataset\Visa\fryum/Data/Images/Normal/400.JPG
visa,461,fryum,0,0.8582921028137207,dataset\Visa\fryum/Data/Images/Normal/461.JPG
visa,377,fryum,0,0.8642286658287048,dataset\Visa\fryum/Data/Images/Normal/377.JPG
visa,006,fryum,0,0.7877853512763977,dataset\Visa\fryum/Data/Images/Normal/006.JPG
visa,148,fryum,0,0.8942155241966248,dataset\Visa\fryum/Data/Images/Normal/148.JPG
visa,384,fryum,0,0.8567059636116028,dataset\Visa\fryum/Data/Images/Normal/384.JPG
visa,228,fryum,0,0.8199259042739868,dataset\Visa\fryum/Data/Images/Normal/228.JPG
visa,260,fryum,0,0.8796097040176392,dataset\Visa\fryum/Data/Images/Normal/260.JPG
visa,435,fryum,0,0.8394210338592529,dataset\Visa\fryum/Data/Images/Normal/435.JPG
visa,405,fryum,0,0.8295720815658569,dataset\Visa\fryum/Data/Images/Normal/405.JPG
visa,087,fryum,0,0.8800724744796753,dataset\Visa\fryum/Data/Images/Normal/087.JPG
visa,324,fryum,0,0.8660131096839905,dataset\Visa\fryum/Data/Images/Normal/324.JPG
visa,130,fryum,0,0.8925104141235352,dataset\Visa\fryum/Data/Images/Normal/130.JPG
visa,392,fryum,0,0.9049692749977112,dataset\Visa\fryum/Data/Images/Normal/392.JPG
visa,467,fryum,0,0.7926025986671448,dataset\Visa\fryum/Data/Images/Normal/467.JPG
visa,143,fryum,0,0.8155268430709839,dataset\Visa\fryum/Data/Images/Normal/143.JPG
visa,389,fryum,0,0.8808717131614685,dataset\Visa\fryum/Data/Images/Normal/389.JPG
visa,181,fryum,0,0.8258736729621887,dataset\Visa\fryum/Data/Images/Normal/181.JPG
visa,309,fryum,0,0.8070175647735596,dataset\Visa\fryum/Data/Images/Normal/309.JPG
visa,012,fryum,0,0.8581454753875732,dataset\Visa\fryum/Data/Images/Normal/012.JPG
visa,367,fryum,0,0.7614768743515015,dataset\Visa\fryum/Data/Images/Normal/367.JPG
visa,344,fryum,0,0.796422004699707,dataset\Visa\fryum/Data/Images/Normal/344.JPG
visa,484,fryum,0,0.8326307535171509,dataset\Visa\fryum/Data/Images/Normal/484.JPG
visa,089,fryum,0,0.8777567744255066,dataset\Visa\fryum/Data/Images/Normal/089.JPG
visa,398,fryum,0,0.8611255288124084,dataset\Visa\fryum/Data/Images/Normal/398.JPG
visa,460,fryum,0,0.8245499730110168,dataset\Visa\fryum/Data/Images/Normal/460.JPG
visa,239,fryum,0,0.8597845435142517,dataset\Visa\fryum/Data/Images/Normal/239.JPG
visa,342,fryum,0,0.8479713201522827,dataset\Visa\fryum/Data/Images/Normal/342.JPG
visa,369,fryum,0,0.7986566424369812,dataset\Visa\fryum/Data/Images/Normal/369.JPG
visa,284,fryum,0,0.8412104845046997,dataset\Visa\fryum/Data/Images/Normal/284.JPG
visa,098,fryum,0,0.8335109949111938,dataset\Visa\fryum/Data/Images/Normal/098.JPG
visa,446,fryum,0,0.8505750894546509,dataset\Visa\fryum/Data/Images/Normal/446.JPG
visa,482,fryum,0,0.8535153269767761,dataset\Visa\fryum/Data/Images/Normal/482.JPG
visa,093,fryum,0,0.8199531435966492,dataset\Visa\fryum/Data/Images/Normal/093.JPG
visa,244,fryum,0,0.8563120365142822,dataset\Visa\fryum/Data/Images/Normal/244.JPG
visa,272,fryum,0,0.8819231390953064,dataset\Visa\fryum/Data/Images/Normal/272.JPG
visa,307,fryum,0,0.8728963136672974,dataset\Visa\fryum/Data/Images/Normal/307.JPG
visa,487,fryum,0,0.7804477214813232,dataset\Visa\fryum/Data/Images/Normal/487.JPG
visa,245,fryum,0,0.8454275131225586,dataset\Visa\fryum/Data/Images/Normal/245.JPG
visa,084,fryum,0,0.8316761255264282,dataset\Visa\fryum/Data/Images/Normal/084.JPG
visa,000,fryum,1,0.9908485412597656,dataset\Visa\fryum/Data/Images/Anomaly/000.JPG
visa,001,fryum,1,0.9285476207733154,dataset\Visa\fryum/Data/Images/Anomaly/001.JPG
visa,002,fryum,1,0.9456630349159241,dataset\Visa\fryum/Data/Images/Anomaly/002.JPG
visa,003,fryum,1,0.888778030872345,dataset\Visa\fryum/Data/Images/Anomaly/003.JPG
visa,004,fryum,1,0.9088351130485535,dataset\Visa\fryum/Data/Images/Anomaly/004.JPG
visa,005,fryum,1,0.972693145275116,dataset\Visa\fryum/Data/Images/Anomaly/005.JPG
visa,006,fryum,1,0.9024822115898132,dataset\Visa\fryum/Data/Images/Anomaly/006.JPG
visa,007,fryum,1,0.8685413002967834,dataset\Visa\fryum/Data/Images/Anomaly/007.JPG
visa,008,fryum,1,0.9481676816940308,dataset\Visa\fryum/Data/Images/Anomaly/008.JPG
visa,009,fryum,1,0.992229163646698,dataset\Visa\fryum/Data/Images/Anomaly/009.JPG
visa,010,fryum,1,0.8791069984436035,dataset\Visa\fryum/Data/Images/Anomaly/010.JPG
visa,011,fryum,1,0.9496762156486511,dataset\Visa\fryum/Data/Images/Anomaly/011.JPG
visa,012,fryum,1,0.9878144264221191,dataset\Visa\fryum/Data/Images/Anomaly/012.JPG
visa,013,fryum,1,0.9272260069847107,dataset\Visa\fryum/Data/Images/Anomaly/013.JPG
visa,014,fryum,1,0.8925987482070923,dataset\Visa\fryum/Data/Images/Anomaly/014.JPG
visa,015,fryum,1,0.8209297060966492,dataset\Visa\fryum/Data/Images/Anomaly/015.JPG
visa,016,fryum,1,0.9568727016448975,dataset\Visa\fryum/Data/Images/Anomaly/016.JPG
visa,017,fryum,1,0.9262990951538086,dataset\Visa\fryum/Data/Images/Anomaly/017.JPG
visa,018,fryum,1,0.9802930951118469,dataset\Visa\fryum/Data/Images/Anomaly/018.JPG
visa,019,fryum,1,0.8698610663414001,dataset\Visa\fryum/Data/Images/Anomaly/019.JPG
visa,020,fryum,1,0.931706964969635,dataset\Visa\fryum/Data/Images/Anomaly/020.JPG
visa,021,fryum,1,0.8584873676300049,dataset\Visa\fryum/Data/Images/Anomaly/021.JPG
visa,022,fryum,1,0.8358049988746643,dataset\Visa\fryum/Data/Images/Anomaly/022.JPG
visa,023,fryum,1,0.8916832208633423,dataset\Visa\fryum/Data/Images/Anomaly/023.JPG
visa,024,fryum,1,0.8912612795829773,dataset\Visa\fryum/Data/Images/Anomaly/024.JPG
visa,025,fryum,1,0.8853375911712646,dataset\Visa\fryum/Data/Images/Anomaly/025.JPG
visa,026,fryum,1,0.8210709095001221,dataset\Visa\fryum/Data/Images/Anomaly/026.JPG
visa,027,fryum,1,0.9144653081893921,dataset\Visa\fryum/Data/Images/Anomaly/027.JPG
visa,028,fryum,1,0.891295850276947,dataset\Visa\fryum/Data/Images/Anomaly/028.JPG
visa,029,fryum,1,0.9106358289718628,dataset\Visa\fryum/Data/Images/Anomaly/029.JPG
visa,030,fryum,1,0.9181215167045593,dataset\Visa\fryum/Data/Images/Anomaly/030.JPG
visa,031,fryum,1,0.9256621599197388,dataset\Visa\fryum/Data/Images/Anomaly/031.JPG
visa,032,fryum,1,0.8780103921890259,dataset\Visa\fryum/Data/Images/Anomaly/032.JPG
visa,033,fryum,1,0.9093117117881775,dataset\Visa\fryum/Data/Images/Anomaly/033.JPG
visa,034,fryum,1,0.8876328468322754,dataset\Visa\fryum/Data/Images/Anomaly/034.JPG
visa,035,fryum,1,0.8875788450241089,dataset\Visa\fryum/Data/Images/Anomaly/035.JPG
visa,036,fryum,1,0.7692123055458069,dataset\Visa\fryum/Data/Images/Anomaly/036.JPG
visa,037,fryum,1,0.8433089852333069,dataset\Visa\fryum/Data/Images/Anomaly/037.JPG
visa,038,fryum,1,0.8699204325675964,dataset\Visa\fryum/Data/Images/Anomaly/038.JPG
visa,039,fryum,1,0.9186672568321228,dataset\Visa\fryum/Data/Images/Anomaly/039.JPG
visa,040,fryum,1,0.9105463027954102,dataset\Visa\fryum/Data/Images/Anomaly/040.JPG
visa,041,fryum,1,0.8158186674118042,dataset\Visa\fryum/Data/Images/Anomaly/041.JPG
visa,042,fryum,1,0.9084174036979675,dataset\Visa\fryum/Data/Images/Anomaly/042.JPG
visa,043,fryum,1,0.9516083002090454,dataset\Visa\fryum/Data/Images/Anomaly/043.JPG
visa,044,fryum,1,0.8675462007522583,dataset\Visa\fryum/Data/Images/Anomaly/044.JPG
visa,045,fryum,1,0.9913961291313171,dataset\Visa\fryum/Data/Images/Anomaly/045.JPG
visa,046,fryum,1,0.8504654765129089,dataset\Visa\fryum/Data/Images/Anomaly/046.JPG
visa,047,fryum,1,0.9410201907157898,dataset\Visa\fryum/Data/Images/Anomaly/047.JPG
visa,048,fryum,1,0.9489222168922424,dataset\Visa\fryum/Data/Images/Anomaly/048.JPG
visa,049,fryum,1,0.9133002758026123,dataset\Visa\fryum/Data/Images/Anomaly/049.JPG
visa,050,fryum,1,0.7694618105888367,dataset\Visa\fryum/Data/Images/Anomaly/050.JPG
visa,051,fryum,1,0.9820533990859985,dataset\Visa\fryum/Data/Images/Anomaly/051.JPG
visa,052,fryum,1,0.9864171743392944,dataset\Visa\fryum/Data/Images/Anomaly/052.JPG
visa,053,fryum,1,0.9910356998443604,dataset\Visa\fryum/Data/Images/Anomaly/053.JPG
visa,054,fryum,1,0.920218825340271,dataset\Visa\fryum/Data/Images/Anomaly/054.JPG
