dataset,sample_id,class,label,image_score,query_path
mvtec,000,hazelnut,1,0.9969823956489563,dataset\MVTec\hazelnut/test/crack/000.png
mvtec,001,hazelnut,1,0.998420238494873,dataset\MVTec\hazelnut/test/crack/001.png
mvtec,002,hazelnut,1,0.9923974871635437,dataset\MVTec\hazelnut/test/crack/002.png
mvtec,003,hazelnut,1,0.9937623143196106,dataset\MVTec\hazelnut/test/crack/003.png
mvtec,004,hazelnut,1,0.9970880150794983,dataset\MVTec\hazelnut/test/crack/004.png
mvtec,005,hazelnut,1,0.9960294961929321,dataset\MVTec\hazelnut/test/crack/005.png
mvtec,006,hazelnut,1,0.9965673685073853,dataset\MVTec\hazelnut/test/crack/006.png
mvtec,007,hazelnut,1,0.998878538608551,dataset\MVTec\hazelnut/test/crack/007.png
mvtec,008,hazelnut,1,0.999160647392273,dataset\MVTec\hazelnut/test/crack/008.png
mvtec,009,hazelnut,1,0.9983188509941101,dataset\MVTec\hazelnut/test/crack/009.png
mvtec,010,hazelnut,1,0.9961716532707214,dataset\MVTec\hazelnut/test/crack/010.png
mvtec,011,hazelnut,1,0.9980448484420776,dataset\MVTec\hazelnut/test/crack/011.png
mvtec,012,hazelnut,1,0.9936277866363525,dataset\MVTec\hazelnut/test/crack/012.png
mvtec,013,hazelnut,1,0.9927496910095215,dataset\MVTec\hazelnut/test/crack/013.png
mvtec,014,hazelnut,1,0.9970521926879883,dataset\MVTec\hazelnut/test/crack/014.png
mvtec,015,hazelnut,1,0.9984546899795532,dataset\MVTec\hazelnut/test/crack/015.png
mvtec,016,hazelnut,1,0.9950680732727051,dataset\MVTec\hazelnut/test/crack/016.png
mvtec,017,hazelnut,1,0.9977424144744873,dataset\MVTec\hazelnut/test/crack/017.png
mvtec,000,hazelnut,1,0.9966879487037659,dataset\MVTec\hazelnut/test/cut/000.png
mvtec,001,hazelnut,1,0.9894481897354126,dataset\MVTec\hazelnut/test/cut/001.png
mvtec,002,hazelnut,1,0.9921791553497314,dataset\MVTec\hazelnut/test/cut/002.png
mvtec,003,hazelnut,1,0.9943099021911621,dataset\MVTec\hazelnut/test/cut/003.png
mvtec,004,hazelnut,1,0.9937928915023804,dataset\MVTec\hazelnut/test/cut/004.png
mvtec,005,hazelnut,1,0.9948647618293762,dataset\MVTec\hazelnut/test/cut/005.png
mvtec,006,hazelnut,1,0.9838375449180603,dataset\MVTec\hazelnut/test/cut/006.png
mvtec,007,hazelnut,1,0.9850279092788696,dataset\MVTec\hazelnut/test/cut/007.png
mvtec,008,hazelnut,1,0.9968354105949402,dataset\MVTec\hazelnut/test/cut/008.png
mvtec,009,hazelnut,1,0.9924829602241516,dataset\MVTec\hazelnut/test/cut/009.png
mvtec,010,hazelnut,1,0.9970242381095886,dataset\MVTec\hazelnut/test/cut/010.png
mvtec,011,hazelnut,1,0.9959814548492432,dataset\MVTec\hazelnut/test/cut/011.png
mvtec,012,hazelnut,1,0.9934820532798767,dataset\MVTec\hazelnut/test/cut/012.png
mvtec,013,hazelnut,1,0.9951285123825073,dataset\MVTec\hazelnut/test/cut/013.png
mvtec,014,hazelnut,1,0.9970746040344238,dataset\MVTec\hazelnut/test/cut/014.png
mvtec,015,hazelnut,1,0.9979662895202637,dataset\MVTec\hazelnut/test/cut/015.png
mvtec,016,hazelnut,1,0.9923976063728333,dataset\MVTec\hazelnut/test/cut/016.png
mvtec,000,hazelnut,0,0.9834064841270447,dataset\MVTec\hazelnut/test/good/000.png
mvtec,001,hazelnut,0,0.9849951863288879,dataset\MVTec\hazelnut/test/good/001.png
mvtec,002,hazelnut,0,0.9790040850639343,dataset\MVTec\hazelnut/test/good/002.png
mvtec,003,hazelnut,0,0.9888914823532104,dataset\MVTec\hazelnut/test/good/003.png
mvtec,004,hazelnut,0,0.9616434574127197,dataset\MVTec\hazelnut/test/good/004.png
mvtec,005,hazelnut,0,0.9905389547348022,dataset\MVTec\hazelnut/test/good/005.png
mvtec,006,hazelnut,0,0.9727811217308044,dataset\MVTec\hazelnut/test/good/006.png
mvtec,007,hazelnut,0,0.9624907374382019,dataset\MVTec\hazelnut/test/good/007.png
mvtec,008,hazelnut,0,0.9736078381538391,dataset\MVTec\hazelnut/test/good/008.png
mvtec,009,hazelnut,0,0.9769133925437927,dataset\MVTec\hazelnut/test/good/009.png
mvtec,010,hazelnut,0,0.9846551418304443,dataset\MVTec\hazelnut/test/good/010.png
mvtec,011,hazelnut,0,0.9800997376441956,dataset\MVTec\hazelnut/test/good/011.png
mvtec,012,hazelnut,0,0.9805892705917358,dataset\MVTec\hazelnut/test/good/012.png
mvtec,013,hazelnut,0,0.9923147559165955,dataset\MVTec\hazelnut/test/good/013.png
mvtec,014,hazelnut,0,0.9804627895355225,dataset\MVTec\hazelnut/test/good/014.png
mvtec,015,hazelnut,0,0.9760765433311462,dataset\MVTec\hazelnut/test/good/015.png
mvtec,016,hazelnut,0,0.9590848684310913,dataset\MVTec\hazelnut/test/good/016.png
mvtec,017,hazelnut,0,0.9685187339782715,dataset\MVTec\hazelnut/test/good/017.png
mvtec,018,hazelnut,0,0.9852645993232727,dataset\MVTec\hazelnut/test/good/018.png
mvtec,019,hazelnut,0,0.984880805015564,dataset\MVTec\hazelnut/test/good/019.png
mvtec,020,hazelnut,0,0.9879265427589417,dataset\MVTec\hazelnut/test/good/020.png
mvtec,021,hazelnut,0,0.9703692197799683,dataset\MVTec\hazelnut/test/good/021.png
mvtec,022,hazelnut,0,0.9759206771850586,dataset\MVTec\hazelnut/test/good/022.png
mvtec,023,hazelnut,0,0.9775249361991882,dataset\MVTec\hazelnut/test/good/023.png
mvtec,024,hazelnut,0,0.983767032623291,dataset\MVTec\hazelnut/test/good/024.png
mvtec,025,hazelnut,0,0.9825056791305542,dataset\MVTec\hazelnut/test/good/025.png
mvtec,026,hazelnut,0,0.9701384902000427,dataset\MVTec\hazelnut/test/good/026.png
mvtec,027,hazelnut,0,0.9754314422607422,dataset\MVTec\hazelnut/test/good/027.png
mvtec,028,hazelnut,0,0.9885823726654053,dataset\MVTec\hazelnut/test/good/028.png
mvtec,029,hazelnut,0,0.9557592272758484,dataset\MVTec\hazelnut/test/good/029.png
mvtec,030,hazelnut,0,0.9798870086669922,dataset\MVTec\hazelnut/test/good/030.png
mvtec,031,hazelnut,0,0.9727572202682495,dataset\MVTec\hazelnut/test/good/031.png
mvtec,032,hazelnut,0,0.9860019683837891,dataset\MVTec\hazelnut/test/good/032.png
mvtec,033,hazelnut,0,0.9755175113677979,dataset\MVTec\hazelnut/test/good/033.png
mvtec,034,hazelnut,0,0.9722456336021423,dataset\MVTec\hazelnut/test/good/034.png
mvtec,035,hazelnut,0,0.9771938323974609,dataset\MVTec\hazelnut/test/good/035.png
mvtec,036,hazelnut,0,0.9801943302154541,dataset\MVTec\hazelnut/test/good/036.png
mvtec,037,hazelnut,0,0.9916079044342041,dataset\MVTec\hazelnut/test/good/037.png
mvtec,038,hazelnut,0,0.9878764152526855,dataset\MVTec\hazelnut/test/good/038.png
mvtec,039,hazelnut,0,0.9303220510482788,dataset\MVTec\hazelnut/test/good/039.png
mvtec,000,hazelnut,1,0.9991182684898376,dataset\MVTec\hazelnut/test/hole/000.png
mvtec,001,hazelnut,1,0.9972656965255737,dataset\MVTec\hazelnut/test/hole/001.png
mvtec,002,hazelnut,1,0.9982896447181702,dataset\MVTec\hazelnut/test/hole/002.png
mvtec,003,hazelnut,1,0.9992576241493225,dataset\MVTec\hazelnut/test/hole/003.png
mvtec,004,hazelnut,1,0.9976170063018799,dataset\MVTec\hazelnut/test/hole/004.png
mvtec,005,hazelnut,1,0.9981504082679749,dataset\MVTec\hazelnut/test/hole/005.png
