dataset,sample_id,class,label,image_score,query_path
mvtec,000,leather,1,0.9904668927192688,dataset\MVTec\leather/test/color/000.png
mvtec,001,leather,1,0.8813319206237793,dataset\MVTec\leather/test/color/001.png
mvtec,002,leather,1,0.8589653372764587,dataset\MVTec\leather/test/color/002.png
mvtec,003,leather,1,0.8910804390907288,dataset\MVTec\leather/test/color/003.png
mvtec,004,leather,1,0.7829824090003967,dataset\MVTec\leather/test/color/004.png
mvtec,005,leather,1,0.9580910205841064,dataset\MVTec\leather/test/color/005.png
mvtec,006,leather,1,0.8654482364654541,dataset\MVTec\leather/test/color/006.png
mvtec,007,leather,1,0.978557288646698,dataset\MVTec\leather/test/color/007.png
mvtec,008,leather,1,0.9627978205680847,dataset\MVTec\leather/test/color/008.png
mvtec,009,leather,1,0.9770159125328064,dataset\MVTec\leather/test/color/009.png
mvtec,010,leather,1,0.6111774444580078,dataset\MVTec\leather/test/color/010.png
mvtec,011,leather,1,0.9526061415672302,dataset\MVTec\leather/test/color/011.png
mvtec,012,leather,1,0.9195635318756104,dataset\MVTec\leather/test/color/012.png
mvtec,013,leather,1,0.9780440926551819,dataset\MVTec\leather/test/color/013.png
mvtec,014,leather,1,0.8114465475082397,dataset\MVTec\leather/test/color/014.png
mvtec,015,leather,1,0.9785820841789246,dataset\MVTec\leather/test/color/015.png
mvtec,016,leather,1,0.8306125402450562,dataset\MVTec\leather/test/color/016.png
mvtec,017,leather,1,0.9655500650405884,dataset\MVTec\leather/test/color/017.png
mvtec,018,leather,1,0.7884315848350525,dataset\MVTec\leather/test/color/018.png
mvtec,000,leather,1,0.9911118149757385,dataset\MVTec\leather/test/cut/000.png
mvtec,001,leather,1,0.9468351602554321,dataset\MVTec\leather/test/cut/001.png
mvtec,002,leather,1,0.8347327709197998,dataset\MVTec\leather/test/cut/002.png
mvtec,003,leather,1,0.9879267811775208,dataset\MVTec\leather/test/cut/003.png
mvtec,004,leather,1,0.9879580736160278,dataset\MVTec\leather/test/cut/004.png
mvtec,005,leather,1,0.7768738865852356,dataset\MVTec\leather/test/cut/005.png
mvtec,006,leather,1,0.9680564403533936,dataset\MVTec\leather/test/cut/006.png
mvtec,007,leather,1,0.940200924873352,dataset\MVTec\leather/test/cut/007.png
mvtec,008,leather,1,0.9844130873680115,dataset\MVTec\leather/test/cut/008.png
mvtec,009,leather,1,0.9808697700500488,dataset\MVTec\leather/test/cut/009.png
mvtec,010,leather,1,0.7248311638832092,dataset\MVTec\leather/test/cut/010.png
mvtec,011,leather,1,0.7795557975769043,dataset\MVTec\leather/test/cut/011.png
mvtec,012,leather,1,0.8508841395378113,dataset\MVTec\leather/test/cut/012.png
mvtec,013,leather,1,0.9736957550048828,dataset\MVTec\leather/test/cut/013.png
mvtec,014,leather,1,0.8928617238998413,dataset\MVTec\leather/test/cut/014.png
mvtec,015,leather,1,0.9510136246681213,dataset\MVTec\leather/test/cut/015.png
mvtec,016,leather,1,0.9818558096885681,dataset\MVTec\leather/test/cut/016.png
mvtec,017,leather,1,0.9269227981567383,dataset\MVTec\leather/test/cut/017.png
mvtec,018,leather,1,0.9977893829345703,dataset\MVTec\leather/test/cut/018.png
