dataset,sample_id,class,label,image_score,query_path
visa,0107,pcb1,0,0.411545068025589,dataset\Visa\pcb1/Data/Images/Normal/0107.JPG
visa,0484,pcb1,0,0.48939982056617737,dataset\Visa\pcb1/Data/Images/Normal/0484.JPG
visa,0690,pcb1,0,0.5227264165878296,dataset\Visa\pcb1/Data/Images/Normal/0690.JPG
visa,0303,pcb1,0,0.47333428263664246,dataset\Visa\pcb1/Data/Images/Normal/0303.JPG
visa,0237,pcb1,0,0.45263171195983887,dataset\Visa\pcb1/Data/Images/Normal/0237.JPG
visa,0394,pcb1,0,0.45507681369781494,dataset\Visa\pcb1/Data/Images/Normal/0394.JPG
visa,0214,pcb1,0,0.4563244879245758,dataset\Visa\pcb1/Data/Images/Normal/0214.JPG
visa,0989,pcb1,0,0.420690655708313,dataset\Visa\pcb1/Data/Images/Normal/0989.JPG
visa,0657,pcb1,0,0.4929545223712921,dataset\Visa\pcb1/Data/Images/Normal/0657.JPG
visa,0377,pcb1,0,0.6577841639518738,dataset\Visa\pcb1/Data/Images/Normal/0377.JPG
visa,0659,pcb1,0,0.4131753146648407,dataset\Visa\pcb1/Data/Images/Normal/0659.JPG
visa,0514,pcb1,0,0.37917858362197876,dataset\Visa\pcb1/Data/Images/Normal/0514.JPG
visa,0617,pcb1,0,0.507794976234436,dataset\Visa\pcb1/Data/Images/Normal/0617.JPG
visa,0725,pcb1,0,0.3980461359024048,dataset\Visa\pcb1/Data/Images/Normal/0725.JPG
visa,0172,pcb1,0,0.43792152404785156,dataset\Visa\pcb1/Data/Images/Normal/0172.JPG
visa,1000,pcb1,0,0.3229750394821167,dataset\Visa\pcb1/Data/Images/Normal/1000.JPG
visa,0483,pcb1,0,0.4075212776660919,dataset\Visa\pcb1/Data/Images/Normal/0483.JPG
visa,0654,pcb1,0,0.4519752264022827,dataset\Visa\pcb1/Data/Images/Normal/0654.JPG
visa,0400,pcb1,0,0.47906339168548584,dataset\Visa\pcb1/Data/Images/Normal/0400.JPG
visa,0469,pcb1,0,0.434090256690979,dataset\Visa\pcb1/Data/Images/Normal/0469.JPG
visa,0525,pcb1,0,0.3877929747104645,dataset\Visa\pcb1/Data/Images/Normal/0525.JPG
visa,0170,pcb1,0,0.4584253430366516,dataset\Visa\pcb1/Data/Images/Normal/0170.JPG
visa,0631,pcb1,0,0.3915223479270935,dataset\Visa\pcb1/Data/Images/Normal/0631.JPG
visa,0685,pcb1,0,0.4064110815525055,dataset\Visa\pcb1/Data/Images/Normal/0685.JPG
visa,0320,pcb1,0,0.4500654935836792,dataset\Visa\pcb1/Data/Images/Normal/0320.JPG
visa,0869,pcb1,0,0.48582345247268677,dataset\Visa\pcb1/Data/Images/Normal/0869.JPG
visa,0423,pcb1,0,0.47804275155067444,dataset\Visa\pcb1/Data/Images/Normal/0423.JPG
visa,0417,pcb1,0,0.5728644728660583,dataset\Visa\pcb1/Data/Images/Normal/0417.JPG
visa,0751,pcb1,0,0.48854127526283264,dataset\Visa\pcb1/Data/Images/Normal/0751.JPG
visa,0764,pcb1,0,0.40987682342529297,dataset\Visa\pcb1/Data/Images/Normal/0764.JPG
visa,0971,pcb1,0,0.44419586658477783,dataset\Visa\pcb1/Data/Images/Normal/0971.JPG
visa,0730,pcb1,0,0.5107267498970032,dataset\Visa\pcb1/Data/Images/Normal/0730.JPG
visa,0306,pcb1,0,0.5673221349716187,dataset\Visa\pcb1/Data/Images/Normal/0306.JPG
visa,0011,pcb1,0,0.3418531119823456,dataset\Visa\pcb1/Data/Images/Normal/0011.JPG
visa,0215,pcb1,0,0.45773300528526306,dataset\Visa\pcb1/Data/Images/Normal/0215.JPG
visa,0159,pcb1,0,0.41292160749435425,dataset\Visa\pcb1/Data/Images/Normal/0159.JPG
visa,0629,pcb1,0,0.48736992478370667,dataset\Visa\pcb1/Data/Images/Normal/0629.JPG
visa,0694,pcb1,0,0.4665795564651489,dataset\Visa\pcb1/Data/Images/Normal/0694.JPG
visa,0518,pcb1,0,0.54252028465271,dataset\Visa\pcb1/Data/Images/Normal/0518.JPG
visa,0940,pcb1,0,0.4460982084274292,dataset\Visa\pcb1/Data/Images/Normal/0940.JPG
visa,0026,pcb1,0,0.4024829566478729,dataset\Visa\pcb1/Data/Images/Normal/0026.JPG
visa,0844,pcb1,0,0.38504013419151306,dataset\Visa\pcb1/Data/Images/Normal/0844.JPG
visa,0957,pcb1,0,0.528083324432373,dataset\Visa\pcb1/Data/Images/Normal/0957.JPG
visa,0900,pcb1,0,0.39236968755722046,dataset\Visa\pcb1/Data/Images/Normal/0900.JPG
visa,0402,pcb1,0,0.3611964285373688,dataset\Visa\pcb1/Data/Images/Normal/0402.JPG
visa,0621,pcb1,0,0.506036639213562,dataset\Visa\pcb1/Data/Images/Normal/0621.JPG
visa,0294,pcb1,0,0.3485938012599945,dataset\Visa\pcb1/Data/Images/Normal/0294.JPG
visa,0016,pcb1,0,0.6112908124923706,dataset\Visa\pcb1/Data/Images/Normal/0016.JPG
visa,0046,pcb1,0,0.48954975605010986,dataset\Visa\pcb1/Data/Images/Normal/0046.JPG
visa,0705,pcb1,0,0.5561063289642334,dataset\Visa\pcb1/Data/Images/Normal/0705.JPG
visa,0208,pcb1,0,0.4483679234981537,dataset\Visa\pcb1/Data/Images/Normal/0208.JPG
visa,0674,pcb1,0,0.5278996825218201,dataset\Visa\pcb1/Data/Images/Normal/0674.JPG
visa,0427,pcb1,0,0.4918510615825653,dataset\Visa\pcb1/Data/Images/Normal/0427.JPG
visa,0552,pcb1,0,0.47013339400291443,dataset\Visa\pcb1/Data/Images/Normal/0552.JPG
visa,0804,pcb1,0,0.5846133232116699,dataset\Visa\pcb1/Data/Images/Normal/0804.JPG
visa,0333,pcb1,0,0.610106348991394,dataset\Visa\pcb1/Data/Images/Normal/0333.JPG
visa,0027,pcb1,0,0.5075795650482178,dataset\Visa\pcb1/Data/Images/Normal/0027.JPG
visa,0100,pcb1,0,0.3746364116668701,dataset\Visa\pcb1/Data/Images/Normal/0100.JPG
visa,0800,pcb1,0,0.4113033413887024,dataset\Visa\pcb1/Data/Images/Normal/0800.JPG
visa,0923,pcb1,0,0.5680239200592041,dataset\Visa\pcb1/Data/Images/Normal/0923.JPG
visa,0755,pcb1,0,0.48994678258895874,dataset\Visa\pcb1/Data/Images/Normal/0755.JPG
visa,0013,pcb1,0,0.4469631612300873,dataset\Visa\pcb1/Data/Images/Normal/0013.JPG
visa,0297,pcb1,0,0.37271854281425476,dataset\Visa\pcb1/Data/Images/Normal/0297.JPG
visa,0768,pcb1,0,0.5098880529403687,dataset\Visa\pcb1/Data/Images/Normal/0768.JPG
visa,0457,pcb1,0,0.4642295837402344,dataset\Visa\pcb1/Data/Images/Normal/0457.JPG
visa,0520,pcb1,0,0.37597617506980896,dataset\Visa\pcb1/Data/Images/Normal/0520.JPG
visa,0952,pcb1,0,0.4078105688095093,dataset\Visa\pcb1/Data/Images/Normal/0952.JPG
visa,0871,pcb1,0,0.4143011271953583,dataset\Visa\pcb1/Data/Images/Normal/0871.JPG
visa,0811,pcb1,0,0.35031405091285706,dataset\Visa\pcb1/Data/Images/Normal/0811.JPG
visa,0174,pcb1,0,0.5430098176002502,dataset\Visa\pcb1/Data/Images/Normal/0174.JPG
visa,0648,pcb1,0,0.5467914938926697,dataset\Visa\pcb1/Data/Images/Normal/0648.JPG
visa,0261,pcb1,0,0.5274832248687744,dataset\Visa\pcb1/Data/Images/Normal/0261.JPG
visa,0784,pcb1,0,0.534819483757019,dataset\Visa\pcb1/Data/Images/Normal/0784.JPG
visa,0935,pcb1,0,0.41584864258766174,dataset\Visa\pcb1/Data/Images/Normal/0935.JPG
visa,0286,pcb1,0,0.44705289602279663,dataset\Visa\pcb1/Data/Images/Normal/0286.JPG
visa,0779,pcb1,0,0.45203766226768494,dataset\Visa\pcb1/Data/Images/Normal/0779.JPG
visa,0363,pcb1,0,0.38191866874694824,dataset\Visa\pcb1/Data/Images/Normal/0363.JPG
visa,0619,pcb1,0,0.39111748337745667,dataset\Visa\pcb1/Data/Images/Normal/0619.JPG
visa,0024,pcb1,0,0.5117524266242981,dataset\Visa\pcb1/Data/Images/Normal/0024.JPG
visa,0735,pcb1,0,0.46500855684280396,dataset\Visa\pcb1/Data/Images/Normal/0735.JPG
visa,0688,pcb1,0,0.5106990933418274,dataset\Visa\pcb1/Data/Images/Normal/0688.JPG
visa,0796,pcb1,0,0.45034679770469666,dataset\Visa\pcb1/Data/Images/Normal/0796.JPG
visa,0178,pcb1,0,0.336899071931839,dataset\Visa\pcb1/Data/Images/Normal/0178.JPG
visa,0797,pcb1,0,0.4292921721935272,dataset\Visa\pcb1/Data/Images/Normal/0797.JPG
visa,0920,pcb1,0,0.6008700132369995,dataset\Visa\pcb1/Data/Images/Normal/0920.JPG
visa,0479,pcb1,0,0.46663618087768555,dataset\Visa\pcb1/Data/Images/Normal/0479.JPG
visa,0684,pcb1,0,0.5430356860160828,dataset\Visa\pcb1/Data/Images/Normal/0684.JPG
visa,0739,pcb1,0,0.4566371440887451,dataset\Visa\pcb1/Data/Images/Normal/0739.JPG
visa,0569,pcb1,0,0.4327377676963806,dataset\Visa\pcb1/Data/Images/Normal/0569.JPG
visa,0196,pcb1,0,0.4584003984928131,dataset\Visa\pcb1/Data/Images/Normal/0196.JPG
visa,0892,pcb1,0,0.38078030943870544,dataset\Visa\pcb1/Data/Images/Normal/0892.JPG
visa,0964,pcb1,0,0.4592641294002533,dataset\Visa\pcb1/Data/Images/Normal/0964.JPG
visa,0187,pcb1,0,0.50717693567276,dataset\Visa\pcb1/Data/Images/Normal/0187.JPG
