dataset,sample_id,class,label,image_score,query_path
mvtec,000,pill,1,0.9889912605285645,dataset\MVTec\pill/test/color/000.png
mvtec,001,pill,1,0.9839162230491638,dataset\MVTec\pill/test/color/001.png
mvtec,002,pill,1,0.9672070741653442,dataset\MVTec\pill/test/color/002.png
mvtec,003,pill,1,0.9833707809448242,dataset\MVTec\pill/test/color/003.png
mvtec,004,pill,1,0.9653686881065369,dataset\MVTec\pill/test/color/004.png
mvtec,005,pill,1,0.9853333830833435,dataset\MVTec\pill/test/color/005.png
mvtec,006,pill,1,0.9882994890213013,dataset\MVTec\pill/test/color/006.png
mvtec,007,pill,1,0.98777174949646,dataset\MVTec\pill/test/color/007.png
mvtec,008,pill,1,0.9939823746681213,dataset\MVTec\pill/test/color/008.png
mvtec,009,pill,1,0.990138053894043,dataset\MVTec\pill/test/color/009.png
mvtec,010,pill,1,0.9870467185974121,dataset\MVTec\pill/test/color/010.png
mvtec,011,pill,1,0.9871283769607544,dataset\MVTec\pill/test/color/011.png
mvtec,012,pill,1,0.98484206199646,dataset\MVTec\pill/test/color/012.png
mvtec,013,pill,1,0.9871748089790344,dataset\MVTec\pill/test/color/013.png
mvtec,014,pill,1,0.9874407052993774,dataset\MVTec\pill/test/color/014.png
mvtec,015,pill,1,0.9892654418945312,dataset\MVTec\pill/test/color/015.png
mvtec,016,pill,1,0.9866913557052612,dataset\MVTec\pill/test/color/016.png
mvtec,017,pill,1,0.9840198755264282,dataset\MVTec\pill/test/color/017.png
mvtec,018,pill,1,0.9885514974594116,dataset\MVTec\pill/test/color/018.png
mvtec,019,pill,1,0.983863353729248,dataset\MVTec\pill/test/color/019.png
mvtec,020,pill,1,0.9881110191345215,dataset\MVTec\pill/test/color/020.png
mvtec,021,pill,1,0.9929407835006714,dataset\MVTec\pill/test/color/021.png
mvtec,022,pill,1,0.9872150421142578,dataset\MVTec\pill/test/color/022.png
mvtec,023,pill,1,0.9877728819847107,dataset\MVTec\pill/test/color/023.png
mvtec,024,pill,1,0.9859753251075745,dataset\MVTec\pill/test/color/024.png
mvtec,000,pill,1,0.9919432401657104,dataset\MVTec\pill/test/combined/000.png
mvtec,001,pill,1,0.9929433465003967,dataset\MVTec\pill/test/combined/001.png
