dataset,sample_id,class,label,image_score,query_path
mvtec,000,tile,1,0.9916423559188843,dataset\MVTec\tile/test/crack/000.png
mvtec,001,tile,1,0.9920476078987122,dataset\MVTec\tile/test/crack/001.png
mvtec,002,tile,1,0.9817399978637695,dataset\MVTec\tile/test/crack/002.png
mvtec,003,tile,1,0.982914388179779,dataset\MVTec\tile/test/crack/003.png
mvtec,004,tile,1,0.9980441331863403,dataset\MVTec\tile/test/crack/004.png
mvtec,005,tile,1,0.9630802273750305,dataset\MVTec\tile/test/crack/005.png
mvtec,006,tile,1,0.9910564422607422,dataset\MVTec\tile/test/crack/006.png
mvtec,007,tile,1,0.9916308522224426,dataset\MVTec\tile/test/crack/007.png
mvtec,008,tile,1,0.9950916767120361,dataset\MVTec\tile/test/crack/008.png
mvtec,009,tile,1,0.9880722761154175,dataset\MVTec\tile/test/crack/009.png
mvtec,010,tile,1,0.9972447156906128,dataset\MVTec\tile/test/crack/010.png
mvtec,011,tile,1,0.9908746480941772,dataset\MVTec\tile/test/crack/011.png
mvtec,012,tile,1,0.9914856553077698,dataset\MVTec\tile/test/crack/012.png
mvtec,013,tile,1,0.9866369366645813,dataset\MVTec\tile/test/crack/013.png
mvtec,014,tile,1,0.9981890320777893,dataset\MVTec\tile/test/crack/014.png
mvtec,015,tile,1,0.9938609600067139,dataset\MVTec\tile/test/crack/015.png
mvtec,016,tile,1,0.9848694801330566,dataset\MVTec\tile/test/crack/016.png
mvtec,000,tile,1,0.9943577647209167,dataset\MVTec\tile/test/glue_strip/000.png
mvtec,001,tile,1,0.9953846335411072,dataset\MVTec\tile/test/glue_strip/001.png
mvtec,002,tile,1,0.9866070747375488,dataset\MVTec\tile/test/glue_strip/002.png
mvtec,003,tile,1,0.9869039058685303,dataset\MVTec\tile/test/glue_strip/003.png
mvtec,004,tile,1,0.9957875609397888,dataset\MVTec\tile/test/glue_strip/004.png
mvtec,005,tile,1,0.9824589490890503,dataset\MVTec\tile/test/glue_strip/005.png
mvtec,006,tile,1,0.995755672454834,dataset\MVTec\tile/test/glue_strip/006.png
mvtec,007,tile,1,0.9846476316452026,dataset\MVTec\tile/test/glue_strip/007.png
mvtec,008,tile,1,0.9952585101127625,dataset\MVTec\tile/test/glue_strip/008.png
mvtec,009,tile,1,0.9867889285087585,dataset\MVTec\tile/test/glue_strip/009.png
mvtec,010,tile,1,0.9872152805328369,dataset\MVTec\tile/test/glue_strip/010.png
mvtec,011,tile,1,0.9960916638374329,dataset\MVTec\tile/test/glue_strip/011.png
mvtec,012,tile,1,0.996724545955658,dataset\MVTec\tile/test/glue_strip/012.png
mvtec,013,tile,1,0.9944209456443787,dataset\MVTec\tile/test/glue_strip/013.png
mvtec,014,tile,1,0.990924596786499,dataset\MVTec\tile/test/glue_strip/014.png
mvtec,015,tile,1,0.989929735660553,dataset\MVTec\tile/test/glue_strip/015.png
mvtec,016,tile,1,0.9975019097328186,dataset\MVTec\tile/test/glue_strip/016.png
mvtec,017,tile,1,0.9955677390098572,dataset\MVTec\tile/test/glue_strip/017.png
mvtec,000,tile,0,0.7973705530166626,dataset\MVTec\tile/test/good/000.png
mvtec,001,tile,0,0.8786223530769348,dataset\MVTec\tile/test/good/001.png
mvtec,002,tile,0,0.7791089415550232,dataset\MVTec\tile/test/good/002.png
mvtec,003,tile,0,0.7355475425720215,dataset\MVTec\tile/test/good/003.png
mvtec,004,tile,0,0.8570390939712524,dataset\MVTec\tile/test/good/004.png
mvtec,005,tile,0,0.8035901188850403,dataset\MVTec\tile/test/good/005.png
mvtec,006,tile,0,0.858893871307373,dataset\MVTec\tile/test/good/006.png
mvtec,007,tile,0,0.7874922752380371,dataset\MVTec\tile/test/good/007.png
mvtec,008,tile,0,0.8171090483665466,dataset\MVTec\tile/test/good/008.png
mvtec,009,tile,0,0.8468769788742065,dataset\MVTec\tile/test/good/009.png
mvtec,010,tile,0,0.8220555782318115,dataset\MVTec\tile/test/good/010.png
mvtec,011,tile,0,0.8461340069770813,dataset\MVTec\tile/test/good/011.png
mvtec,012,tile,0,0.7564541101455688,dataset\MVTec\tile/test/good/012.png
mvtec,013,tile,0,0.7549852728843689,dataset\MVTec\tile/test/good/013.png
mvtec,014,tile,0,0.7761858701705933,dataset\MVTec\tile/test/good/014.png
mvtec,015,tile,0,0.882847785949707,dataset\MVTec\tile/test/good/015.png
mvtec,016,tile,0,0.7821553349494934,dataset\MVTec\tile/test/good/016.png
mvtec,017,tile,0,0.8550191521644592,dataset\MVTec\tile/test/good/017.png
mvtec,018,tile,0,0.8594874739646912,dataset\MVTec\tile/test/good/018.png
mvtec,019,tile,0,0.9003133177757263,dataset\MVTec\tile/test/good/019.png
mvtec,020,tile,0,0.7707517743110657,dataset\MVTec\tile/test/good/020.png
mvtec,021,tile,0,0.7605702877044678,dataset\MVTec\tile/test/good/021.png
mvtec,022,tile,0,0.8344424962997437,dataset\MVTec\tile/test/good/022.png
mvtec,023,tile,0,0.749416708946228,dataset\MVTec\tile/test/good/023.png
mvtec,024,tile,0,0.7678292989730835,dataset\MVTec\tile/test/good/024.png
mvtec,025,tile,0,0.8049488067626953,dataset\MVTec\tile/test/good/025.png
mvtec,026,tile,0,0.816074788570404,dataset\MVTec\tile/test/good/026.png
mvtec,027,tile,0,0.8495492935180664,dataset\MVTec\tile/test/good/027.png
mvtec,028,tile,0,0.8182385563850403,dataset\MVTec\tile/test/good/028.png
mvtec,029,tile,0,0.8662455677986145,dataset\MVTec\tile/test/good/029.png
mvtec,030,tile,0,0.8365370035171509,dataset\MVTec\tile/test/good/030.png
mvtec,031,tile,0,0.7897605895996094,dataset\MVTec\tile/test/good/031.png
mvtec,032,tile,0,0.793435275554657,dataset\MVTec\tile/test/good/032.png
mvtec,000,tile,1,0.9873069524765015,dataset\MVTec\tile/test/gray_stroke/000.png
mvtec,001,tile,1,0.989896297454834,dataset\MVTec\tile/test/gray_stroke/001.png
mvtec,002,tile,1,0.9509708285331726,dataset\MVTec\tile/test/gray_stroke/002.png
mvtec,003,tile,1,0.9955219030380249,dataset\MVTec\tile/test/gray_stroke/003.png
