dataset,sample_id,class,label,image_score,query_path
mvtec,000,toothbrush,1,0.9688717722892761,dataset\MVTec\toothbrush/test/defective/000.png
mvtec,001,toothbrush,1,0.966543972492218,dataset\MVTec\toothbrush/test/defective/001.png
mvtec,002,toothbrush,1,0.9905677437782288,dataset\MVTec\toothbrush/test/defective/002.png
mvtec,003,toothbrush,1,0.9731719493865967,dataset\MVTec\toothbrush/test/defective/003.png
mvtec,004,toothbrush,1,0.9754173755645752,dataset\MVTec\toothbrush/test/defective/004.png
mvtec,005,toothbrush,1,0.9581325650215149,dataset\MVTec\toothbrush/test/defective/005.png
mvtec,006,toothbrush,1,0.9542136788368225,dataset\MVTec\toothbrush/test/defective/006.png
mvtec,007,toothbrush,1,0.9716594219207764,dataset\MVTec\toothbrush/test/defective/007.png
mvtec,008,toothbrush,1,0.9661798477172852,dataset\MVTec\toothbrush/test/defective/008.png
mvtec,009,toothbrush,1,0.9733811020851135,dataset\MVTec\toothbrush/test/defective/009.png
mvtec,010,toothbrush,1,0.9770637154579163,dataset\MVTec\toothbrush/test/defective/010.png
mvtec,011,toothbrush,1,0.9842989444732666,dataset\MVTec\toothbrush/test/defective/011.png
mvtec,012,toothbrush,1,0.9882644414901733,dataset\MVTec\toothbrush/test/defective/012.png
mvtec,013,toothbrush,1,0.9833707809448242,dataset\MVTec\toothbrush/test/defective/013.png
mvtec,014,toothbrush,1,0.9862909913063049,dataset\MVTec\toothbrush/test/defective/014.png
mvtec,015,toothbrush,1,0.9685936570167542,dataset\MVTec\toothbrush/test/defective/015.png
mvtec,016,toothbrush,1,0.9900211691856384,dataset\MVTec\toothbrush/test/defective/016.png
mvtec,017,toothbrush,1,0.9873130917549133,dataset\MVTec\toothbrush/test/defective/017.png
mvtec,018,toothbrush,1,0.9809141159057617,dataset\MVTec\toothbrush/test/defective/018.png
mvtec,019,toothbrush,1,0.9740323424339294,dataset\MVTec\toothbrush/test/defective/019.png
mvtec,020,toothbrush,1,0.9813217520713806,dataset\MVTec\toothbrush/test/defective/020.png
mvtec,021,toothbrush,1,0.9876397252082825,dataset\MVTec\toothbrush/test/defective/021.png
mvtec,022,toothbrush,1,0.9225006103515625,dataset\MVTec\toothbrush/test/defective/022.png
mvtec,023,toothbrush,1,0.9824788570404053,dataset\MVTec\toothbrush/test/defective/023.png
mvtec,024,toothbrush,1,0.9843605160713196,dataset\MVTec\toothbrush/test/defective/024.png
mvtec,025,toothbrush,1,0.981042742729187,dataset\MVTec\toothbrush/test/defective/025.png
mvtec,026,toothbrush,1,0.9775685667991638,dataset\MVTec\toothbrush/test/defective/026.png
mvtec,027,toothbrush,1,0.9824292659759521,dataset\MVTec\toothbrush/test/defective/027.png
mvtec,028,toothbrush,1,0.981929361820221,dataset\MVTec\toothbrush/test/defective/028.png
mvtec,029,toothbrush,1,0.9747646450996399,dataset\MVTec\toothbrush/test/defective/029.png
mvtec,000,toothbrush,0,0.9036185145378113,dataset\MVTec\toothbrush/test/good/000.png
mvtec,001,toothbrush,0,0.9379651546478271,dataset\MVTec\toothbrush/test/good/001.png
mvtec,002,toothbrush,0,0.878139078617096,dataset\MVTec\toothbrush/test/good/002.png
mvtec,003,toothbrush,0,0.9570398926734924,dataset\MVTec\toothbrush/test/good/003.png
mvtec,004,toothbrush,0,0.9538199305534363,dataset\MVTec\toothbrush/test/good/004.png
mvtec,005,toothbrush,0,0.9600891470909119,dataset\MVTec\toothbrush/test/good/005.png
mvtec,006,toothbrush,0,0.9785125255584717,dataset\MVTec\toothbrush/test/good/006.png
mvtec,007,toothbrush,0,0.977270781993866,dataset\MVTec\toothbrush/test/good/007.png
mvtec,008,toothbrush,0,0.9614853858947754,dataset\MVTec\toothbrush/test/good/008.png
mvtec,009,toothbrush,0,0.9619864225387573,dataset\MVTec\toothbrush/test/good/009.png
mvtec,010,toothbrush,0,0.9723811745643616,dataset\MVTec\toothbrush/test/good/010.png
mvtec,011,toothbrush,0,0.9583005905151367,dataset\MVTec\toothbrush/test/good/011.png
