dataset,class,defect_type,auroc_pct,rank_low_to_high,n_good,n_defect,mean_good_score,mean_defect_score,score_gap,std_defect_score,iqr_defect_score,range_defect_score,defect_to_good_std_ratio,top_normal_score,bottom_anomaly_score,weak_defect_type
mvtec,cable,missing_cable,64.9425,1,58,12,0.8255,0.8337,0.0082,0.0216,0.0263,0.0757,1.3558,0.8679,0.7895,True
mvtec,cable,cable_swap,74.569,2,58,12,0.8255,0.8417,0.0163,0.0196,0.014,0.0656,1.2278,0.8679,0.8138,True
mvtec,cable,cut_inner_insulation,79.064,3,58,14,0.8255,0.8477,0.0223,0.0241,0.0391,0.0701,1.5127,0.8679,0.8201,True
mvtec,cable,bent_wire,81.0345,4,58,13,0.8255,0.8549,0.0294,0.0295,0.0372,0.0888,1.855,0.8679,0.817,False
mvtec,cable,missing_wire,91.3793,5,58,10,0.8255,0.8622,0.0367,0.0261,0.0138,0.1042,1.6363,0.8679,0.8211,False
mvtec,cable,poke_insulation,93.4483,6,58,10,0.8255,0.8742,0.0487,0.0297,0.0315,0.0989,1.8638,0.8679,0.8239,False
mvtec,cable,combined,93.8871,7,58,11,0.8255,0.8682,0.0427,0.0278,0.0521,0.0691,1.7443,0.8679,0.839,False
mvtec,cable,cut_outer_insulation,97.931,8,58,10,0.8255,0.8925,0.067,0.035,0.0656,0.0871,2.1958,0.8679,0.8543,False
mvtec,pill,crack,82.6923,1,26,26,0.4704,0.6462,0.1758,0.1456,0.2394,0.4845,1.0927,0.7914,0.3796,False
mvtec,pill,scratch,84.2949,2,26,24,0.4704,0.6732,0.2028,0.1459,0.208,0.5092,1.0948,0.7914,0.3941,False
mvtec,pill,color,84.9231,3,26,25,0.4704,0.6636,0.1932,0.1409,0.1993,0.5186,1.0578,0.7914,0.3338,False
mvtec,pill,contamination,86.63,4,26,21,0.4704,0.6818,0.2114,0.1429,0.239,0.444,1.0725,0.7914,0.4559,False
mvtec,pill,pill_type,91.0256,5,26,9,0.4704,0.745,0.2746,0.1481,0.1613,0.4368,1.1114,0.7914,0.4305,False
mvtec,pill,faulty_imprint,91.2955,6,26,19,0.4704,0.7264,0.256,0.1087,0.1457,0.3617,0.8161,0.7914,0.5186,False
mvtec,pill,combined,92.3077,7,26,17,0.4704,0.7524,0.282,0.1388,0.2007,0.4487,1.042,0.7914,0.4784,False
mvtec,screw,thread_side,81.2301,1,41,23,0.8119,0.859,0.0471,0.0417,0.0735,0.1438,1.2808,0.9094,0.7766,False
mvtec,screw,scratch_neck,82.3415,2,41,25,0.8119,0.8661,0.0542,0.0533,0.0655,0.2041,1.6374,0.9094,0.7557,False
mvtec,screw,scratch_head,84.0447,3,41,24,0.8119,0.8456,0.0338,0.0268,0.0237,0.1109,0.8221,0.9094,0.8136,False
mvtec,screw,manipulated_front,89.6341,4,41,24,0.8119,0.8801,0.0683,0.0462,0.062,0.1681,1.418,0.9094,0.7986,False
mvtec,screw,thread_top,92.2587,5,41,23,0.8119,0.89,0.0781,0.0444,0.0697,0.1429,1.3637,0.9094,0.8145,False
mvtec,transistor,misplaced,78.1667,1,60,10,0.7394,0.8086,0.0692,0.0729,0.0905,0.2235,1.3255,0.8778,0.687,True
mvtec,transistor,cut_lead,84.8333,2,60,10,0.7394,0.8245,0.0851,0.061,0.1046,0.1726,1.1086,0.8778,0.7391,False
mvtec,transistor,bent_lead,92.1667,3,60,10,0.7394,0.8404,0.101,0.0432,0.0639,0.1405,0.7861,0.8778,0.7692,False
mvtec,transistor,damaged_case,99.5,4,60,10,0.7394,0.9038,0.1644,0.0321,0.034,0.0997,0.5839,0.8778,0.8476,False
visa,cashew,Anomaly,86.2,1,50,100,0.3625,0.5974,0.2349,0.2119,0.3579,0.7047,3.8507,0.4935,0.2595,False
visa,macaroni1,Anomaly,82.71,1,100,100,0.406,0.4983,0.0923,0.0782,0.092,0.4217,1.2547,0.5328,0.3612,False
visa,macaroni2,Anomaly,71.5,1,100,100,0.9107,0.9551,0.0444,0.0209,0.0202,0.1265,0.2201,0.9795,0.8508,True
visa,pcb2,Anomaly,66.14,1,100,100,0.6974,0.7641,0.0667,0.0983,0.1371,0.5119,0.8497,0.8786,0.4313,True
visa,pcb3,Anomaly,65.4653,1,101,100,0.7148,0.7574,0.0426,0.0879,0.1268,0.387,1.1345,0.8312,0.5207,True
