dataset,class,defect_type,auroc_pct,rank_low_to_high,n_good,n_defect,mean_good_score,mean_defect_score,score_gap,std_defect_score,iqr_defect_score,range_defect_score,defect_to_good_std_ratio,top_normal_score,bottom_anomaly_score,weak_defect_type
mvtec,cable,missing_wire,74.6552,1,58,10,0.8895,0.9175,0.028,0.0386,0.0247,0.132,1.3497,0.9391,0.8363,True
mvtec,cable,poke_insulation,75.8621,2,58,10,0.8895,0.9213,0.0318,0.0378,0.0474,0.1091,1.3213,0.9391,0.8517,True
mvtec,cable,bent_wire,81.0345,3,58,13,0.8895,0.9226,0.0331,0.0254,0.0354,0.079,0.8874,0.9391,0.8744,False
mvtec,cable,cut_inner_insulation,87.8079,4,58,14,0.8895,0.9305,0.041,0.0203,0.0243,0.0684,0.7078,0.9391,0.8919,False
mvtec,cable,cut_outer_insulation,94.3103,5,58,10,0.8895,0.9398,0.0503,0.017,0.0219,0.0556,0.5932,0.9391,0.909,False
mvtec,cable,combined,94.5141,6,58,11,0.8895,0.9541,0.0646,0.0258,0.0267,0.0843,0.902,0.9391,0.8966,False
mvtec,cable,cable_swap,96.408,7,58,12,0.8895,0.9449,0.0554,0.0168,0.0246,0.0575,0.5867,0.9391,0.913,False
mvtec,cable,missing_cable,98.1322,8,58,12,0.8895,0.9556,0.0661,0.0179,0.0206,0.0578,0.6265,0.9391,0.9246,False
mvtec,pill,crack,65.2367,1,26,26,0.9748,0.9782,0.0034,0.008,0.0123,0.0304,1.2222,0.9931,0.9595,True
mvtec,pill,faulty_imprint,80.9717,2,26,19,0.9748,0.9829,0.0081,0.0068,0.0082,0.0266,1.0347,0.9931,0.9665,False
mvtec,pill,scratch,82.5321,3,26,24,0.9748,0.9825,0.0076,0.0056,0.0054,0.0213,0.8555,0.9931,0.972,False
mvtec,pill,contamination,84.4322,4,26,21,0.9748,0.9821,0.0073,0.0043,0.0058,0.0164,0.6546,0.9931,0.975,False
mvtec,pill,color,88.9231,5,26,25,0.9748,0.9857,0.0109,0.0064,0.0035,0.0286,0.9699,0.9931,0.9654,False
mvtec,pill,combined,89.819,6,26,17,0.9748,0.9864,0.0116,0.0064,0.0102,0.0214,0.9733,0.9931,0.9768,False
mvtec,pill,pill_type,97.4359,7,26,9,0.9748,0.9916,0.0167,0.0034,0.0036,0.011,0.5155,0.9931,0.9844,False
mvtec,screw,manipulated_front,76.9309,1,41,24,0.9637,0.9786,0.0149,0.0112,0.0135,0.0499,0.6418,0.9872,0.9429,True
mvtec,screw,scratch_head,82.7236,2,41,24,0.9637,0.9804,0.0167,0.0074,0.007,0.0299,0.426,0.9872,0.964,False
mvtec,screw,scratch_neck,84.0,3,41,25,0.9637,0.9817,0.018,0.0117,0.0095,0.0487,0.673,0.9872,0.9447,False
mvtec,screw,thread_side,87.2747,4,41,23,0.9637,0.9833,0.0196,0.0076,0.0096,0.0312,0.4346,0.9872,0.9629,False
mvtec,screw,thread_top,90.7741,5,41,23,0.9637,0.9849,0.0213,0.0072,0.0083,0.0285,0.41,0.9872,0.9666,False
mvtec,transistor,misplaced,83.1667,1,60,10,0.789,0.8647,0.0757,0.0556,0.0492,0.2024,0.9929,0.906,0.742,False
mvtec,transistor,bent_lead,86.3333,2,60,10,0.789,0.868,0.0791,0.045,0.0471,0.1494,0.8043,0.906,0.7893,False
mvtec,transistor,damaged_case,88.6667,3,60,10,0.789,0.8816,0.0926,0.0518,0.0818,0.1462,0.9246,0.906,0.7997,False
mvtec,transistor,cut_lead,91.3333,4,60,10,0.789,0.8834,0.0944,0.0407,0.0372,0.1301,0.7267,0.906,0.7951,False
visa,cashew,Anomaly,95.82,1,50,100,0.9063,0.97,0.0637,0.0207,0.0283,0.0918,0.6407,0.9591,0.9058,False
visa,macaroni1,Anomaly,88.64,1,100,100,0.8886,0.943,0.0544,0.0248,0.0322,0.1171,0.5913,0.9724,0.8648,False
visa,macaroni2,Anomaly,78.02,1,100,100,0.92,0.953,0.033,0.0279,0.0259,0.1535,0.6501,0.9816,0.8364,True
visa,pcb2,Anomaly,68.94,1,100,100,0.8208,0.8554,0.0346,0.0458,0.0507,0.2202,1.0106,0.9045,0.7488,True
visa,pcb3,Anomaly,76.7228,1,101,100,0.8734,0.9053,0.032,0.0358,0.0426,0.1903,1.1994,0.9317,0.7829,True
