model,dataset,class,defect_type,sample_id,image_score,query_path
anomalyclip,mvtec,bottle,good,1.0,0.997024953365326,dataset\MVTec\bottle/test/good/001.png
anomalyclip,mvtec,bottle,good,18.0,0.9954677820205688,dataset\MVTec\bottle/test/good/018.png
anomalyclip,mvtec,bottle,good,9.0,0.9951019287109376,dataset\MVTec\bottle/test/good/009.png
anomalyclip,mvtec,bottle,good,15.0,0.994298815727234,dataset\MVTec\bottle/test/good/015.png
anomalyclip,mvtec,bottle,good,4.0,0.9941512942314148,dataset\MVTec\bottle/test/good/004.png
anomalyclip,mvtec,bottle,good,12.0,0.993815302848816,dataset\MVTec\bottle/test/good/012.png
anomalyclip,mvtec,bottle,good,16.0,0.9928478002548218,dataset\MVTec\bottle/test/good/016.png
anomalyclip,mvtec,bottle,good,8.0,0.9926131963729858,dataset\MVTec\bottle/test/good/008.png
anomalyclip,mvtec,bottle,good,14.0,0.9925909042358398,dataset\MVTec\bottle/test/good/014.png
anomalyclip,mvtec,bottle,good,3.0,0.992290198802948,dataset\MVTec\bottle/test/good/003.png
