model,dataset,class,defect_type,sample_id,image_score,query_path
anomalyclip,mvtec,bottle,contamination,10.0,0.986601173877716,dataset\MVTec\bottle/test/contamination/010.png
anomalyclip,mvtec,bottle,contamination,13.0,0.9874524474143982,dataset\MVTec\bottle/test/contamination/013.png
anomalyclip,mvtec,bottle,contamination,4.0,0.9899749159812928,dataset\MVTec\bottle/test/contamination/004.png
anomalyclip,mvtec,bottle,contamination,20.0,0.9902286529541016,dataset\MVTec\bottle/test/contamination/020.png
anomalyclip,mvtec,bottle,contamination,16.0,0.9909674525260924,dataset\MVTec\bottle/test/contamination/016.png
anomalyclip,mvtec,bottle,broken_large,3.0,0.9914700388908386,dataset\MVTec\bottle/test/broken_large/003.png
anomalyclip,mvtec,bottle,contamination,19.0,0.9922847747802734,dataset\MVTec\bottle/test/contamination/019.png
anomalyclip,mvtec,bottle,contamination,3.0,0.992784857749939,dataset\MVTec\bottle/test/contamination/003.png
anomalyclip,mvtec,bottle,contamination,15.0,0.9947708249092102,dataset\MVTec\bottle/test/contamination/015.png
anomalyclip,mvtec,bottle,broken_large,2.0,0.9951937794685364,dataset\MVTec\bottle/test/broken_large/002.png
