model,dataset,class,defect_type,sample_id,image_score,query_path
winclip,mvtec,bottle,contamination,12.0,0.0526123046875,dataset\MVTec\bottle/test/contamination/012.png
winclip,mvtec,bottle,contamination,8.0,0.058349609375,dataset\MVTec\bottle/test/contamination/008.png
winclip,mvtec,bottle,contamination,9.0,0.07366943359375,dataset\MVTec\bottle/test/contamination/009.png
winclip,mvtec,bottle,contamination,20.0,0.07696533203125,dataset\MVTec\bottle/test/contamination/020.png
winclip,mvtec,bottle,contamination,4.0,0.07696533203125,dataset\MVTec\bottle/test/contamination/004.png
winclip,mvtec,bottle,broken_small,0.0,0.0792236328125,dataset\MVTec\bottle/test/broken_small/000.png
winclip,mvtec,bottle,contamination,19.0,0.08270263671875,dataset\MVTec\bottle/test/contamination/019.png
winclip,mvtec,bottle,contamination,16.0,0.0850830078125,dataset\MVTec\bottle/test/contamination/016.png
winclip,mvtec,bottle,contamination,11.0,0.08880615234375,dataset\MVTec\bottle/test/contamination/011.png
winclip,mvtec,bottle,contamination,10.0,0.08880615234375,dataset\MVTec\bottle/test/contamination/010.png
