model,dataset,class,defect_type,sample_id,image_score,query_path
adaptclip,mvtec,cable,good,37.0,0.8678805232048035,dataset/MVTec/cable/test/good/037.png
adaptclip,mvtec,cable,good,14.0,0.864137589931488,dataset/MVTec/cable/test/good/014.png
adaptclip,mvtec,cable,good,56.0,0.8574164509773254,dataset/MVTec/cable/test/good/056.png
adaptclip,mvtec,cable,good,45.0,0.8547917008399963,dataset/MVTec/cable/test/good/045.png
adaptclip,mvtec,cable,good,43.0,0.8509896397590637,dataset/MVTec/cable/test/good/043.png
adaptclip,mvtec,cable,good,7.0,0.8442559242248535,dataset/MVTec/cable/test/good/007.png
adaptclip,mvtec,cable,good,5.0,0.8433418273925781,dataset/MVTec/cable/test/good/005.png
adaptclip,mvtec,cable,good,15.0,0.8419014811515808,dataset/MVTec/cable/test/good/015.png
adaptclip,mvtec,cable,good,10.0,0.8399040699005127,dataset/MVTec/cable/test/good/010.png
adaptclip,mvtec,cable,good,11.0,0.83892822265625,dataset/MVTec/cable/test/good/011.png
