model,dataset,class,defect_type,class_auroc,defect_auroc,n_good,n_defect,mean_good_score,mean_defect_score,score_gap,std_good_score,std_defect_score,iqr_defect_score,range_defect_score,bottom_anomaly_score,top_anomaly_score,top_normal_score,rank_low_to_high,low_auroc
adaptclip,mvtec,cable,missing_cable,83.63943028485757,64.94252873563218,58,12,0.8255,0.8337,0.0082,0.0159,0.0216,0.0263,0.0757,0.7895,0.8652,0.8679,1,True
adaptclip,mvtec,cable,cable_swap,83.63943028485757,74.56896551724138,58,12,0.8255,0.8417,0.0163,0.0159,0.0196,0.014,0.0656,0.8138,0.8794,0.8679,2,True
adaptclip,mvtec,cable,cut_inner_insulation,83.63943028485757,79.064039408867,58,14,0.8255,0.8477,0.0223,0.0159,0.0241,0.0391,0.0701,0.8201,0.8902,0.8679,3,True
adaptclip,mvtec,cable,bent_wire,83.63943028485757,81.0344827586207,58,13,0.8255,0.8549,0.0294,0.0159,0.0295,0.0372,0.0888,0.817,0.9058,0.8679,4,False
adaptclip,mvtec,cable,missing_wire,83.63943028485757,91.37931034482759,58,10,0.8255,0.8622,0.0367,0.0159,0.0261,0.0138,0.1042,0.8211,0.9253,0.8679,5,False
adaptclip,mvtec,cable,poke_insulation,83.63943028485757,93.44827586206897,58,10,0.8255,0.8742,0.0487,0.0159,0.0297,0.0315,0.0989,0.8239,0.9228,0.8679,6,False
adaptclip,mvtec,cable,combined,83.63943028485757,93.88714733542321,58,11,0.8255,0.8682,0.0427,0.0159,0.0278,0.0521,0.0691,0.839,0.9081,0.8679,7,False
adaptclip,mvtec,cable,cut_outer_insulation,83.63943028485757,97.93103448275862,58,10,0.8255,0.8925,0.067,0.0159,0.035,0.0656,0.0871,0.8543,0.9414,0.8679,8,False
anomalyclip,mvtec,cable,bent_wire,70.27736131934032,58.355437665782496,58,13,0.9912,0.992,0.0008,0.003,0.0032,0.0057,0.0087,0.9873,0.996,0.9953,1,True
anomalyclip,mvtec,cable,missing_wire,70.27736131934032,65.17241379310346,58,10,0.9912,0.9929,0.0017,0.003,0.0024,0.0034,0.0083,0.9885,0.9968,0.9953,2,True
anomalyclip,mvtec,cable,missing_cable,70.27736131934032,66.37931034482759,58,12,0.9912,0.9908,-0.0004,0.003,0.009,0.0038,0.0341,0.9634,0.9976,0.9953,3,True
anomalyclip,mvtec,cable,poke_insulation,70.27736131934032,68.62068965517241,58,10,0.9912,0.9932,0.0019,0.003,0.0032,0.0045,0.0098,0.9869,0.9966,0.9953,4,True
anomalyclip,mvtec,cable,cut_inner_insulation,70.27736131934032,68.8423645320197,58,14,0.9912,0.9932,0.002,0.003,0.0019,0.0028,0.0063,0.9906,0.9969,0.9953,5,True
anomalyclip,mvtec,cable,cable_swap,70.27736131934032,76.72413793103449,58,12,0.9912,0.994,0.0028,0.003,0.0019,0.0031,0.0051,0.992,0.9971,0.9953,6,True
anomalyclip,mvtec,cable,cut_outer_insulation,70.27736131934032,77.75862068965517,58,10,0.9912,0.994,0.0028,0.003,0.0019,0.0024,0.006,0.9913,0.9973,0.9953,7,True
anomalyclip,mvtec,cable,combined,70.27736131934032,82.75862068965517,58,11,0.9912,0.9948,0.0036,0.003,0.0029,0.003,0.0094,0.9885,0.9979,0.9953,8,False
winclip,mvtec,cable,missing_wire,85.20427286356822,72.24137931034483,58,10,0.0851,0.1185,0.0334,0.0357,0.0472,0.0551,0.1368,0.0637,0.2006,0.1733,1,True
winclip,mvtec,cable,poke_insulation,85.20427286356822,77.58620689655173,58,10,0.0851,0.1226,0.0375,0.0357,0.0345,0.0504,0.1008,0.0637,0.1646,0.1733,2,True
winclip,mvtec,cable,cable_swap,85.20427286356822,82.54310344827587,58,12,0.0851,0.1369,0.0518,0.0357,0.0537,0.0412,0.2166,0.0688,0.2854,0.1733,3,False
winclip,mvtec,cable,cut_outer_insulation,85.20427286356822,83.44827586206897,58,10,0.0851,0.1408,0.0557,0.0357,0.056,0.0538,0.1944,0.0854,0.2798,0.1733,4,False
winclip,mvtec,cable,cut_inner_insulation,85.20427286356822,84.79064039408867,58,14,0.0851,0.1805,0.0954,0.0357,0.1001,0.1122,0.3201,0.0759,0.396,0.1733,5,False
winclip,mvtec,cable,missing_cable,85.20427286356822,90.58908045977012,58,12,0.0851,0.2086,0.1235,0.0357,0.114,0.0717,0.4138,0.0706,0.4844,0.1733,6,False
winclip,mvtec,cable,bent_wire,85.20427286356822,93.23607427055703,58,13,0.0851,0.271,0.1859,0.0357,0.155,0.2179,0.5038,0.0851,0.5889,0.1733,7,False
winclip,mvtec,cable,combined,85.20427286356822,93.57366771159874,58,11,0.0851,0.2046,0.1195,0.0357,0.0821,0.131,0.2529,0.094,0.3469,0.1733,8,False
