model,defect_type,defect_auroc,n_defect,mean_defect_score,std_defect_score,iqr_defect_score,range_defect_score,bottom_anomaly_score,top_anomaly_score
adaptclip,cut_outer_insulation,97.93103448275862,10,0.8925,0.035,0.0656,0.0871,0.8543,0.9414
adaptclip,poke_insulation,93.44827586206897,10,0.8742,0.0297,0.0315,0.0989,0.8239,0.9228
adaptclip,bent_wire,81.0344827586207,13,0.8549,0.0295,0.0372,0.0888,0.817,0.9058
adaptclip,combined,93.88714733542321,11,0.8682,0.0278,0.0521,0.0691,0.839,0.9081
adaptclip,missing_wire,91.37931034482759,10,0.8622,0.0261,0.0138,0.1042,0.8211,0.9253
adaptclip,cut_inner_insulation,79.064039408867,14,0.8477,0.0241,0.0391,0.0701,0.8201,0.8902
adaptclip,missing_cable,64.94252873563218,12,0.8337,0.0216,0.0263,0.0757,0.7895,0.8652
adaptclip,cable_swap,74.56896551724138,12,0.8417,0.0196,0.014,0.0656,0.8138,0.8794
anomalyclip,missing_cable,66.37931034482759,12,0.9908,0.009,0.0038,0.0341,0.9634,0.9976
anomalyclip,bent_wire,58.355437665782496,13,0.992,0.0032,0.0057,0.0087,0.9873,0.996
anomalyclip,poke_insulation,68.62068965517241,10,0.9932,0.0032,0.0045,0.0098,0.9869,0.9966
anomalyclip,combined,82.75862068965517,11,0.9948,0.0029,0.003,0.0094,0.9885,0.9979
anomalyclip,missing_wire,65.17241379310346,10,0.9929,0.0024,0.0034,0.0083,0.9885,0.9968
anomalyclip,cut_inner_insulation,68.8423645320197,14,0.9932,0.0019,0.0028,0.0063,0.9906,0.9969
anomalyclip,cable_swap,76.72413793103449,12,0.994,0.0019,0.0031,0.0051,0.992,0.9971
anomalyclip,cut_outer_insulation,77.75862068965517,10,0.994,0.0019,0.0024,0.006,0.9913,0.9973
winclip,bent_wire,93.23607427055703,13,0.271,0.155,0.2179,0.5038,0.0851,0.5889
winclip,missing_cable,90.58908045977012,12,0.2086,0.114,0.0717,0.4138,0.0706,0.4844
winclip,cut_inner_insulation,84.79064039408867,14,0.1805,0.1001,0.1122,0.3201,0.0759,0.396
winclip,combined,93.57366771159874,11,0.2046,0.0821,0.131,0.2529,0.094,0.3469
winclip,cut_outer_insulation,83.44827586206897,10,0.1408,0.056,0.0538,0.1944,0.0854,0.2798
winclip,cable_swap,82.54310344827587,12,0.1369,0.0537,0.0412,0.2166,0.0688,0.2854
winclip,missing_wire,72.24137931034483,10,0.1185,0.0472,0.0551,0.1368,0.0637,0.2006
winclip,poke_insulation,77.58620689655173,10,0.1226,0.0345,0.0504,0.1008,0.0637,0.1646
