model,defect_type,defect_auroc,mean_defect_score,model_median_defect_score,confidence_margin_vs_model_median,mean_good_score,score_gap,bottom_anomaly_score,n_defect,well_ranked_but_weakly_activated
winclip,missing_wire,72.24137931034483,0.1185,0.1606,-0.0421,0.0851,0.0334,0.0637,10,False
winclip,poke_insulation,77.58620689655173,0.1226,0.1606,-0.038,0.0851,0.0375,0.0637,10,False
adaptclip,missing_cable,64.94252873563218,0.8337,0.8585,-0.0248,0.8255,0.0082,0.7895,12,False
winclip,cable_swap,82.54310344827587,0.1369,0.1606,-0.0238,0.0851,0.0518,0.0688,12,False
winclip,cut_outer_insulation,83.44827586206897,0.1408,0.1606,-0.0198,0.0851,0.0557,0.0854,10,False
adaptclip,cable_swap,74.56896551724138,0.8417,0.8585,-0.0168,0.8255,0.0163,0.8138,12,False
adaptclip,cut_inner_insulation,79.064039408867,0.8477,0.8585,-0.0108,0.8255,0.0223,0.8201,14,False
adaptclip,bent_wire,81.0344827586207,0.8549,0.8585,-0.0036,0.8255,0.0294,0.817,13,False
anomalyclip,missing_cable,66.37931034482759,0.9908,0.9932,-0.0023,0.9912,-0.0004,0.9634,12,False
anomalyclip,bent_wire,58.355437665782496,0.992,0.9932,-0.0012,0.9912,0.0008,0.9873,13,False
anomalyclip,missing_wire,65.17241379310346,0.9929,0.9932,-0.0002,0.9912,0.0017,0.9885,10,False
anomalyclip,cut_inner_insulation,68.8423645320197,0.9932,0.9932,0.0,0.9912,0.002,0.9906,14,False
anomalyclip,poke_insulation,68.62068965517241,0.9932,0.9932,-0.0,0.9912,0.0019,0.9869,10,False
anomalyclip,cut_outer_insulation,77.75862068965517,0.994,0.9932,0.0008,0.9912,0.0028,0.9913,10,False
anomalyclip,cable_swap,76.72413793103449,0.994,0.9932,0.0009,0.9912,0.0028,0.992,12,False
anomalyclip,combined,82.75862068965517,0.9948,0.9932,0.0016,0.9912,0.0036,0.9885,11,False
adaptclip,missing_wire,91.37931034482759,0.8622,0.8585,0.0036,0.8255,0.0367,0.8211,10,False
adaptclip,combined,93.88714733542321,0.8682,0.8585,0.0096,0.8255,0.0427,0.839,11,False
adaptclip,poke_insulation,93.44827586206897,0.8742,0.8585,0.0157,0.8255,0.0487,0.8239,10,False
winclip,cut_inner_insulation,84.79064039408867,0.1805,0.1606,0.0198,0.0851,0.0954,0.0759,14,False
adaptclip,cut_outer_insulation,97.93103448275862,0.8925,0.8585,0.034,0.8255,0.067,0.8543,10,False
winclip,combined,93.57366771159874,0.2046,0.1606,0.044,0.0851,0.1195,0.094,11,False
winclip,missing_cable,90.58908045977012,0.2086,0.1606,0.0479,0.0851,0.1235,0.0706,12,False
winclip,bent_wire,93.23607427055703,0.271,0.1606,0.1103,0.0851,0.1859,0.0851,13,False
