model,dataset,class,defect_type,sample_id,image_score,query_path
winclip,mvtec,cable,poke_insulation,4.0,0.063720703125,dataset\MVTec\cable/test/poke_insulation/004.png
winclip,mvtec,cable,missing_wire,0.0,0.063720703125,dataset\MVTec\cable/test/missing_wire/000.png
winclip,mvtec,cable,cable_swap,9.0,0.06878662109375,dataset\MVTec\cable/test/cable_swap/009.png
winclip,mvtec,cable,missing_cable,10.0,0.070556640625,dataset\MVTec\cable/test/missing_cable/010.png
winclip,mvtec,cable,missing_wire,9.0,0.07318115234375,dataset\MVTec\cable/test/missing_wire/009.png
winclip,mvtec,cable,cut_inner_insulation,2.0,0.07586669921875,dataset\MVTec\cable/test/cut_inner_insulation/002.png
winclip,mvtec,cable,cut_inner_insulation,6.0,0.08038330078125,dataset\MVTec\cable/test/cut_inner_insulation/006.png
winclip,mvtec,cable,poke_insulation,2.0,0.08123779296875,dataset\MVTec\cable/test/poke_insulation/002.png
winclip,mvtec,cable,missing_wire,1.0,0.082275390625,dataset\MVTec\cable/test/missing_wire/001.png
winclip,mvtec,cable,bent_wire,8.0,0.0850830078125,dataset\MVTec\cable/test/bent_wire/008.png
