model,dataset,class,defect_type,sample_id,image_score,query_path
anomalyclip,mvtec,carpet,good,14.0,0.2903155088424682,dataset\MVTec\carpet/test/good/014.png
anomalyclip,mvtec,carpet,good,15.0,0.272828608751297,dataset\MVTec\carpet/test/good/015.png
anomalyclip,mvtec,carpet,good,13.0,0.2681028544902801,dataset\MVTec\carpet/test/good/013.png
anomalyclip,mvtec,carpet,good,19.0,0.2641098797321319,dataset\MVTec\carpet/test/good/019.png
anomalyclip,mvtec,carpet,good,1.0,0.2482161670923233,dataset\MVTec\carpet/test/good/001.png
anomalyclip,mvtec,carpet,good,25.0,0.2443011850118637,dataset\MVTec\carpet/test/good/025.png
anomalyclip,mvtec,carpet,good,21.0,0.2437789887189865,dataset\MVTec\carpet/test/good/021.png
anomalyclip,mvtec,carpet,good,6.0,0.2361426353454589,dataset\MVTec\carpet/test/good/006.png
anomalyclip,mvtec,carpet,good,12.0,0.2328966110944748,dataset\MVTec\carpet/test/good/012.png
anomalyclip,mvtec,carpet,good,3.0,0.2311790436506271,dataset\MVTec\carpet/test/good/003.png
