model,dataset,class,defect_type,sample_id,image_score,query_path
anomalyclip,mvtec,carpet,hole,12.0,0.2814036607742309,dataset\MVTec\carpet/test/hole/012.png
anomalyclip,mvtec,carpet,hole,1.0,0.3079038858413696,dataset\MVTec\carpet/test/hole/001.png
anomalyclip,mvtec,carpet,thread,14.0,0.3185642063617706,dataset\MVTec\carpet/test/thread/014.png
anomalyclip,mvtec,carpet,cut,16.0,0.392281711101532,dataset\MVTec\carpet/test/cut/016.png
anomalyclip,mvtec,carpet,thread,9.0,0.3927275240421295,dataset\MVTec\carpet/test/thread/009.png
anomalyclip,mvtec,carpet,cut,7.0,0.3941730260848999,dataset\MVTec\carpet/test/cut/007.png
anomalyclip,mvtec,carpet,cut,8.0,0.4046680331230163,dataset\MVTec\carpet/test/cut/008.png
anomalyclip,mvtec,carpet,thread,1.0,0.4050925076007843,dataset\MVTec\carpet/test/thread/001.png
anomalyclip,mvtec,carpet,hole,0.0,0.4114067852497101,dataset\MVTec\carpet/test/hole/000.png
anomalyclip,mvtec,carpet,cut,4.0,0.42898029088974,dataset\MVTec\carpet/test/cut/004.png
