model,dataset,class,defect_type,class_auroc,defect_auroc,n_good,n_defect,mean_good_score,mean_defect_score,score_gap,std_good_score,std_defect_score,iqr_defect_score,range_defect_score,bottom_anomaly_score,top_anomaly_score,top_normal_score,rank_low_to_high,low_auroc
adaptclip,mvtec,carpet,color,100.0,100.0,28,19,0.1278,0.6027,0.4748,0.0481,0.1769,0.3173,0.5343,0.3752,0.9095,0.1904,1,False
adaptclip,mvtec,carpet,cut,100.0,100.0,28,17,0.1278,0.5875,0.4597,0.0481,0.2467,0.4931,0.7318,0.2179,0.9497,0.1904,1,False
adaptclip,mvtec,carpet,hole,100.0,100.0,28,17,0.1278,0.5947,0.4669,0.0481,0.2457,0.4027,0.6676,0.2338,0.9014,0.1904,1,False
adaptclip,mvtec,carpet,metal_contamination,100.0,100.0,28,17,0.1278,0.517,0.3892,0.0481,0.1592,0.3017,0.4682,0.3073,0.7755,0.1904,1,False
adaptclip,mvtec,carpet,thread,100.0,100.0,28,19,0.1278,0.5744,0.4466,0.0481,0.2032,0.358,0.6555,0.2495,0.905,0.1904,1,False
anomalyclip,mvtec,carpet,hole,99.95987158908507,99.78991596638656,28,17,0.2206,0.719,0.4984,0.0292,0.2383,0.3883,0.6848,0.2814,0.9662,0.2903,1,False
anomalyclip,mvtec,carpet,color,99.95987158908507,100.0,28,19,0.2206,0.8213,0.6007,0.0292,0.1367,0.2091,0.4345,0.5552,0.9898,0.2903,2,False
anomalyclip,mvtec,carpet,cut,99.95987158908507,100.0,28,17,0.2206,0.7282,0.5075,0.0292,0.2241,0.4122,0.5916,0.3923,0.9838,0.2903,2,False
anomalyclip,mvtec,carpet,metal_contamination,99.95987158908507,100.0,28,17,0.2206,0.8215,0.6009,0.0292,0.1572,0.1291,0.471,0.4908,0.9618,0.2903,2,False
anomalyclip,mvtec,carpet,thread,99.95987158908507,100.0,28,19,0.2206,0.7157,0.4951,0.0292,0.2081,0.2915,0.6536,0.3186,0.9721,0.2903,2,False
winclip,mvtec,carpet,metal_contamination,99.31781701444623,96.63865546218487,28,17,0.0362,0.1834,0.1471,0.0163,0.1246,0.1426,0.5056,0.0373,0.543,0.0888,1,False
winclip,mvtec,carpet,thread,99.31781701444623,99.81203007518798,28,19,0.0362,0.2846,0.2484,0.0163,0.1391,0.1697,0.4847,0.0851,0.5698,0.0888,2,False
winclip,mvtec,carpet,color,99.31781701444623,100.0,28,19,0.0362,0.4774,0.4411,0.0163,0.168,0.2031,0.672,0.2338,0.9058,0.0888,3,False
winclip,mvtec,carpet,cut,99.31781701444623,100.0,28,17,0.0362,0.3595,0.3233,0.0163,0.1742,0.2422,0.657,0.1067,0.7637,0.0888,3,False
winclip,mvtec,carpet,hole,99.31781701444623,100.0,28,17,0.0362,0.3042,0.268,0.0163,0.144,0.1295,0.6077,0.1384,0.7461,0.0888,3,False
