model,defect_type,defect_auroc,n_defect,mean_defect_score,std_defect_score,iqr_defect_score,range_defect_score,bottom_anomaly_score,top_anomaly_score
adaptclip,cut,100.0,17,0.5875,0.2467,0.4931,0.7318,0.2179,0.9497
adaptclip,hole,100.0,17,0.5947,0.2457,0.4027,0.6676,0.2338,0.9014
adaptclip,thread,100.0,19,0.5744,0.2032,0.358,0.6555,0.2495,0.905
adaptclip,color,100.0,19,0.6027,0.1769,0.3173,0.5343,0.3752,0.9095
adaptclip,metal_contamination,100.0,17,0.517,0.1592,0.3017,0.4682,0.3073,0.7755
anomalyclip,hole,99.78991596638656,17,0.719,0.2383,0.3883,0.6848,0.2814,0.9662
anomalyclip,cut,100.0,17,0.7282,0.2241,0.4122,0.5916,0.3923,0.9838
anomalyclip,thread,100.0,19,0.7157,0.2081,0.2915,0.6536,0.3186,0.9721
anomalyclip,metal_contamination,100.0,17,0.8215,0.1572,0.1291,0.471,0.4908,0.9618
anomalyclip,color,100.0,19,0.8213,0.1367,0.2091,0.4345,0.5552,0.9898
winclip,cut,100.0,17,0.3595,0.1742,0.2422,0.657,0.1067,0.7637
winclip,color,100.0,19,0.4774,0.168,0.2031,0.672,0.2338,0.9058
winclip,hole,100.0,17,0.3042,0.144,0.1295,0.6077,0.1384,0.7461
winclip,thread,99.81203007518798,19,0.2846,0.1391,0.1697,0.4847,0.0851,0.5698
winclip,metal_contamination,96.63865546218487,17,0.1834,0.1246,0.1426,0.5056,0.0373,0.543
