model,dataset,class,defect_type,sample_id,image_score,query_path
winclip,mvtec,carpet,good,25.0,0.08880615234375,dataset\MVTec\carpet/test/good/025.png
winclip,mvtec,carpet,good,21.0,0.06658935546875,dataset\MVTec\carpet/test/good/021.png
winclip,mvtec,carpet,good,15.0,0.06658935546875,dataset\MVTec\carpet/test/good/015.png
winclip,mvtec,carpet,good,9.0,0.050323486328125,dataset\MVTec\carpet/test/good/009.png
winclip,mvtec,carpet,good,14.0,0.049591064453125,dataset\MVTec\carpet/test/good/014.png
winclip,mvtec,carpet,good,13.0,0.044677734375,dataset\MVTec\carpet/test/good/013.png
winclip,mvtec,carpet,good,6.0,0.041473388671875,dataset\MVTec\carpet/test/good/006.png
winclip,mvtec,carpet,good,1.0,0.0390625,dataset\MVTec\carpet/test/good/001.png
winclip,mvtec,carpet,good,12.0,0.03790283203125,dataset\MVTec\carpet/test/good/012.png
winclip,mvtec,carpet,good,23.0,0.036224365234375,dataset\MVTec\carpet/test/good/023.png
