model,dataset,class,defect_type,sample_id,image_score,query_path
winclip,mvtec,carpet,metal_contamination,0.0,0.037322998046875,dataset\MVTec\carpet/test/metal_contamination/000.png
winclip,mvtec,carpet,metal_contamination,1.0,0.0574951171875,dataset\MVTec\carpet/test/metal_contamination/001.png
winclip,mvtec,carpet,metal_contamination,16.0,0.06280517578125,dataset\MVTec\carpet/test/metal_contamination/016.png
winclip,mvtec,carpet,metal_contamination,11.0,0.0726318359375,dataset\MVTec\carpet/test/metal_contamination/011.png
winclip,mvtec,carpet,thread,10.0,0.0850830078125,dataset\MVTec\carpet/test/thread/010.png
winclip,mvtec,carpet,cut,4.0,0.106689453125,dataset\MVTec\carpet/test/cut/004.png
winclip,mvtec,carpet,cut,8.0,0.10968017578125,dataset\MVTec\carpet/test/cut/008.png
winclip,mvtec,carpet,metal_contamination,14.0,0.11126708984375,dataset\MVTec\carpet/test/metal_contamination/014.png
winclip,mvtec,carpet,thread,14.0,0.1175537109375,dataset\MVTec\carpet/test/thread/014.png
winclip,mvtec,carpet,thread,11.0,0.12420654296875,dataset\MVTec\carpet/test/thread/011.png
