model,dataset,class,defect_type,sample_id,image_score,query_path
adaptclip,mvtec,hazelnut,good,13,0.9052186012268066,dataset\MVTec\hazelnut/test/good/013.png
adaptclip,mvtec,hazelnut,good,3,0.8896697759628296,dataset\MVTec\hazelnut/test/good/003.png
adaptclip,mvtec,hazelnut,good,5,0.8698670268058777,dataset\MVTec\hazelnut/test/good/005.png
adaptclip,mvtec,hazelnut,good,38,0.8619771003723145,dataset\MVTec\hazelnut/test/good/038.png
adaptclip,mvtec,hazelnut,good,25,0.8578049540519714,dataset\MVTec\hazelnut/test/good/025.png
adaptclip,mvtec,hazelnut,good,20,0.8487216234207153,dataset\MVTec\hazelnut/test/good/020.png
adaptclip,mvtec,hazelnut,good,33,0.8433036804199219,dataset\MVTec\hazelnut/test/good/033.png
adaptclip,mvtec,hazelnut,good,1,0.8395978808403015,dataset\MVTec\hazelnut/test/good/001.png
adaptclip,mvtec,hazelnut,good,30,0.8345521688461304,dataset\MVTec\hazelnut/test/good/030.png
adaptclip,mvtec,hazelnut,good,14,0.8325124979019165,dataset\MVTec\hazelnut/test/good/014.png
