model,dataset,class,defect_type,sample_id,image_score,query_path
adaptclip,mvtec,hazelnut,print,8,0.8445917963981628,dataset/MVTec/hazelnut/test/print/008.png
adaptclip,mvtec,hazelnut,print,1,0.8447158336639404,dataset/MVTec/hazelnut/test/print/001.png
adaptclip,mvtec,hazelnut,print,2,0.8606794476509094,dataset/MVTec/hazelnut/test/print/002.png
adaptclip,mvtec,hazelnut,cut,1,0.8898242115974426,dataset/MVTec/hazelnut/test/cut/001.png
adaptclip,mvtec,hazelnut,cut,16,0.8982018828392029,dataset/MVTec/hazelnut/test/cut/016.png
adaptclip,mvtec,hazelnut,cut,7,0.8993391990661621,dataset/MVTec/hazelnut/test/cut/007.png
adaptclip,mvtec,hazelnut,print,12,0.9022595286369324,dataset/MVTec/hazelnut/test/print/012.png
adaptclip,mvtec,hazelnut,print,11,0.903426706790924,dataset/MVTec/hazelnut/test/print/011.png
adaptclip,mvtec,hazelnut,print,4,0.903476059436798,dataset/MVTec/hazelnut/test/print/004.png
adaptclip,mvtec,hazelnut,print,0,0.9040157794952391,dataset/MVTec/hazelnut/test/print/000.png
