model,dataset,class,defect_type,class_auroc,defect_auroc,n_good,n_defect,mean_good_score,mean_defect_score,score_gap,std_good_score,std_defect_score,iqr_defect_score,range_defect_score,bottom_anomaly_score,top_anomaly_score,top_normal_score,rank_low_to_high,low_auroc
adaptclip,mvtec,hazelnut,print,76.25,18.82352941176471,40,17,0.7818,0.6226,-0.1593,0.072,0.1417,0.2761,0.4252,0.3993,0.8245,0.9052,1,True
adaptclip,mvtec,hazelnut,hole,76.25,92.3611111111111,40,18,0.7818,0.9157,0.1339,0.072,0.0702,0.0401,0.2847,0.6827,0.9675,0.9052,2,False
adaptclip,mvtec,hazelnut,cut,76.25,93.08823529411765,40,17,0.7818,0.8949,0.113,0.072,0.0438,0.043,0.1565,0.7914,0.9479,0.9052,3,False
adaptclip,mvtec,hazelnut,crack,76.25,98.47222222222223,40,18,0.7818,0.9187,0.1368,0.072,0.0299,0.0234,0.1151,0.8589,0.974,0.9052,4,False
anomalyclip,mvtec,hazelnut,print,84.53571428571428,51.764705882352935,40,17,0.8445,0.8424,-0.0021,0.0632,0.077,0.1124,0.2643,0.6797,0.9441,0.9496,1,True
anomalyclip,mvtec,hazelnut,cut,84.53571428571428,88.23529411764706,40,17,0.8445,0.9312,0.0867,0.0632,0.0379,0.044,0.1433,0.8411,0.9844,0.9496,2,False
anomalyclip,mvtec,hazelnut,crack,84.53571428571428,97.36111111111111,40,18,0.8445,0.9625,0.1179,0.0632,0.0238,0.0179,0.0935,0.8933,0.9869,0.9496,3,False
anomalyclip,mvtec,hazelnut,hole,84.53571428571428,99.16666666666667,40,18,0.8445,0.9712,0.1267,0.0632,0.0191,0.0217,0.0652,0.9306,0.9958,0.9496,4,False
winclip,mvtec,hazelnut,print,92.46428571428572,86.61764705882352,40,17,0.3647,0.6095,0.2448,0.1213,0.174,0.2529,0.6069,0.2451,0.8521,0.585,1,False
winclip,mvtec,hazelnut,hole,92.46428571428572,90.48611111111111,40,18,0.3647,0.6136,0.2489,0.1213,0.1327,0.2352,0.3547,0.4226,0.7773,0.585,2,False
winclip,mvtec,hazelnut,cut,92.46428571428572,93.45588235294117,40,17,0.3647,0.6598,0.2951,0.1213,0.1551,0.228,0.5244,0.3774,0.9019,0.585,3,False
winclip,mvtec,hazelnut,crack,92.46428571428572,99.02777777777779,40,18,0.3647,0.7108,0.3461,0.1213,0.1083,0.1653,0.335,0.5391,0.874,0.585,4,False
