dataset,class,defect_type,sample_id,label,query_path,adaptclip,anomalyclip,winclip,score_range_across_models,abs_diff_adaptclip_vs_anomalyclip,abs_diff_adaptclip_vs_winclip,abs_diff_anomalyclip_vs_winclip
mvtec,hazelnut,crack,0,1,dataset\MVTec\hazelnut/test/crack/000.png,0.9527859687805176,0.974985122680664,0.86328125,0.11170387268066395,0.022199153900146373,0.08950471878051758,0.11170387268066395
mvtec,hazelnut,crack,1,1,dataset\MVTec\hazelnut/test/crack/001.png,0.936879336833954,0.9820844531059264,0.56201171875,0.4200727343559264,0.045205116271972434,0.37486761808395397,0.4200727343559264
mvtec,hazelnut,crack,10,1,dataset\MVTec\hazelnut/test/crack/010.png,0.8589084148406982,0.8933366537094116,0.5390625,0.3542741537094116,0.03442823886871338,0.31984591484069824,0.3542741537094116
mvtec,hazelnut,crack,11,1,dataset\MVTec\hazelnut/test/crack/011.png,0.9294506311416626,0.9566984176635742,0.63720703125,0.3194913864135742,0.02724778652191162,0.2922435998916626,0.3194913864135742
mvtec,hazelnut,crack,12,1,dataset\MVTec\hazelnut/test/crack/012.png,0.8590008616447449,0.9406234622001648,0.84814453125,0.0924789309501648,0.08162260055541992,0.010856330394744873,0.0924789309501648
mvtec,hazelnut,crack,13,1,dataset\MVTec\hazelnut/test/crack/013.png,0.907648742198944,0.9752609133720398,0.7431640625,0.2320968508720398,0.06761217117309581,0.16448467969894398,0.2320968508720398
mvtec,hazelnut,crack,14,1,dataset\MVTec\hazelnut/test/crack/014.png,0.9739785194396972,0.9760558009147644,0.69287109375,0.2831847071647644,0.0020772814750672497,0.28110742568969715,0.2831847071647644
mvtec,hazelnut,crack,15,1,dataset\MVTec\hazelnut/test/crack/015.png,0.931745707988739,0.9647617340087892,0.7548828125,0.20987892150878917,0.03301602602005016,0.176862895488739,0.20987892150878917
mvtec,hazelnut,crack,16,1,dataset\MVTec\hazelnut/test/crack/016.png,0.947265326976776,0.977958917617798,0.64404296875,0.33391594886779796,0.03069359064102195,0.303222358226776,0.33391594886779796
mvtec,hazelnut,crack,17,1,dataset\MVTec\hazelnut/test/crack/017.png,0.9124400019645692,0.9728120565414428,0.8740234375,0.09878861904144276,0.06037205457687356,0.0384165644645692,0.09878861904144276
