model,defect_type,defect_auroc,mean_defect_score,model_median_defect_score,confidence_margin_vs_model_median,mean_good_score,score_gap,bottom_anomaly_score,n_defect,well_ranked_but_weakly_activated
winclip,hole,90.48611111111111,0.6136,0.6367,-0.0231,0.3647,0.2489,0.4226,18,True
adaptclip,cut,95.14705882352942,0.9346,0.9451,-0.0104,0.8561,0.0785,0.8898,17,True
anomalyclip,print,51.764705882352935,0.8424,0.9468,-0.1044,0.8445,-0.0021,0.6797,17,False
adaptclip,print,84.41176470588235,0.9071,0.9451,-0.038,0.8561,0.051,0.8446,17,False
winclip,print,86.61764705882352,0.6095,0.6367,-0.0271,0.3647,0.2448,0.2451,17,False
anomalyclip,cut,88.23529411764706,0.9312,0.9468,-0.0156,0.8445,0.0867,0.8411,17,False
adaptclip,crack,99.30555555555554,0.9555,0.9451,0.0104,0.8561,0.0994,0.9289,18,False
anomalyclip,crack,97.36111111111111,0.9625,0.9468,0.0156,0.8445,0.1179,0.8933,18,False
adaptclip,hole,99.72222222222223,0.9613,0.9451,0.0162,0.8561,0.1052,0.9146,18,False
winclip,cut,93.45588235294117,0.6598,0.6367,0.0231,0.3647,0.2951,0.3774,17,False
anomalyclip,hole,99.16666666666667,0.9712,0.9468,0.0244,0.8445,0.1267,0.9306,18,False
winclip,crack,99.02777777777779,0.7108,0.6367,0.0741,0.3647,0.3461,0.5391,18,False
