model,dataset,class,defect_type,sample_id,image_score,query_path
winclip,mvtec,hazelnut,print,13,0.2451171875,dataset\MVTec\hazelnut/test/print/013.png
winclip,mvtec,hazelnut,print,15,0.33447265625,dataset\MVTec\hazelnut/test/print/015.png
winclip,mvtec,hazelnut,cut,0,0.37744140625,dataset\MVTec\hazelnut/test/cut/000.png
winclip,mvtec,hazelnut,print,9,0.414794921875,dataset\MVTec\hazelnut/test/print/009.png
winclip,mvtec,hazelnut,hole,5,0.422607421875,dataset\MVTec\hazelnut/test/hole/005.png
winclip,mvtec,hazelnut,hole,9,0.422607421875,dataset\MVTec\hazelnut/test/hole/009.png
winclip,mvtec,hazelnut,hole,2,0.437744140625,dataset\MVTec\hazelnut/test/hole/002.png
winclip,mvtec,hazelnut,hole,17,0.437744140625,dataset\MVTec\hazelnut/test/hole/017.png
winclip,mvtec,hazelnut,print,1,0.46875,dataset\MVTec\hazelnut/test/print/001.png
winclip,mvtec,hazelnut,cut,1,0.4765625,dataset\MVTec\hazelnut/test/cut/001.png
