model,dataset,class,defect_type,sample_id,image_score,query_path
adaptclip,mvtec,pill,color,2.0,0.3338463008403778,dataset/MVTec/pill/test/color/002.png
adaptclip,mvtec,pill,crack,21.0,0.37964928150177,dataset/MVTec/pill/test/crack/021.png
adaptclip,mvtec,pill,scratch,5.0,0.3940914571285248,dataset/MVTec/pill/test/scratch/005.png
adaptclip,mvtec,pill,color,4.0,0.4031166136264801,dataset/MVTec/pill/test/color/004.png
adaptclip,mvtec,pill,color,3.0,0.4219306409358978,dataset/MVTec/pill/test/color/003.png
adaptclip,mvtec,pill,scratch,19.0,0.4240037500858307,dataset/MVTec/pill/test/scratch/019.png
adaptclip,mvtec,pill,crack,3.0,0.424884170293808,dataset/MVTec/pill/test/crack/003.png
adaptclip,mvtec,pill,pill_type,2.0,0.4304756224155426,dataset/MVTec/pill/test/pill_type/002.png
adaptclip,mvtec,pill,crack,25.0,0.4489432573318481,dataset/MVTec/pill/test/crack/025.png
adaptclip,mvtec,pill,contamination,5.0,0.455948919057846,dataset/MVTec/pill/test/contamination/005.png
