model,dataset,class,defect_type,sample_id,image_score,query_path
anomalyclip,mvtec,pill,crack,21.0,0.8683803677558899,dataset\MVTec\pill/test/crack/021.png
anomalyclip,mvtec,pill,crack,17.0,0.8884792327880859,dataset\MVTec\pill/test/crack/017.png
anomalyclip,mvtec,pill,color,4.0,0.8922054767608643,dataset\MVTec\pill/test/color/004.png
anomalyclip,mvtec,pill,crack,12.0,0.8929581642150879,dataset\MVTec\pill/test/crack/012.png
anomalyclip,mvtec,pill,combined,13.0,0.8957379460334778,dataset\MVTec\pill/test/combined/013.png
anomalyclip,mvtec,pill,crack,3.0,0.8980531096458435,dataset\MVTec\pill/test/crack/003.png
anomalyclip,mvtec,pill,color,2.0,0.8981558084487915,dataset\MVTec\pill/test/color/002.png
anomalyclip,mvtec,pill,combined,12.0,0.901550590991974,dataset\MVTec\pill/test/combined/012.png
anomalyclip,mvtec,pill,scratch,5.0,0.9042701125144958,dataset\MVTec\pill/test/scratch/005.png
anomalyclip,mvtec,pill,combined,5.0,0.9140675067901612,dataset\MVTec\pill/test/combined/005.png
