model,dataset,class,defect_type,class_auroc,defect_auroc,n_good,n_defect,mean_good_score,mean_defect_score,score_gap,std_good_score,std_defect_score,iqr_defect_score,range_defect_score,bottom_anomaly_score,top_anomaly_score,top_normal_score,rank_low_to_high,low_auroc
adaptclip,mvtec,pill,crack,86.797599563557,82.6923076923077,26,26,0.4704,0.6462,0.1758,0.1332,0.1456,0.2394,0.4845,0.3796,0.8642,0.7914,1,False
adaptclip,mvtec,pill,scratch,86.797599563557,84.2948717948718,26,24,0.4704,0.6732,0.2028,0.1332,0.1459,0.208,0.5092,0.3941,0.9033,0.7914,2,False
adaptclip,mvtec,pill,color,86.797599563557,84.92307692307692,26,25,0.4704,0.6636,0.1932,0.1332,0.1409,0.1993,0.5186,0.3338,0.8524,0.7914,3,False
adaptclip,mvtec,pill,contamination,86.797599563557,86.63003663003663,26,21,0.4704,0.6818,0.2114,0.1332,0.1429,0.239,0.444,0.4559,0.9,0.7914,4,False
adaptclip,mvtec,pill,pill_type,86.797599563557,91.02564102564102,26,9,0.4704,0.745,0.2746,0.1332,0.1481,0.1613,0.4367,0.4305,0.8672,0.7914,5,False
adaptclip,mvtec,pill,faulty_imprint,86.797599563557,91.29554655870444,26,19,0.4704,0.7264,0.256,0.1332,0.1087,0.1457,0.3617,0.5186,0.8803,0.7914,6,False
adaptclip,mvtec,pill,combined,86.797599563557,92.3076923076923,26,17,0.4704,0.7524,0.282,0.1332,0.1388,0.2007,0.4487,0.4784,0.9272,0.7914,7,False
anomalyclip,mvtec,pill,crack,81.09656301145662,67.603550295858,26,26,0.9249,0.9363,0.0114,0.0241,0.0257,0.019,0.1026,0.8684,0.971,0.9798,1,True
anomalyclip,mvtec,pill,combined,81.09656301145662,77.60180995475113,26,17,0.9249,0.9518,0.0269,0.0241,0.028,0.0363,0.096,0.8957,0.9917,0.9798,2,True
anomalyclip,mvtec,pill,scratch,81.09656301145662,78.2051282051282,26,24,0.9249,0.9465,0.0215,0.0241,0.0169,0.0188,0.0744,0.9043,0.9787,0.9798,3,True
anomalyclip,mvtec,pill,contamination,81.09656301145662,81.86813186813187,26,21,0.9249,0.9493,0.0244,0.0241,0.0148,0.0194,0.0597,0.923,0.9827,0.9798,4,False
anomalyclip,mvtec,pill,faulty_imprint,81.09656301145662,87.85425101214574,26,19,0.9249,0.9573,0.0323,0.0241,0.0171,0.0222,0.0657,0.9195,0.9852,0.9798,5,False
anomalyclip,mvtec,pill,color,81.09656301145662,88.30769230769232,26,25,0.9249,0.9566,0.0317,0.0241,0.0208,0.014,0.0896,0.8922,0.9818,0.9798,6,False
anomalyclip,mvtec,pill,pill_type,81.09656301145662,98.2905982905983,26,9,0.9249,0.983,0.0581,0.0241,0.014,0.0194,0.042,0.9542,0.9962,0.9798,7,False
winclip,mvtec,pill,pill_type,81.34206219312603,5.341880341880341,26,9,0.2335,0.1353,-0.0982,0.04,0.0546,0.0679,0.1621,0.0396,0.2018,0.314,1,True
winclip,mvtec,pill,color,81.34206219312603,78.92307692307693,26,25,0.2335,0.2854,0.0519,0.04,0.048,0.0814,0.1663,0.1968,0.363,0.314,2,True
winclip,mvtec,pill,crack,81.34206219312603,81.58284023668638,26,26,0.2335,0.3024,0.0689,0.04,0.068,0.0854,0.2632,0.1824,0.4456,0.314,3,False
winclip,mvtec,pill,scratch,81.34206219312603,87.50000000000001,26,24,0.2335,0.3061,0.0726,0.04,0.0545,0.0546,0.2402,0.1824,0.4226,0.314,4,False
winclip,mvtec,pill,contamination,81.34206219312603,87.72893772893772,26,21,0.2335,0.3054,0.0719,0.04,0.0528,0.0525,0.1866,0.2281,0.4148,0.314,5,False
winclip,mvtec,pill,faulty_imprint,81.34206219312603,88.96761133603239,26,19,0.2335,0.3254,0.0919,0.04,0.0754,0.0659,0.2975,0.2338,0.5312,0.314,6,False
winclip,mvtec,pill,combined,81.34206219312603,99.6606334841629,26,17,0.2335,0.418,0.1845,0.04,0.0634,0.0835,0.2239,0.3074,0.5312,0.314,7,False
