model,defect_type,defect_auroc,n_defect,mean_defect_score,std_defect_score,iqr_defect_score,range_defect_score,bottom_anomaly_score,top_anomaly_score
adaptclip,pill_type,91.02564102564102,9,0.745,0.1481,0.1613,0.4367,0.4305,0.8672
adaptclip,scratch,84.2948717948718,24,0.6732,0.1459,0.208,0.5092,0.3941,0.9033
adaptclip,crack,82.6923076923077,26,0.6462,0.1456,0.2394,0.4845,0.3796,0.8642
adaptclip,contamination,86.63003663003663,21,0.6818,0.1429,0.239,0.444,0.4559,0.9
adaptclip,color,84.92307692307692,25,0.6636,0.1409,0.1993,0.5186,0.3338,0.8524
adaptclip,combined,92.3076923076923,17,0.7524,0.1388,0.2007,0.4487,0.4784,0.9272
adaptclip,faulty_imprint,91.29554655870444,19,0.7264,0.1087,0.1457,0.3617,0.5186,0.8803
anomalyclip,combined,77.60180995475113,17,0.9518,0.028,0.0363,0.096,0.8957,0.9917
anomalyclip,crack,67.603550295858,26,0.9363,0.0257,0.019,0.1026,0.8684,0.971
anomalyclip,color,88.30769230769232,25,0.9566,0.0208,0.014,0.0896,0.8922,0.9818
anomalyclip,faulty_imprint,87.85425101214574,19,0.9573,0.0171,0.0222,0.0657,0.9195,0.9852
anomalyclip,scratch,78.2051282051282,24,0.9465,0.0169,0.0188,0.0744,0.9043,0.9787
anomalyclip,contamination,81.86813186813187,21,0.9493,0.0148,0.0194,0.0597,0.923,0.9827
anomalyclip,pill_type,98.2905982905983,9,0.983,0.014,0.0194,0.042,0.9542,0.9962
winclip,faulty_imprint,88.96761133603239,19,0.3254,0.0754,0.0659,0.2975,0.2338,0.5312
winclip,crack,81.58284023668638,26,0.3024,0.068,0.0854,0.2632,0.1824,0.4456
winclip,combined,99.6606334841629,17,0.418,0.0634,0.0835,0.2239,0.3074,0.5312
winclip,pill_type,5.341880341880341,9,0.1353,0.0546,0.0679,0.1621,0.0396,0.2018
winclip,scratch,87.50000000000001,24,0.3061,0.0545,0.0546,0.2402,0.1824,0.4226
winclip,contamination,87.72893772893772,21,0.3054,0.0528,0.0525,0.1866,0.2281,0.4148
winclip,color,78.92307692307693,25,0.2854,0.048,0.0814,0.1663,0.1968,0.363
