model,defect_type,defect_auroc,mean_defect_score,model_median_defect_score,confidence_margin_vs_model_median,mean_good_score,score_gap,bottom_anomaly_score,n_defect,well_ranked_but_weakly_activated
winclip,pill_type,5.341880341880341,0.1353,0.3054,-0.1701,0.2335,-0.0982,0.0396,9,False
adaptclip,crack,82.6923076923077,0.6462,0.6818,-0.0356,0.4704,0.1758,0.3796,26,False
winclip,color,78.92307692307693,0.2854,0.3054,-0.02,0.2335,0.0519,0.1968,25,False
adaptclip,color,84.92307692307692,0.6636,0.6818,-0.0182,0.4704,0.1932,0.3338,25,False
anomalyclip,crack,67.603550295858,0.9363,0.9518,-0.0155,0.9249,0.0114,0.8684,26,False
adaptclip,scratch,84.2948717948718,0.6732,0.6818,-0.0086,0.4704,0.2028,0.3941,24,False
anomalyclip,scratch,78.2051282051282,0.9465,0.9518,-0.0053,0.9249,0.0215,0.9043,24,False
winclip,crack,81.58284023668638,0.3024,0.3054,-0.003,0.2335,0.0689,0.1824,26,False
anomalyclip,contamination,81.86813186813187,0.9493,0.9518,-0.0024,0.9249,0.0244,0.923,21,False
winclip,contamination,87.72893772893772,0.3054,0.3054,0.0,0.2335,0.0719,0.2281,21,False
adaptclip,contamination,86.63003663003663,0.6818,0.6818,0.0,0.4704,0.2114,0.4559,21,False
anomalyclip,combined,77.60180995475113,0.9518,0.9518,0.0,0.9249,0.0269,0.8957,17,False
winclip,scratch,87.50000000000001,0.3061,0.3054,0.0007,0.2335,0.0726,0.1824,24,False
anomalyclip,color,88.30769230769232,0.9566,0.9518,0.0048,0.9249,0.0317,0.8922,25,False
anomalyclip,faulty_imprint,87.85425101214574,0.9573,0.9518,0.0055,0.9249,0.0323,0.9195,19,False
winclip,faulty_imprint,88.96761133603239,0.3254,0.3054,0.02,0.2335,0.0919,0.2338,19,False
anomalyclip,pill_type,98.2905982905983,0.983,0.9518,0.0313,0.9249,0.0581,0.9542,9,False
adaptclip,faulty_imprint,91.29554655870444,0.7264,0.6818,0.0446,0.4704,0.256,0.5186,19,False
adaptclip,pill_type,91.02564102564102,0.745,0.6818,0.0632,0.4704,0.2746,0.4305,9,False
adaptclip,combined,92.3076923076923,0.7524,0.6818,0.0706,0.4704,0.282,0.4784,17,False
winclip,combined,99.6606334841629,0.418,0.3054,0.1126,0.2335,0.1845,0.3074,17,False
