model,dataset,class,defect_type,sample_id,image_score,query_path
winclip,mvtec,pill,pill_type,6.0,0.039642333984375,dataset\MVTec\pill/test/pill_type/006.png
winclip,mvtec,pill,pill_type,1.0,0.07586669921875,dataset\MVTec\pill/test/pill_type/001.png
winclip,mvtec,pill,pill_type,5.0,0.10089111328125,dataset\MVTec\pill/test/pill_type/005.png
winclip,mvtec,pill,pill_type,8.0,0.12939453125,dataset\MVTec\pill/test/pill_type/008.png
winclip,mvtec,pill,pill_type,3.0,0.1480712890625,dataset\MVTec\pill/test/pill_type/003.png
winclip,mvtec,pill,pill_type,2.0,0.1561279296875,dataset\MVTec\pill/test/pill_type/002.png
winclip,mvtec,pill,pill_type,7.0,0.1688232421875,dataset\MVTec\pill/test/pill_type/007.png
winclip,mvtec,pill,crack,1.0,0.182373046875,dataset\MVTec\pill/test/crack/001.png
winclip,mvtec,pill,scratch,5.0,0.182373046875,dataset\MVTec\pill/test/scratch/005.png
winclip,mvtec,pill,pill_type,4.0,0.19677734375,dataset\MVTec\pill/test/pill_type/004.png
