model,dataset,class,defect_type,sample_id,image_score,query_path
anomalyclip,mvtec,screw,scratch_neck,23.0,0.9781675934791564,dataset\MVTec\screw/test/scratch_neck/023.png
anomalyclip,mvtec,screw,scratch_neck,10.0,0.9810370206832886,dataset\MVTec\screw/test/scratch_neck/010.png
anomalyclip,mvtec,screw,thread_side,9.0,0.9813372492790222,dataset\MVTec\screw/test/thread_side/009.png
anomalyclip,mvtec,screw,manipulated_front,20.0,0.9814729690551758,dataset\MVTec\screw/test/manipulated_front/020.png
anomalyclip,mvtec,screw,scratch_neck,20.0,0.9839432239532472,dataset\MVTec\screw/test/scratch_neck/020.png
anomalyclip,mvtec,screw,manipulated_front,14.0,0.9851565361022948,dataset\MVTec\screw/test/manipulated_front/014.png
anomalyclip,mvtec,screw,manipulated_front,6.0,0.9856457114219666,dataset\MVTec\screw/test/manipulated_front/006.png
anomalyclip,mvtec,screw,thread_side,20.0,0.9861425757408142,dataset\MVTec\screw/test/thread_side/020.png
anomalyclip,mvtec,screw,thread_side,19.0,0.9867607355117798,dataset\MVTec\screw/test/thread_side/019.png
anomalyclip,mvtec,screw,thread_top,3.0,0.9867886304855348,dataset\MVTec\screw/test/thread_top/003.png
