model,dataset,class,defect_type,class_auroc,defect_auroc,n_good,n_defect,mean_good_score,mean_defect_score,score_gap,std_good_score,std_defect_score,iqr_defect_score,range_defect_score,bottom_anomaly_score,top_anomaly_score,top_normal_score,rank_low_to_high,low_auroc
adaptclip,mvtec,screw,thread_side,85.85775773724124,81.23011664899258,41,23,0.8119,0.859,0.0471,0.0326,0.0417,0.0735,0.1438,0.7766,0.9204,0.9094,1,False
adaptclip,mvtec,screw,scratch_neck,85.85775773724124,82.34146341463415,41,25,0.8119,0.8661,0.0542,0.0326,0.0533,0.0655,0.2041,0.7557,0.9598,0.9094,2,False
adaptclip,mvtec,screw,scratch_head,85.85775773724124,84.04471544715449,41,24,0.8119,0.8456,0.0338,0.0326,0.0268,0.0237,0.1109,0.8136,0.9245,0.9094,3,False
adaptclip,mvtec,screw,manipulated_front,85.85775773724124,89.63414634146342,41,24,0.8119,0.8801,0.0683,0.0326,0.0462,0.062,0.1681,0.7986,0.9668,0.9094,4,False
adaptclip,mvtec,screw,thread_top,85.85775773724124,92.25874867444327,41,23,0.8119,0.89,0.0781,0.0326,0.0444,0.0697,0.1429,0.8145,0.9574,0.9094,5,False
anomalyclip,mvtec,screw,manipulated_front,82.10698913711826,73.17073170731707,41,24,0.9863,0.9906,0.0043,0.0055,0.0036,0.0039,0.0158,0.9815,0.9973,0.995,1,True
anomalyclip,mvtec,screw,thread_side,82.10698913711826,79.95758218451749,41,23,0.9863,0.9919,0.0056,0.0055,0.0041,0.0053,0.0161,0.9813,0.9975,0.995,2,True
anomalyclip,mvtec,screw,scratch_head,82.10698913711826,82.72357723577237,41,24,0.9863,0.9921,0.0058,0.0055,0.0027,0.0038,0.0094,0.9869,0.9963,0.995,3,False
anomalyclip,mvtec,screw,scratch_neck,82.10698913711826,84.78048780487805,41,25,0.9863,0.992,0.0056,0.0055,0.0045,0.0035,0.0183,0.9782,0.9965,0.995,4,False
anomalyclip,mvtec,screw,thread_top,82.10698913711826,90.03181336161188,41,23,0.9863,0.9937,0.0073,0.0055,0.0029,0.0036,0.0105,0.9868,0.9973,0.995,5,False
winclip,mvtec,screw,manipulated_front,71.99221151875385,50.30487804878049,41,24,0.2083,0.2136,0.0054,0.0614,0.0693,0.093,0.3001,0.1225,0.4226,0.4148,1,True
winclip,mvtec,screw,thread_side,71.99221151875385,73.54188759278897,41,23,0.2083,0.2584,0.0502,0.0614,0.0646,0.0679,0.2764,0.1384,0.4148,0.4148,2,True
winclip,mvtec,screw,scratch_neck,71.99221151875385,75.26829268292683,41,25,0.2083,0.2736,0.0654,0.0614,0.089,0.0967,0.3723,0.1824,0.5547,0.4148,3,True
winclip,mvtec,screw,scratch_head,71.99221151875385,76.77845528455285,41,24,0.2083,0.2784,0.0701,0.0614,0.0799,0.08,0.35,0.15,0.5,0.4148,4,True
winclip,mvtec,screw,thread_top,71.99221151875385,84.51749734888652,41,23,0.2083,0.3272,0.1189,0.0614,0.1107,0.1276,0.4043,0.1733,0.5776,0.4148,5,False
