model,defect_type,defect_auroc,n_defect,mean_defect_score,std_defect_score,iqr_defect_score,range_defect_score,bottom_anomaly_score,top_anomaly_score
adaptclip,scratch_neck,82.34146341463415,25,0.8661,0.0533,0.0655,0.2041,0.7557,0.9598
adaptclip,manipulated_front,89.63414634146342,24,0.8801,0.0462,0.062,0.1681,0.7986,0.9668
adaptclip,thread_top,92.25874867444327,23,0.89,0.0444,0.0697,0.1429,0.8145,0.9574
adaptclip,thread_side,81.23011664899258,23,0.859,0.0417,0.0735,0.1438,0.7766,0.9204
adaptclip,scratch_head,84.04471544715449,24,0.8456,0.0268,0.0237,0.1109,0.8136,0.9245
anomalyclip,scratch_neck,84.78048780487805,25,0.992,0.0045,0.0035,0.0183,0.9782,0.9965
anomalyclip,thread_side,79.95758218451749,23,0.9919,0.0041,0.0053,0.0161,0.9813,0.9975
anomalyclip,manipulated_front,73.17073170731707,24,0.9906,0.0036,0.0039,0.0158,0.9815,0.9973
anomalyclip,thread_top,90.03181336161188,23,0.9937,0.0029,0.0036,0.0105,0.9868,0.9973
anomalyclip,scratch_head,82.72357723577237,24,0.9921,0.0027,0.0038,0.0094,0.9869,0.9963
winclip,thread_top,84.51749734888652,23,0.3272,0.1107,0.1276,0.4043,0.1733,0.5776
winclip,scratch_neck,75.26829268292683,25,0.2736,0.089,0.0967,0.3723,0.1824,0.5547
winclip,scratch_head,76.77845528455285,24,0.2784,0.0799,0.08,0.35,0.15,0.5
winclip,manipulated_front,50.30487804878049,24,0.2136,0.0693,0.093,0.3001,0.1225,0.4226
winclip,thread_side,73.54188759278897,23,0.2584,0.0646,0.0679,0.2764,0.1384,0.4148
