model,dataset,class,defect_type,sample_id,image_score,query_path
winclip,mvtec,screw,good,8.0,0.414794921875,dataset\MVTec\screw/test/good/008.png
winclip,mvtec,screw,good,26.0,0.3486328125,dataset\MVTec\screw/test/good/026.png
winclip,mvtec,screw,good,10.0,0.30078125,dataset\MVTec\screw/test/good/010.png
winclip,mvtec,screw,good,19.0,0.281494140625,dataset\MVTec\screw/test/good/019.png
winclip,mvtec,screw,good,40.0,0.275146484375,dataset\MVTec\screw/test/good/040.png
winclip,mvtec,screw,good,39.0,0.275146484375,dataset\MVTec\screw/test/good/039.png
winclip,mvtec,screw,good,0.0,0.262939453125,dataset\MVTec\screw/test/good/000.png
winclip,mvtec,screw,good,25.0,0.2568359375,dataset\MVTec\screw/test/good/025.png
winclip,mvtec,screw,good,18.0,0.2568359375,dataset\MVTec\screw/test/good/018.png
winclip,mvtec,screw,good,31.0,0.2509765625,dataset\MVTec\screw/test/good/031.png
