model,dataset,class,defect_type,sample_id,image_score,query_path
winclip,mvtec,screw,manipulated_front,8.0,0.12249755859375,dataset\MVTec\screw/test/manipulated_front/008.png
winclip,mvtec,screw,thread_side,17.0,0.138427734375,dataset\MVTec\screw/test/thread_side/017.png
winclip,mvtec,screw,manipulated_front,22.0,0.140380859375,dataset\MVTec\screw/test/manipulated_front/022.png
winclip,mvtec,screw,manipulated_front,14.0,0.1441650390625,dataset\MVTec\screw/test/manipulated_front/014.png
winclip,mvtec,screw,manipulated_front,4.0,0.1480712890625,dataset\MVTec\screw/test/manipulated_front/004.png
winclip,mvtec,screw,manipulated_front,17.0,0.1480712890625,dataset\MVTec\screw/test/manipulated_front/017.png
winclip,mvtec,screw,scratch_head,18.0,0.1500244140625,dataset\MVTec\screw/test/scratch_head/018.png
winclip,mvtec,screw,manipulated_front,0.0,0.1519775390625,dataset\MVTec\screw/test/manipulated_front/000.png
winclip,mvtec,screw,manipulated_front,11.0,0.1561279296875,dataset\MVTec\screw/test/manipulated_front/011.png
winclip,mvtec,screw,scratch_head,23.0,0.16455078125,dataset\MVTec\screw/test/scratch_head/023.png
