model,dataset,class,defect_type,sample_id,image_score,query_path
adaptclip,mvtec,tile,good,19.0,0.632032573223114,dataset/MVTec/tile/test/good/019.png
adaptclip,mvtec,tile,good,15.0,0.556839644908905,dataset/MVTec/tile/test/good/015.png
adaptclip,mvtec,tile,good,6.0,0.5441591739654541,dataset/MVTec/tile/test/good/006.png
adaptclip,mvtec,tile,good,17.0,0.3537074029445648,dataset/MVTec/tile/test/good/017.png
adaptclip,mvtec,tile,good,4.0,0.3531242907047272,dataset/MVTec/tile/test/good/004.png
adaptclip,mvtec,tile,good,1.0,0.3031487762928009,dataset/MVTec/tile/test/good/001.png
adaptclip,mvtec,tile,good,29.0,0.2865354716777801,dataset/MVTec/tile/test/good/029.png
adaptclip,mvtec,tile,good,18.0,0.2641949355602264,dataset/MVTec/tile/test/good/018.png
adaptclip,mvtec,tile,good,11.0,0.261484146118164,dataset/MVTec/tile/test/good/011.png
adaptclip,mvtec,tile,good,9.0,0.2564858198165893,dataset/MVTec/tile/test/good/009.png
