model,dataset,class,defect_type,class_auroc,defect_auroc,n_good,n_defect,mean_good_score,mean_defect_score,score_gap,std_good_score,std_defect_score,iqr_defect_score,range_defect_score,bottom_anomaly_score,top_anomaly_score,top_normal_score,rank_low_to_high,low_auroc
adaptclip,mvtec,tile,rough,99.63924963924964,98.58585858585859,33,15,0.2502,0.7593,0.5091,0.1175,0.1582,0.114,0.5782,0.3623,0.9405,0.632,1,False
adaptclip,mvtec,tile,gray_stroke,99.63924963924964,99.43181818181817,33,16,0.2502,0.8641,0.6139,0.1175,0.1088,0.0704,0.4428,0.5064,0.9492,0.632,2,False
adaptclip,mvtec,tile,crack,99.63924963924964,100.0,33,17,0.2502,0.8676,0.6174,0.1175,0.064,0.0839,0.2006,0.7738,0.9744,0.632,3,False
adaptclip,mvtec,tile,glue_strip,99.63924963924964,100.0,33,18,0.2502,0.9032,0.653,0.1175,0.0373,0.0358,0.1313,0.8197,0.951,0.632,3,False
adaptclip,mvtec,tile,oil,99.63924963924964,100.0,33,18,0.2502,0.8842,0.6339,0.1175,0.0241,0.0369,0.0817,0.8466,0.9284,0.632,3,False
anomalyclip,mvtec,tile,crack,100.0,100.0,33,17,0.8138,0.9893,0.1755,0.0436,0.0083,0.0072,0.0351,0.9631,0.9982,0.9003,1,False
anomalyclip,mvtec,tile,glue_strip,100.0,100.0,33,18,0.8138,0.9918,0.178,0.0436,0.0048,0.0087,0.015,0.9825,0.9975,0.9003,1,False
anomalyclip,mvtec,tile,gray_stroke,100.0,100.0,33,16,0.8138,0.9782,0.1645,0.0436,0.0216,0.0161,0.082,0.9144,0.9964,0.9003,1,False
anomalyclip,mvtec,tile,oil,100.0,100.0,33,18,0.8138,0.9975,0.1837,0.0436,0.001,0.0018,0.0029,0.9957,0.9985,0.9003,1,False
anomalyclip,mvtec,tile,rough,100.0,100.0,33,15,0.8138,0.9727,0.1589,0.0436,0.0251,0.031,0.0814,0.9141,0.9955,0.9003,1,False
winclip,mvtec,tile,gray_stroke,99.92784992784992,99.62121212121212,33,16,0.0099,0.0987,0.0888,0.0039,0.0891,0.0814,0.3249,0.0237,0.3486,0.0252,1,False
winclip,mvtec,tile,crack,99.92784992784992,100.0,33,17,0.0099,0.5392,0.5293,0.0039,0.1869,0.3337,0.5757,0.251,0.8267,0.0252,2,False
winclip,mvtec,tile,glue_strip,99.92784992784992,100.0,33,18,0.0099,0.3103,0.3004,0.0039,0.1793,0.2328,0.6671,0.0453,0.7124,0.0252,2,False
winclip,mvtec,tile,oil,99.92784992784992,100.0,33,18,0.0099,0.3523,0.3424,0.0039,0.1527,0.1931,0.5204,0.152,0.6724,0.0252,2,False
winclip,mvtec,tile,rough,99.92784992784992,100.0,33,15,0.0099,0.0998,0.0899,0.0039,0.0622,0.0583,0.2263,0.0276,0.2539,0.0252,2,False
