model,defect_type,defect_auroc,n_defect,mean_defect_score,std_defect_score,iqr_defect_score,range_defect_score,bottom_anomaly_score,top_anomaly_score
adaptclip,rough,98.58585858585859,15,0.7593,0.1582,0.114,0.5782,0.3623,0.9405
adaptclip,gray_stroke,99.43181818181817,16,0.8641,0.1088,0.0704,0.4428,0.5064,0.9492
adaptclip,crack,100.0,17,0.8676,0.064,0.0839,0.2006,0.7738,0.9744
adaptclip,glue_strip,100.0,18,0.9032,0.0373,0.0358,0.1313,0.8197,0.951
adaptclip,oil,100.0,18,0.8842,0.0241,0.0369,0.0817,0.8466,0.9284
anomalyclip,rough,100.0,15,0.9727,0.0251,0.031,0.0814,0.9141,0.9955
anomalyclip,gray_stroke,100.0,16,0.9782,0.0216,0.0161,0.082,0.9144,0.9964
anomalyclip,crack,100.0,17,0.9893,0.0083,0.0072,0.0351,0.9631,0.9982
anomalyclip,glue_strip,100.0,18,0.9918,0.0048,0.0087,0.015,0.9825,0.9975
anomalyclip,oil,100.0,18,0.9975,0.001,0.0018,0.0029,0.9957,0.9985
winclip,crack,100.0,17,0.5392,0.1869,0.3337,0.5757,0.251,0.8267
winclip,glue_strip,100.0,18,0.3103,0.1793,0.2328,0.6671,0.0453,0.7124
winclip,oil,100.0,18,0.3523,0.1527,0.1931,0.5204,0.152,0.6724
winclip,gray_stroke,99.62121212121212,16,0.0987,0.0891,0.0814,0.3249,0.0237,0.3486
winclip,rough,100.0,15,0.0998,0.0622,0.0583,0.2263,0.0276,0.2539
