model,defect_type,defect_auroc,mean_defect_score,model_median_defect_score,confidence_margin_vs_model_median,mean_good_score,score_gap,bottom_anomaly_score,n_defect,well_ranked_but_weakly_activated
winclip,gray_stroke,99.62121212121212,0.0987,0.3103,-0.2116,0.0099,0.0888,0.0237,16,True
winclip,rough,100.0,0.0998,0.3103,-0.2106,0.0099,0.0899,0.0276,15,True
adaptclip,rough,98.58585858585859,0.7593,0.8676,-0.1083,0.2502,0.5091,0.3623,15,True
anomalyclip,rough,100.0,0.9727,0.9893,-0.0166,0.8138,0.1589,0.9141,15,True
anomalyclip,gray_stroke,100.0,0.9782,0.9893,-0.0111,0.8138,0.1645,0.9144,16,True
adaptclip,gray_stroke,99.43181818181817,0.8641,0.8676,-0.0035,0.2502,0.6139,0.5064,16,True
adaptclip,crack,100.0,0.8676,0.8676,0.0,0.2502,0.6174,0.7738,17,True
anomalyclip,crack,100.0,0.9893,0.9893,0.0,0.8138,0.1755,0.9631,17,True
winclip,glue_strip,100.0,0.3103,0.3103,0.0,0.0099,0.3004,0.0453,18,True
anomalyclip,glue_strip,100.0,0.9918,0.9893,0.0025,0.8138,0.178,0.9825,18,False
anomalyclip,oil,100.0,0.9975,0.9893,0.0082,0.8138,0.1837,0.9957,18,False
adaptclip,oil,100.0,0.8842,0.8676,0.0165,0.2502,0.6339,0.8466,18,False
adaptclip,glue_strip,100.0,0.9032,0.8676,0.0356,0.2502,0.653,0.8197,18,False
winclip,oil,100.0,0.3523,0.3103,0.042,0.0099,0.3424,0.152,18,False
winclip,crack,100.0,0.5392,0.3103,0.2289,0.0099,0.5293,0.251,17,False
