model,dataset,class,defect_type,sample_id,image_score,query_path
winclip,mvtec,tile,good,20.0,0.025177001953125,dataset\MVTec\tile/test/good/020.png
winclip,mvtec,tile,good,25.0,0.0177154541015625,dataset\MVTec\tile/test/good/025.png
winclip,mvtec,tile,good,19.0,0.01666259765625,dataset\MVTec\tile/test/good/019.png
winclip,mvtec,tile,good,17.0,0.013427734375,dataset\MVTec\tile/test/good/017.png
winclip,mvtec,tile,good,15.0,0.0126266479492187,dataset\MVTec\tile/test/good/015.png
winclip,mvtec,tile,good,12.0,0.0124282836914062,dataset\MVTec\tile/test/good/012.png
winclip,mvtec,tile,good,29.0,0.012054443359375,dataset\MVTec\tile/test/good/029.png
winclip,mvtec,tile,good,4.0,0.0108184814453125,dataset\MVTec\tile/test/good/004.png
winclip,mvtec,tile,good,30.0,0.0108184814453125,dataset\MVTec\tile/test/good/030.png
winclip,mvtec,tile,good,2.0,0.010650634765625,dataset\MVTec\tile/test/good/002.png
