model,dataset,class,defect_type,sample_id,image_score,query_path
adaptclip,mvtec,transistor,misplaced,0.0,0.6869770884513855,dataset/MVTec/transistor/test/misplaced/000.png
adaptclip,mvtec,transistor,misplaced,5.0,0.7036661505699158,dataset/MVTec/transistor/test/misplaced/005.png
adaptclip,mvtec,transistor,cut_lead,8.0,0.7390874028205872,dataset/MVTec/transistor/test/cut_lead/008.png
adaptclip,mvtec,transistor,cut_lead,9.0,0.7516636252403259,dataset/MVTec/transistor/test/cut_lead/009.png
adaptclip,mvtec,transistor,misplaced,9.0,0.7533926963806152,dataset/MVTec/transistor/test/misplaced/009.png
adaptclip,mvtec,transistor,cut_lead,5.0,0.7654156684875488,dataset/MVTec/transistor/test/cut_lead/005.png
adaptclip,mvtec,transistor,bent_lead,2.0,0.7691717743873596,dataset/MVTec/transistor/test/bent_lead/002.png
adaptclip,mvtec,transistor,cut_lead,7.0,0.790185272693634,dataset/MVTec/transistor/test/cut_lead/007.png
adaptclip,mvtec,transistor,bent_lead,5.0,0.8006451725959778,dataset/MVTec/transistor/test/bent_lead/005.png
adaptclip,mvtec,transistor,bent_lead,0.0,0.8067553639411926,dataset/MVTec/transistor/test/bent_lead/000.png
