model,dataset,class,defect_type,class_auroc,defect_auroc,n_good,n_defect,mean_good_score,mean_defect_score,score_gap,std_good_score,std_defect_score,iqr_defect_score,range_defect_score,bottom_anomaly_score,top_anomaly_score,top_normal_score,rank_low_to_high,low_auroc
adaptclip,mvtec,transistor,misplaced,88.66666666666666,78.16666666666666,60,10,0.7394,0.8086,0.0692,0.055,0.0729,0.0905,0.2235,0.687,0.9105,0.8778,1,True
adaptclip,mvtec,transistor,cut_lead,88.66666666666666,84.83333333333334,60,10,0.7394,0.8245,0.0851,0.055,0.061,0.1046,0.1726,0.7391,0.9117,0.8778,2,False
adaptclip,mvtec,transistor,bent_lead,88.66666666666666,92.16666666666666,60,10,0.7394,0.8404,0.101,0.055,0.0432,0.0639,0.1405,0.7692,0.9096,0.8778,3,False
adaptclip,mvtec,transistor,damaged_case,88.66666666666666,99.5,60,10,0.7394,0.9038,0.1644,0.055,0.0321,0.034,0.0997,0.8476,0.9473,0.8778,4,False
anomalyclip,mvtec,transistor,misplaced,93.875,90.49999999999999,60,10,0.9025,0.9503,0.0478,0.029,0.0237,0.022,0.0771,0.9054,0.9824,0.9542,1,False
anomalyclip,mvtec,transistor,damaged_case,93.875,94.5,60,10,0.9025,0.96,0.0575,0.029,0.022,0.0271,0.0672,0.9203,0.9875,0.9542,2,False
anomalyclip,mvtec,transistor,bent_lead,93.875,94.83333333333333,60,10,0.9025,0.9542,0.0517,0.029,0.0182,0.0201,0.059,0.9194,0.9784,0.9542,3,False
anomalyclip,mvtec,transistor,cut_lead,93.875,95.66666666666667,60,10,0.9025,0.9571,0.0545,0.029,0.0154,0.025,0.0434,0.9303,0.9737,0.9542,4,False
winclip,mvtec,transistor,cut_lead,89.35416666666667,78.75000000000001,60,10,0.2184,0.2934,0.075,0.074,0.0819,0.083,0.2894,0.1871,0.4766,0.5234,1,True
winclip,mvtec,transistor,bent_lead,89.35416666666667,88.25,60,10,0.2184,0.3585,0.1401,0.074,0.1053,0.1215,0.3579,0.1968,0.5547,0.5234,2,False
winclip,mvtec,transistor,damaged_case,89.35416666666667,95.08333333333333,60,10,0.2184,0.4552,0.2368,0.074,0.1543,0.1878,0.4797,0.2751,0.7549,0.5234,3,False
winclip,mvtec,transistor,misplaced,89.35416666666667,95.33333333333334,60,10,0.2184,0.4866,0.2682,0.074,0.1582,0.2405,0.4653,0.272,0.7373,0.5234,4,False
