model,defect_type,defect_auroc,n_defect,mean_defect_score,std_defect_score,iqr_defect_score,range_defect_score,bottom_anomaly_score,top_anomaly_score
adaptclip,misplaced,78.16666666666666,10,0.8086,0.0729,0.0905,0.2235,0.687,0.9105
adaptclip,cut_lead,84.83333333333334,10,0.8245,0.061,0.1046,0.1726,0.7391,0.9117
adaptclip,bent_lead,92.16666666666666,10,0.8404,0.0432,0.0639,0.1405,0.7692,0.9096
adaptclip,damaged_case,99.5,10,0.9038,0.0321,0.034,0.0997,0.8476,0.9473
anomalyclip,misplaced,90.49999999999999,10,0.9503,0.0237,0.022,0.0771,0.9054,0.9824
anomalyclip,damaged_case,94.5,10,0.96,0.022,0.0271,0.0672,0.9203,0.9875
anomalyclip,bent_lead,94.83333333333333,10,0.9542,0.0182,0.0201,0.059,0.9194,0.9784
anomalyclip,cut_lead,95.66666666666667,10,0.9571,0.0154,0.025,0.0434,0.9303,0.9737
winclip,misplaced,95.33333333333334,10,0.4866,0.1582,0.2405,0.4653,0.272,0.7373
winclip,damaged_case,95.08333333333333,10,0.4552,0.1543,0.1878,0.4797,0.2751,0.7549
winclip,bent_lead,88.25,10,0.3585,0.1053,0.1215,0.3579,0.1968,0.5547
winclip,cut_lead,78.75000000000001,10,0.2934,0.0819,0.083,0.2894,0.1871,0.4766
