model,dataset,class,defect_type,sample_id,image_score,query_path
winclip,mvtec,transistor,cut_lead,5.0,0.1871337890625,dataset\MVTec\transistor/test/cut_lead/005.png
winclip,mvtec,transistor,bent_lead,2.0,0.19677734375,dataset\MVTec\transistor/test/bent_lead/002.png
winclip,mvtec,transistor,cut_lead,2.0,0.2120361328125,dataset\MVTec\transistor/test/cut_lead/002.png
winclip,mvtec,transistor,cut_lead,3.0,0.2451171875,dataset\MVTec\transistor/test/cut_lead/003.png
winclip,mvtec,transistor,cut_lead,7.0,0.2568359375,dataset\MVTec\transistor/test/cut_lead/007.png
winclip,mvtec,transistor,bent_lead,0.0,0.262939453125,dataset\MVTec\transistor/test/bent_lead/000.png
winclip,mvtec,transistor,cut_lead,1.0,0.27197265625,dataset\MVTec\transistor/test/cut_lead/001.png
winclip,mvtec,transistor,misplaced,2.0,0.27197265625,dataset\MVTec\transistor/test/misplaced/002.png
winclip,mvtec,transistor,damaged_case,2.0,0.275146484375,dataset\MVTec\transistor/test/damaged_case/002.png
winclip,mvtec,transistor,bent_lead,1.0,0.281494140625,dataset\MVTec\transistor/test/bent_lead/001.png
