model,dataset,class,defect_type,sample_id,image_score,query_path
anomalyclip,visa,cashew,good,309.0,0.968847930431366,dataset\Visa\cashew/Data/Images/Normal/309.JPG
anomalyclip,visa,cashew,good,213.0,0.9677414298057556,dataset\Visa\cashew/Data/Images/Normal/213.JPG
anomalyclip,visa,cashew,good,23.0,0.9652729630470276,dataset\Visa\cashew/Data/Images/Normal/023.JPG
anomalyclip,visa,cashew,good,89.0,0.9626080989837646,dataset\Visa\cashew/Data/Images/Normal/089.JPG
anomalyclip,visa,cashew,good,143.0,0.961402416229248,dataset\Visa\cashew/Data/Images/Normal/143.JPG
anomalyclip,visa,cashew,good,87.0,0.9601104855537416,dataset\Visa\cashew/Data/Images/Normal/087.JPG
anomalyclip,visa,cashew,good,377.0,0.9593057632446288,dataset\Visa\cashew/Data/Images/Normal/377.JPG
anomalyclip,visa,cashew,good,12.0,0.9586520195007324,dataset\Visa\cashew/Data/Images/Normal/012.JPG
anomalyclip,visa,cashew,good,276.0,0.957299828529358,dataset\Visa\cashew/Data/Images/Normal/276.JPG
anomalyclip,visa,cashew,good,50.0,0.957204043865204,dataset\Visa\cashew/Data/Images/Normal/050.JPG
