model,dataset,class,defect_type,sample_id,image_score,query_path
anomalyclip,visa,cashew,Anomaly,56.0,0.888524055480957,dataset\Visa\cashew/Data/Images/Anomaly/056.JPG
anomalyclip,visa,cashew,Anomaly,85.0,0.910275936126709,dataset\Visa\cashew/Data/Images/Anomaly/085.JPG
anomalyclip,visa,cashew,Anomaly,87.0,0.9189378023147584,dataset\Visa\cashew/Data/Images/Anomaly/087.JPG
anomalyclip,visa,cashew,Anomaly,86.0,0.9211295247077942,dataset\Visa\cashew/Data/Images/Anomaly/086.JPG
anomalyclip,visa,cashew,Anomaly,78.0,0.9216395020484924,dataset\Visa\cashew/Data/Images/Anomaly/078.JPG
anomalyclip,visa,cashew,Anomaly,92.0,0.9249842166900636,dataset\Visa\cashew/Data/Images/Anomaly/092.JPG
anomalyclip,visa,cashew,Anomaly,53.0,0.9279149174690248,dataset\Visa\cashew/Data/Images/Anomaly/053.JPG
anomalyclip,visa,cashew,Anomaly,50.0,0.930856704711914,dataset\Visa\cashew/Data/Images/Anomaly/050.JPG
anomalyclip,visa,cashew,Anomaly,47.0,0.9308937191963196,dataset\Visa\cashew/Data/Images/Anomaly/047.JPG
anomalyclip,visa,cashew,Anomaly,81.0,0.9313688278198242,dataset\Visa\cashew/Data/Images/Anomaly/081.JPG
