model,dataset,class,defect_type,sample_id,image_score,query_path
winclip,visa,cashew,Anomaly,98.0,0.2017822265625,dataset\Visa\cashew/Data/Images/Anomaly/098.JPG
winclip,visa,cashew,Anomaly,59.0,0.2451171875,dataset\Visa\cashew/Data/Images/Anomaly/059.JPG
winclip,visa,cashew,Anomaly,44.0,0.275146484375,dataset\Visa\cashew/Data/Images/Anomaly/044.JPG
winclip,visa,cashew,Anomaly,91.0,0.275146484375,dataset\Visa\cashew/Data/Images/Anomaly/091.JPG
winclip,visa,cashew,Anomaly,87.0,0.281494140625,dataset\Visa\cashew/Data/Images/Anomaly/087.JPG
winclip,visa,cashew,Anomaly,86.0,0.287841796875,dataset\Visa\cashew/Data/Images/Anomaly/086.JPG
winclip,visa,cashew,Anomaly,55.0,0.30078125,dataset\Visa\cashew/Data/Images/Anomaly/055.JPG
winclip,visa,cashew,Anomaly,56.0,0.307373046875,dataset\Visa\cashew/Data/Images/Anomaly/056.JPG
winclip,visa,cashew,Anomaly,78.0,0.32080078125,dataset\Visa\cashew/Data/Images/Anomaly/078.JPG
winclip,visa,cashew,Anomaly,81.0,0.32080078125,dataset\Visa\cashew/Data/Images/Anomaly/081.JPG
