model,dataset,class,defect_type,sample_id,image_score,query_path
adaptclip,visa,macaroni1,Anomaly,7.0,0.3607190549373626,dataset/Visa/macaroni1/Data/Images/Anomaly/007.JPG
adaptclip,visa,macaroni1,Anomaly,17.0,0.398364394903183,dataset/Visa/macaroni1/Data/Images/Anomaly/017.JPG
adaptclip,visa,macaroni1,Anomaly,16.0,0.3997056186199188,dataset/Visa/macaroni1/Data/Images/Anomaly/016.JPG
adaptclip,visa,macaroni1,Anomaly,94.0,0.403045505285263,dataset/Visa/macaroni1/Data/Images/Anomaly/094.JPG
adaptclip,visa,macaroni1,Anomaly,56.0,0.4040051698684692,dataset/Visa/macaroni1/Data/Images/Anomaly/056.JPG
adaptclip,visa,macaroni1,Anomaly,83.0,0.4058955609798431,dataset/Visa/macaroni1/Data/Images/Anomaly/083.JPG
adaptclip,visa,macaroni1,Anomaly,97.0,0.4109902381896972,dataset/Visa/macaroni1/Data/Images/Anomaly/097.JPG
adaptclip,visa,macaroni1,Anomaly,87.0,0.4150594174861908,dataset/Visa/macaroni1/Data/Images/Anomaly/087.JPG
adaptclip,visa,macaroni1,Anomaly,89.0,0.4229468107223511,dataset/Visa/macaroni1/Data/Images/Anomaly/089.JPG
adaptclip,visa,macaroni1,Anomaly,78.0,0.423069953918457,dataset/Visa/macaroni1/Data/Images/Anomaly/078.JPG
