model,dataset,class,defect_type,sample_id,image_score,query_path
anomalyclip,visa,macaroni1,good,11.0,0.9720394611358644,dataset\Visa\macaroni1/Data/Images/Normal/0011.JPG
anomalyclip,visa,macaroni1,good,985.0,0.9699944257736206,dataset\Visa\macaroni1/Data/Images/Normal/0985.JPG
anomalyclip,visa,macaroni1,good,479.0,0.9650862812995912,dataset\Visa\macaroni1/Data/Images/Normal/0479.JPG
anomalyclip,visa,macaroni1,good,920.0,0.962481677532196,dataset\Visa\macaroni1/Data/Images/Normal/0920.JPG
anomalyclip,visa,macaroni1,good,621.0,0.9613206386566162,dataset\Visa\macaroni1/Data/Images/Normal/0621.JPG
anomalyclip,visa,macaroni1,good,871.0,0.9588308930397034,dataset\Visa\macaroni1/Data/Images/Normal/0871.JPG
anomalyclip,visa,macaroni1,good,617.0,0.9572376012802124,dataset\Visa\macaroni1/Data/Images/Normal/0617.JPG
anomalyclip,visa,macaroni1,good,768.0,0.9569178819656372,dataset\Visa\macaroni1/Data/Images/Normal/0768.JPG
anomalyclip,visa,macaroni1,good,457.0,0.9538933634757996,dataset\Visa\macaroni1/Data/Images/Normal/0457.JPG
anomalyclip,visa,macaroni1,good,811.0,0.9526873230934144,dataset\Visa\macaroni1/Data/Images/Normal/0811.JPG
